nd_Pepp;nd_Code;nd_FaelleAnzahl;nd_FaelleAnteil;nd_NennungenAnzahl;nd_NennungenAnteil
P002Z;X84.9;22;0,1005;24;0,0306
P002Z;Z63;19;0,0868;19;0,0242
P002Z;Z62;18;0,0822;18;0,023
P002Z;F43.1;17;0,0776;17;0,0217
P002Z;F32.1;14;0,0639;14;0,0179
P002Z;F90.1;12;0,0548;12;0,0153
P002Z;Z60;12;0,0548;12;0,0153
P002Z;K59.0;11;0,0502;11;0,014
P002Z;F70.1;10;0,0457;10;0,0128
P002Z;F90.0;10;0,0457;10;0,0128
P002Z;F94.1;10;0,0457;10;0,0128
P002Z;U69.34;10;0,0457;18;0,023
P002Z;E55.9;9;0,0411;9;0,0115
P002Z;F19.1;9;0,0411;9;0,0115
P002Z;F60.31;9;0,0411;9;0,0115
P002Z;F93.8;9;0,0411;9;0,0115
P002Z;F12.2;8;0,0365;8;0,0102
P002Z;F15.2;8;0,0365;9;0,0115
P002Z;F17.1;8;0,0365;8;0,0102
P002Z;F17.2;8;0,0365;8;0,0102
P002Z;F94.2;8;0,0365;8;0,0102
P002Z;F98.0;8;0,0365;8;0,0102
P002Z;Z48.0;8;0,0365;8;0,0102
P002Z;Z61;8;0,0365;8;0,0102
P002Z;F10.1;7;0,032;7;0,0089
P002Z;F43.2;7;0,032;7;0,0089
P002Z;F74.1;7;0,032;7;0,0089
P002Z;F91.2;7;0,032;7;0,0089
P002Z;F92.0;7;0,032;7;0,0089
P002Z;S51.9;7;0,032;7;0,0089
P002Z;S60.2;7;0,032;7;0,0089
P002Z;F12.0;6;0,0274;6;0,0077
P002Z;F12.1;6;0,0274;6;0,0077
P002Z;F91.3;6;0,0274;6;0,0077
P002Z;S51.7;6;0,0274;6;0,0077
P002Z;Z72.8;6;0,0274;6;0,0077
P002Z;F15.0;5;0,0228;5;0,0064
P002Z;F32.2;5;0,0228;5;0,0064
P002Z;F40.1;5;0,0228;5;0,0064
P002Z;F43.8;5;0,0228;5;0,0064
P002Z;F81.9;5;0,0228;5;0,0064
P002Z;F98.8;5;0,0228;5;0,0064
P002Z;J45.9;5;0,0228;5;0,0064
P002Z;R45.8;5;0,0228;5;0,0064
P002Z;R51;5;0,0228;5;0,0064
P002Z;T14.1;5;0,0228;5;0,0064
P002Z;Z81;5;0,0228;5;0,0064
P002Z;Z91.8;5;0,0228;5;0,0064
P002Z;E41;4;0,0183;4;0,0051
P002Z;F80.1;4;0,0183;4;0,0051
P002Z;F83;4;0,0183;4;0,0051
P002Z;F88;4;0,0183;4;0,0051
P002Z;F92.8;4;0,0183;4;0,0051
P002Z;F94.0;4;0,0183;4;0,0051
P002Z;F95.2;4;0,0183;4;0,0051
P002Z;F98.1;4;0,0183;4;0,0051
P002Z;G93.4;4;0,0183;4;0,0051
P002Z;J06.9;4;0,0183;4;0,0051
P002Z;J30.1;4;0,0183;4;0,0051
P002Z;Z55;4;0,0183;4;0,0051
P003A;Z74.1;32;0,1905;32;0,0203
P003A;I10.00;28;0,1667;28;0,0178
P003A;N39.0;23;0,1369;25;0,0159
P003A;K59.0;21;0,125;21;0,0133
P003A;R15;20;0,119;20;0,0127
P003A;E86;19;0,1131;19;0,0121
P003A;R29.6;19;0,1131;19;0,0121
P003A;R32;19;0,1131;19;0,0121
P003A;Z74.0;19;0,1131;19;0,0121
P003A;F60.31;18;0,1071;18;0,0114
P003A;Z48.0;18;0,1071;18;0,0114
P003A;E87.6;16;0,0952;16;0,0102
P003A;F43.1;15;0,0893;15;0,0095
P003A;E11.90;13;0,0774;13;0,0082
P003A;R26.3;13;0,0774;13;0,0082
P003A;R26.8;13;0,0774;13;0,0082
P003A;R45.1;13;0,0774;13;0,0082
P003A;Z29.8;12;0,0714;12;0,0076
P003A;E03.9;11;0,0655;11;0,007
P003A;E53.8;11;0,0655;11;0,007
P003A;Y57.9;11;0,0655;14;0,0089
P003A;F10.2;10;0,0595;10;0,0063
P003A;I10.90;10;0,0595;10;0,0063
P003A;Z74.3;10;0,0595;10;0,0063
P003A;Z74.8;10;0,0595;10;0,0063
P003A;B96.2;9;0,0536;9;0,0057
P003A;E55.9;9;0,0536;9;0,0057
P003A;F17.2;9;0,0536;9;0,0057
P003A;Z92.1;9;0,0536;9;0,0057
P003A;F00.1;8;0,0476;8;0,0051
P003A;G40.9;8;0,0476;8;0,0051
P003A;R45.8;8;0,0476;8;0,0051
P003A;Z50.1;8;0,0476;8;0,0051
P003A;Z91.8;8;0,0476;8;0,0051
P003A;Z92.2;8;0,0476;8;0,0051
P003A;Z97.8;8;0,0476;8;0,0051
P003A;F12.1;7;0,0417;7;0,0044
P003A;H91.1;7;0,0417;7;0,0044
P003A;R63.3;7;0,0417;7;0,0044
P003A;R94.3;7;0,0417;7;0,0044
P003A;X84.9;7;0,0417;13;0,0082
P003A;Z11;7;0,0417;7;0,0044
P003A;E03.8;6;0,0357;6;0,0038
P003A;G30.1;6;0,0357;6;0,0038
P003A;G47.0;6;0,0357;6;0,0038
P003A;I44.4;6;0,0357;6;0,0038
P003A;R11;6;0,0357;6;0,0038
P003A;R13.9;6;0,0357;6;0,0038
P003A;R42;6;0,0357;6;0,0038
P003A;R46.0;6;0,0357;6;0,0038
P003A;R51;6;0,0357;6;0,0038
P003A;R53;6;0,0357;6;0,0038
P003A;R64;6;0,0357;6;0,0038
P003A;U50.50;6;0,0357;6;0,0038
P003A;E78.0;5;0,0298;5;0,0032
P003A;E87.1;5;0,0298;5;0,0032
P003A;F12.2;5;0,0298;5;0,0032
P003A;F32.2;5;0,0298;5;0,0032
P003A;F63.8;5;0,0298;5;0,0032
P003A;F70.1;5;0,0298;5;0,0032
P003A;G25.88;5;0,0298;5;0,0032
P003A;G93.4;5;0,0298;5;0,0032
P003A;I48.0;5;0,0298;5;0,0032
P003A;R60.0;5;0,0298;5;0,0032
P003A;R63.6;5;0,0298;5;0,0032
P003A;U69.00;5;0,0298;5;0,0032
P003A;U69.36;5;0,0298;5;0,0032
P003A;Z86.7;5;0,0298;5;0,0032
P003A;Z98.8;5;0,0298;5;0,0032
P003A;A09.9;4;0,0238;4;0,0025
P003A;A46;4;0,0238;4;0,0025
P003A;E05.8;4;0,0238;4;0,0025
P003A;F11.2;4;0,0238;4;0,0025
P003A;F13.2;4;0,0238;4;0,0025
P003A;F20.0;4;0,0238;4;0,0025
P003A;F32.3;4;0,0238;4;0,0025
P003A;F91.1;4;0,0238;4;0,0025
P003A;G40.8;4;0,0238;4;0,0025
P003A;G47.8;4;0,0238;4;0,0025
P003A;I45.1;4;0,0238;4;0,0025
P003A;I69.3;4;0,0238;4;0,0025
P003A;J00;4;0,0238;4;0,0025
P003A;J69.0;4;0,0238;6;0,0038
P003A;K11.7;4;0,0238;4;0,0025
P003A;R33;4;0,0238;4;0,0025
P003A;R50.88;4;0,0238;4;0,0025
P003A;S51.9;4;0,0238;4;0,0025
P003A;T18.2;4;0,0238;4;0,0025
P003A;T88.7;4;0,0238;4;0,0025
P003A;U50.40;4;0,0238;4;0,0025
P003A;Z03.9;4;0,0238;4;0,0025
P003A;Z29.0;4;0,0238;4;0,0025
P003A;Z29.9;4;0,0238;4;0,0025
P003A;Z59;4;0,0238;4;0,0025
P003A;Z72.8;4;0,0238;4;0,0025
P003A;Z85.4;4;0,0238;4;0,0025
P003A;Z93.1;4;0,0238;4;0,0025
P003B;I10.00;74;0,1942;74;0,0281
P003B;Z74.1;58;0,1522;58;0,022
P003B;R45.1;47;0,1234;47;0,0178
P003B;R32;43;0,1129;43;0,0163
P003B;E86;41;0,1076;41;0,0156
P003B;R29.6;35;0,0919;35;0,0133
P003B;R15;33;0,0866;33;0,0125
P003B;E11.90;31;0,0814;31;0,0118
P003B;Z74.0;31;0,0814;31;0,0118
P003B;N39.0;27;0,0709;29;0,011
P003B;Z48.0;25;0,0656;25;0,0095
P003B;G47.0;23;0,0604;23;0,0087
P003B;K59.0;23;0,0604;23;0,0087
P003B;Z92.1;23;0,0604;23;0,0087
P003B;E87.6;22;0,0577;22;0,0083
P003B;F60.31;21;0,0551;21;0,008
P003B;E53.8;20;0,0525;20;0,0076
P003B;I10.90;20;0,0525;20;0,0076
P003B;F17.2;19;0,0499;19;0,0072
P003B;E03.9;18;0,0472;18;0,0068
P003B;F00.1;18;0,0472;18;0,0068
P003B;F00.2;18;0,0472;18;0,0068
P003B;F43.1;18;0,0472;18;0,0068
P003B;Z91.8;18;0,0472;18;0,0068
P003B;X84.9;17;0,0446;17;0,0064
P003B;Z74.3;16;0,042;16;0,0061
P003B;Z86.7;16;0,042;16;0,0061
P003B;R26.3;15;0,0394;15;0,0057
P003B;U50.40;15;0,0394;15;0,0057
P003B;Y57.9;15;0,0394;17;0,0064
P003B;B96.2;14;0,0367;14;0,0053
P003B;E03.8;14;0,0367;14;0,0053
P003B;G47.8;14;0,0367;14;0,0053
P003B;E55.9;13;0,0341;13;0,0049
P003B;F10.2;13;0,0341;13;0,0049
P003B;F12.2;13;0,0341;13;0,0049
P003B;R26.8;13;0,0341;13;0,0049
P003B;Z29.0;13;0,0341;13;0,0049
P003B;I48.0;12;0,0315;12;0,0046
P003B;R60.0;12;0,0315;12;0,0046
P003B;Z74.8;12;0,0315;12;0,0046
P003B;Z92.2;12;0,0315;12;0,0046
P003B;F05.1;11;0,0289;11;0,0042
P003B;F10.1;11;0,0289;11;0,0042
P003B;F33.2;11;0,0289;11;0,0042
P003B;G30.1;11;0,0289;11;0,0042
P003B;G30.8;11;0,0289;11;0,0042
P003B;R46.0;10;0,0262;10;0,0038
P003B;Z50.1;10;0,0262;11;0,0042
P003B;Z97.8;10;0,0262;11;0,0042
P003B;G25.88;9;0,0236;9;0,0034
P003B;U50.30;9;0,0236;9;0,0034
P003B;F12.1;8;0,021;8;0,003
P003B;F20.0;8;0,021;8;0,003
P003B;N40;8;0,021;8;0,003
P003B;R11;8;0,021;8;0,003
P003B;R13.9;8;0,021;8;0,003
P003B;R63.3;8;0,021;8;0,003
P003B;U51.22;8;0,021;8;0,003
P003B;Z29.8;8;0,021;8;0,003
P003B;Z91.1;8;0,021;8;0,003
P003B;Z95.0;8;0,021;8;0,003
P003B;E78.5;7;0,0184;7;0,0027
P003B;E87.1;7;0,0184;7;0,0027
P003B;F50.0;7;0,0184;7;0,0027
P003B;F70.1;7;0,0184;7;0,0027
P003B;F71.1;7;0,0184;7;0,0027
P003B;G40.9;7;0,0184;7;0,0027
P003B;G47.2;7;0,0184;7;0,0027
P003B;K21.9;7;0,0184;7;0,0027
P003B;R40.0;7;0,0184;7;0,0027
P003B;R47.0;7;0,0184;7;0,0027
P003B;R51;7;0,0184;7;0,0027
P003B;R52.2;7;0,0184;7;0,0027
P003B;R53;7;0,0184;7;0,0027
P003B;S01.9;7;0,0184;7;0,0027
P003B;U51.10;7;0,0184;7;0,0027
P003B;Z60;7;0,0184;7;0,0027
P003B;Z72.8;7;0,0184;7;0,0027
P003B;Z87.8;7;0,0184;7;0,0027
P003B;A08.1;6;0,0157;6;0,0023
P003B;D50.8;6;0,0157;6;0,0023
P003B;D50.9;6;0,0157;6;0,0023
P003B;F01.2;6;0,0157;6;0,0023
P003B;F11.2;6;0,0157;6;0,0023
P003B;F15.1;6;0,0157;6;0,0023
P003B;F19.2;6;0,0157;6;0,0023
P003B;F84.0;6;0,0157;6;0,0023
P003B;I44.0;6;0,0157;6;0,0023
P003B;I48.2;6;0,0157;6;0,0023
P003B;N39.48;6;0,0157;6;0,0023
P003B;S01.0;6;0,0157;6;0,0023
P003B;S51.9;6;0,0157;6;0,0023
P003B;U50.10;6;0,0157;6;0,0023
P003B;U50.50;6;0,0157;6;0,0023
P003B;Z29.9;6;0,0157;6;0,0023
P003B;E11.91;5;0,0131;5;0,0019
P003B;E66.01;5;0,0131;5;0,0019
