pr_Pepp;pr_Code;pr_FaelleAnzahl;pr_FaelleAnteil;pr_NennungenAnzahl;pr_NennungenAnteil
P002Z;9-672;218;0,9954;400;0,0195
P002Z;9-693.12;177;0,8082;1693;0,0825
P002Z;9-983.2;167;0,7626;318;0,0155
P002Z;9-693.13;158;0,7215;718;0,035
P002Z;9-693.11;152;0,6941;2041;0,0994
P002Z;9-693.14;146;0,6667;692;0,0337
P002Z;9-693.10;127;0,5799;1539;0,075
P002Z;9-696.80;116;0,5297;320;0,0156
P002Z;9-693.15;114;0,5205;964;0,047
P002Z;9-696.10;112;0,5114;236;0,0115
P002Z;9-696.61;109;0,4977;251;0,0122
P002Z;9-696.60;104;0,4749;299;0,0146
P002Z;9-696.71;101;0,4612;193;0,0094
P002Z;9-666;100;0,4566;199;0,0097
P002Z;9-983.1;100;0,4566;232;0,0113
P002Z;9-696.81;99;0,4521;225;0,011
P002Z;9-696.40;98;0,4475;312;0,0152
P002Z;9-696.11;92;0,4201;177;0,0086
P002Z;9-696.82;90;0,411;181;0,0088
P002Z;9-696.70;89;0,4064;204;0,0099
P002Z;9-693.01;88;0,4018;732;0,0357
P002Z;9-696.12;88;0,4018;121;0,0059
P002Z;9-693.00;84;0,3836;913;0,0445
P002Z;9-696.73;84;0,3836;126;0,0061
P002Z;9-696.52;82;0,3744;172;0,0084
P002Z;9-696.51;81;0,3699;147;0,0072
P002Z;1-207.0;80;0,3653;95;0,0046
P002Z;9-696.62;78;0,3562;152;0,0074
P002Z;9-696.32;76;0,347;128;0,0062
P002Z;9-693.02;73;0,3333;527;0,0257
P002Z;9-696.13;73;0,3333;120;0,0058
P002Z;9-696.53;72;0,3288;146;0,0071
P002Z;9-696.31;71;0,3242;116;0,0057
P002Z;9-696.72;71;0,3242;123;0,006
P002Z;9-696.30;70;0,3196;146;0,0071
P002Z;9-696.83;70;0,3196;138;0,0067
P002Z;9-696.33;69;0,3151;133;0,0065
P002Z;9-696.50;67;0,3059;117;0,0057
P002Z;9-696.63;64;0,2922;138;0,0067
P002Z;9-696.20;63;0,2877;203;0,0099
P002Z;9-696.84;62;0,2831;105;0,0051
P002Z;9-696.14;61;0,2785;90;0,0044
P002Z;9-696.15;61;0,2785;83;0,004
P002Z;9-983.0;60;0,274;209;0,0102
P002Z;9-696.75;58;0,2648;77;0,0038
P002Z;9-696.35;56;0,2557;77;0,0038
P002Z;9-696.64;53;0,242;84;0,0041
P002Z;9-696.85;53;0,242;80;0,0039
P002Z;9-696.7w;49;0,2237;167;0,0081
P002Z;9-696.86;49;0,2237;63;0,0031
P002Z;9-696.41;48;0,2192;113;0,0055
P002Z;9-696.34;47;0,2146;68;0,0033
P002Z;9-696.36;47;0,2146;72;0,0035
P002Z;9-696.55;47;0,2146;78;0,0038
P002Z;9-696.74;46;0,21;60;0,0029
P002Z;9-693.03;44;0,2009;246;0,012
P002Z;9-696.16;44;0,2009;58;0,0028
P002Z;9-696.17;43;0,1963;59;0,0029
P002Z;9-696.77;43;0,1963;49;0,0024
P002Z;9-690.11;42;0,1918;107;0,0052
P002Z;9-696.37;41;0,1872;63;0,0031
P002Z;9-696.57;40;0,1826;61;0,003
P002Z;9-696.65;39;0,1781;69;0,0034
P002Z;9-696.18;38;0,1735;48;0,0023
P002Z;9-696.0;37;0,1689;56;0,0027
P002Z;9-696.54;37;0,1689;54;0,0026
P002Z;9-696.76;36;0,1644;45;0,0022
P002Z;9-696.87;36;0,1644;49;0,0024
P002Z;9-656;35;0,1598;63;0,0031
