ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt6c;ko_KArt7;ko_KArt8
PA02D;10;0,15;0,00;0,00;0,00;0,00;1,02;0,02;0,00;0,00;1,04;0,13;1,77;0,16;0,43
PA02D;11;0,56;0,29;0,00;0,00;0,00;0,58;0,01;0,00;0,00;0,05;0,00;0,13;0,15;0,40
PA02D;12;0,06;0,01;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,04
PA02D;13;1,37;1,59;0,00;0,00;0,00;0,64;0,02;0,00;0,00;0,10;0,00;0,00;0,17;0,79
PA03A;21;17,10;53,08;2,49;2,66;2,07;0,82;1,23;0,47;0,00;1,14;0,02;0,13;8,35;36,73
PA03A;22;15,04;48,21;1,70;2,26;1,62;0,62;1,00;0,32;0,00;1,17;0,03;0,11;7,06;30,00
PA03A;23;3,63;12,85;0,85;0,82;0,43;0,00;0,19;0,02;0,00;0,17;0,00;0,02;0,00;0,05
PA03A;24;0,00;0,01;0,00;0,00;0,79;0,00;0,00;0,00;0,00;0,01;0,00;0,04;0,04;0,30
PA03A;25;0,01;0,28;0,01;0,06;3,08;0,11;0,01;0,00;0,00;0,10;0,00;0,34;0,17;1,20
PA03A;26;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,02
PA03A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01
PA03A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03A;8;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,01;0,01;0,01
PA03A;9;0,27;0,00;0,00;0,00;0,00;0,32;0,01;0,00;0,00;0,04;0,01;0,55;0,13;0,22
PA03A;10;0,07;0,00;0,00;0,00;0,00;0,50;0,01;0,00;0,00;0,56;0,03;1,22;0,09;0,35
PA03A;11;0,39;0,08;0,00;0,00;0,00;0,44;0,00;0,00;0,00;0,04;0,00;0,18;0,10;0,24
PA03A;12;0,05;0,03;0,00;0,00;0,00;0,09;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,05
PA03A;13;0,38;0,44;0,00;0,00;0,00;0,20;0,01;0,00;0,00;0,03;0,00;0,00;0,06;0,25
PA03B;21;20,01;58,95;3,34;3,29;2,30;0,89;1,33;0,47;0,00;1,06;0,02;0,11;9,63;42,94
PA03B;22;10,18;31,05;1,23;1,61;1,04;0,41;0,62;0,18;0,00;0,59;0,01;0,06;4,87;20,34
PA03B;23;3,47;7,89;1,18;0,86;0,38;0,00;0,11;0,03;0,00;0,10;0,00;0,00;0,00;0,03
PA03B;24;0,00;0,01;0,00;0,00;0,56;0,00;0,00;0,00;0,00;0,01;0,01;0,04;0,04;0,22
PA03B;25;0,01;0,31;0,02;0,04;3,33;0,08;0,01;0,00;0,00;0,12;0,00;0,17;0,19;1,31
PA03B;26;0,02;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01
PA03B;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA03B;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA03B;9;0,18;0,00;0,00;0,00;0,00;0,21;0,00;0,00;0,00;0,03;0,00;0,55;0,08;0,13
PA03B;10;0,07;0,00;0,00;0,00;0,00;0,49;0,01;0,00;0,00;0,52;0,03;1,18;0,08;0,31
PA03B;11;0,29;0,08;0,00;0,00;0,00;0,38;0,00;0,00;0,00;0,03;0,00;0,09;0,08;0,20
PA03B;12;0,03;0,01;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,02
PA03B;13;0,42;0,55;0,00;0,00;0,00;0,21;0,01;0,00;0,00;0,03;0,00;0,00;0,06;0,28
PA04A;21;21,21;65,07;3,68;3,04;2,45;1,21;1,46;0,32;0,00;1,46;0,05;0,22;10,05;44,27
PA04A;22;10,82;34,34;1,41;1,49;1,09;0,45;0,70;0,05;0,00;0,93;0,03;0,15;4,74;20,68
PA04A;23;5,36;13,86;2,25;0,82;0,66;0,00;0,16;0,00;0,00;0,17;0,00;0,02;0,00;0,01
PA04A;24;0,00;0,01;0,00;0,00;2,07;0,00;0,00;0,00;0,00;0,02;0,01;0,11;0,11;0,79
PA04A;25;0,01;0,34;0,02;0,07;3,90;0,15;0,01;0,00;0,00;0,13;0,00;1,56;0,21;1,52
PA04A;26;0,07;0,05;0,02;0,01;0,10;0,03;0,00;0,00;0,00;0,00;0,00;0,01;0,06;0,08
PA04A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01
PA04A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04A;7;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04A;8;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,02
PA04A;9;0,46;0,00;0,00;0,00;0,00;0,57;0,01;0,00;0,00;0,07;0,03;0,86;0,21;0,36
PA04A;10;0,09;0,00;0,00;0,00;0,00;0,64;0,01;0,01;0,00;0,64;0,04;1,14;0,12;0,45
PA04A;11;0,60;0,11;0,00;0,00;0,00;0,61;0,00;0,00;0,00;0,07;0,00;0,13;0,14;0,37
PA04A;12;0,10;0,04;0,00;0,00;0,00;0,18;0,00;0,00;0,00;0,01;0,00;0,03;0,02;0,09
PA04A;13;0,37;0,38;0,00;0,00;0,00;0,21;0,01;0,00;0,00;0,03;0,00;0,00;0,06;0,24
PA04B;21;23,90;72,51;4,30;3,64;3,05;1,20;1,58;0,33;0,00;1,51;0,04;0,24;11,73;53,23
PA04B;22;5,03;15,35;0,71;0,72;0,46;0,21;0,31;0,07;0,00;0,37;0,01;0,05;2,38;10,16
PA04B;23;4,21;8,31;2,43;0,74;0,42;0,00;0,11;0,02;0,00;0,14;0,00;0,01;0,00;0,04
PA04B;24;0,01;0,01;0,00;0,00;1,65;0,00;0,00;0,00;0,00;0,02;0,00;0,09;0,09;0,67
PA04B;25;0,02;0,48;0,02;0,07;4,25;0,10;0,01;0,00;0,00;0,15;0,00;0,37;0,25;1,71
PA04B;26;0,10;0,05;0,03;0,00;0,02;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,03;0,07
PA04B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA04B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04B;8;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,02
PA04B;9;0,34;0,00;0,00;0,00;0,00;0,39;0,01;0,00;0,00;0,06;0,02;0,66;0,17;0,24
PA04B;10;0,07;0,00;0,00;0,00;0,00;0,52;0,01;0,00;0,00;0,53;0,04;1,02;0,10;0,45
PA04B;11;0,49;0,11;0,00;0,00;0,00;0,56;0,00;0,00;0,00;0,06;0,00;0,11;0,14;0,33
PA04B;12;0,06;0,02;0,00;0,00;0,00;0,12;0,00;0,00;0,00;0,00;0,00;0,04;0,01;0,06
PA04B;13;0,35;0,41;0,00;0,00;0,00;0,18;0,01;0,00;0,00;0,03;0,00;0,00;0,06;0,24
PA04C;21;24,45;68,48;5,29;3,93;3,20;1,16;1,39;0,09;0,00;1,20;0,02;0,17;11,52;54,16
PA04C;22;2,79;8,04;0,42;0,42;0,26;0,11;0,16;0,01;0,00;0,15;0,01;0,03;1,29;5,52
PA04C;23;4,30;6,47;3,47;0,78;0,51;0,00;0,10;0,00;0,00;0,11;0,00;0,03;0,00;0,03
PA04C;24;0,01;0,02;0,00;0,00;1,57;0,00;0,00;0,00;0,00;0,02;0,01;0,06;0,08;0,67
PA04C;25;0,03;0,42;0,03;0,04;5,00;0,04;0,01;0,00;0,00;0,19;0,00;0,28;0,29;2,06
PA04C;26;0,08;0,03;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,05
PA04C;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04C;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04C;8;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,01
PA04C;9;0,22;0,00;0,00;0,00;0,00;0,23;0,00;0,00;0,00;0,04;0,01;0,65;0,11;0,14
PA04C;10;0,06;0,00;0,00;0,00;0,00;0,43;0,01;0,00;0,00;0,47;0,03;0,81;0,07;0,30
PA04C;11;0,40;0,10;0,00;0,00;0,00;0,49;0,00;0,00;0,00;0,04;0,00;0,07;0,11;0,27
PA04C;12;0,04;0,01;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,04;0,01;0,03
PA04C;13;0,37;0,49;0,00;0,00;0,00;0,17;0,01;0,00;0,00;0,03;0,00;0,00;0,05;0,25
PA14A;21;22,41;61,97;4,31;3,29;2,36;1,10;1,28;0,19;0,00;1,18;0,02;0,34;8,76;47,04
PA14A;22;10,18;30,74;1,44;1,53;0,94;0,32;0,57;0,09;0,00;0,63;0,03;0,16;3,82;18,10
PA14A;23;5,77;12,53;3,24;1,42;1,26;0,00;0,12;0,00;0,00;0,14;0,00;0,02;0,00;0,01
PA14A;24;0,00;0,00;0,00;0,00;1,05;0,00;0,00;0,00;0,00;0,01;0,01;0,04;0,06;0,43
PA14A;25;0,01;0,24;0,01;0,03;3,89;0,36;0,01;0,00;0,00;0,12;0,00;2,60;0,16;1,79
PA14A;26;0,02;0,01;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
PA14A;4;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,01;0,01;0,00;0,00;0,01;0,02
PA14A;5;0,04;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,01
