kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
P002Z;218;16107;73,8853;56,2322;0,5678;0,3991;0,6009;14,3119;2,9078;0,00;0,00;0,00;0,0046;0,1009;0,4587;0,4128;0,0229;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;499,41;189,52;0,7249;1
P003A;182;16048;88,1758;65,9444;0,5721;0,50;0,50;45,6154;18,773;0,00;0,00;0,00;0,00;0,00;0,00;0,0055;0,2582;0,1429;0,1868;0,0879;0,0989;0,033;0,0824;0,0659;0,0385;346,39;198,76;0,6354;1
P003B;258;14102;54,6589;37,2252;0,5949;0,5465;0,4535;48,2093;20,8359;0,00;0,00;0,00;0,00;0,00;0,00;0,0039;0,2481;0,1628;0,1124;0,0969;0,0814;0,0543;0,0775;0,0736;0,0891;312,75;130,62;0,7054;19
P003C;231;10196;44,1385;28,2882;0,6094;0,5887;0,4113;47,9481;21,1672;0,00;0,00;0,00;0,00;0,00;0,00;0,0043;0,2511;0,1515;0,1558;0,0606;0,0823;0,0519;0,0866;0,0519;0,1039;305,98;107,90;0,7393;19
PA01A;857;20569;24,0012;25,9091;0,4809;0,6476;0,3524;38,8775;13,8535;0,00;0,00;0,00;0,00;0,00;0,00;0,0023;0,3034;0,2334;0,2042;0,1097;0,0688;0,042;0,0292;0,007;0,00;283,42;82,97;0,7735;7
PA01B;844;17440;20,6635;22,0117;0,4842;0,5995;0,4005;34,3164;14,1237;0,00;0,00;0,00;0,00;0,00;0,0012;0,0059;0,4893;0,1884;0,1351;0,0628;0,0604;0,0284;0,0201;0,0071;0,0012;248,11;74,11;0,77;6
PA02A;8794;139038;15,8106;12,0258;0,568;0,782;0,218;38,2802;8,744;0,00;0,00;0,00;0,00;0,00;0,00;0,0002;0,1532;0,4358;0,3058;0,0685;0,0263;0,0069;0,0022;0,0007;0,0006;273,58;61,95;0,8154;17
PA02B;6708;100615;14,9993;13,9474;0,5182;0,7828;0,2172;40,1683;12,1078;0,00;0,00;0,00;0,00;0,00;0,0001;0,0013;0,1983;0,3144;0,2695;0,1027;0,0577;0,0236;0,0195;0,0085;0,0043;262,00;73,45;0,781;18
PA02C;18047;302391;16,7557;13,3464;0,5566;0,73;0,27;45,1749;15,5914;0,00;0,00;0,00;0,00;0,00;0,0002;0,0032;0,1834;0,2114;0,204;0,1178;0,0861;0,0465;0,1138;0,0259;0,0078;239,28;67,14;0,7809;19
PA02D;28671;296548;10,3431;10,7288;0,4908;0,7252;0,2748;44,7058;11,6407;0,00;0,00;0,00;0,00;0,00;0,0002;0,0015;0,1296;0,1841;0,2809;0,176;0,1429;0,0848;0,00;0,00;0,00;239,60;80,06;0,7495;20
PA03A;8450;329134;38,9508;36,8456;0,5139;0,4205;0,5795;54,7443;17,032;0,00;0,00;0,00;0,00;0,00;0,0001;0,0001;0,0935;0,1243;0,1563;0,1075;0,0883;0,0683;0,2289;0,0837;0,0491;254,25;74,71;0,7729;17
PA03B;23093;756455;32,7569;33,1052;0,4974;0,5949;0,4051;40,4042;12,0838;0,00;0,00;0,00;0,00;0,00;0,00;0,0004;0,2242;0,268;0,2307;0,1273;0,0912;0,0582;0,00;0,00;0,00;229,54;67,94;0,7716;19
PA04A;5117;168533;32,9359;29,5624;0,527;0,4127;0,5873;63,8794;21,1448;0,00;0,00;0,00;0,00;0,00;0,0002;0,0008;0,0934;0,0739;0,0895;0,0653;0,0571;0,0604;0,1608;0,1012;0,2974;262,07;71,06;0,7867;16
PA04B;15053;520051;34,548;28,9797;0,5438;0,3636;0,6364;61,6379;17,9115;0,00;0,00;0,00;0,00;0,00;0,00;0,0007;0,0849;0,0774;0,0845;0,0517;0,0448;0,0353;0,3308;0,1873;0,1026;239,94;69,53;0,7753;21
PA04C;47418;1448496;30,5474;28,7673;0,515;0,4605;0,5395;40,0435;13,5543;0,00;0,00;0,00;0,00;0,00;0,0003;0,0021;0,2855;0,1871;0,2142;0,1349;0,1071;0,0687;0,00;0,00;0,00;217,56;66,39;0,7662;20
PA14A;1785;51265;28,7199;34,1401;0,4569;0,3076;0,6924;35,7092;14,6754;0,00;0,00;0,00;0,00;0,00;0,00;0,0028;0,4258;0,2353;0,1451;0,0644;0,051;0,028;0,0331;0,0078;0,0067;261,73;80,40;0,765;9
PA14B;6410;161704;25,2268;26,5392;0,4873;0,3067;0,6933;29,6491;10,4399;0,00;0,00;0,00;0,00;0,00;0,0011;0,0048;0,5913;0,2165;0,1234;0,0395;0,0154;0,008;0,00;0,00;0,00;233,51;71,15;0,7665;19
PA15A;3648;91438;25,0652;20,0063;0,5561;0,5181;0,4819;76,7599;12,201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0022;0,0096;0,0203;0,0282;0,0359;0,0529;0,1815;0,1812;0,4882;312,62;88,08;0,7802;12
PA15B;11786;272709;23,1384;17,1703;0,574;0,425;0,5748;80,4143;9,3148;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0024;0,0025;0,0063;0,0077;0,0132;0,0182;0,1438;0,2047;0,6011;290,22;75,09;0,7944;16
PA15C;3318;80463;24,2505;21,1586;0,534;0,5099;0,4901;70,4364;12,0142;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,0118;0,0172;0,0389;0,0392;0,0591;0,0515;0,3083;0,2538;0,22;266,47;102,18;0,7228;18
PK01A;207;7069;34,1498;34,4785;0,4976;0,7923;0,2077;11,9227;3,4365;0,00;0,00;0,00;0,0386;0,2174;0,5749;0,1643;0,0048;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;438,05;149,96;0,745;11
PK01B;198;9082;45,8687;36,8348;0,5546;0,8081;0,1919;11,6212;3,5154;0,00;0,00;0,00;0,0354;0,2677;0,5253;0,1616;0,0101;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;379,18;94,85;0,7999;11
PK02A;502;11341;22,5916;19,3302;0,5389;0,6673;0,3327;16,0359;1,1662;0,00;0,00;0,00;0,00;0,00;0,2809;0,6992;0,0199;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;416,59;122,11;0,7733;16
PK02B;159;1727;10,8616;19,7575;0,3547;0,673;0,327;16,0692;1,1314;0,00;0,00;0,00;0,00;0,00;0,3019;0,6352;0,0629;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;363,87;217,68;0,6257;17
PK03Z;335;16311;48,6896;52,4712;0,4813;0,5552;0,4448;15,9164;1,6118;0,00;0,00;0,00;0,00;0,006;0,3463;0,5791;0,0687;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;411,12;137,30;0,7496;18
PK04A;1259;61480;48,8324;55,3479;0,4687;0,3693;0,6307;14,6418;2,5895;0,00;0,00;0,0008;0,0079;0,0508;0,4956;0,4138;0,031;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;404,64;110,68;0,7852;17
PK04B;7679;234987;30,6013;34,6658;0,4689;0,3249;0,6751;14,6459;2,5099;0,00;0,0009;0,0036;0,006;0,0331;0,5326;0,3976;0,0262;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;364,07;121,60;0,7496;20
PK10Z;782;50781;64,9373;52,2125;0,5543;0,0934;0,9066;13,3951;4,2395;0,00;0,0128;0,0601;0,0192;0,0281;0,5742;0,2724;0,0332;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;396,77;110,51;0,7822;1
PK14A;755;34012;45,049;34,7012;0,5649;0,7099;0,2901;9,6265;4,2888;0,00;0,0013;0,0106;0,1033;0,4675;0,2781;0,1364;0,0026;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;409,02;108,80;0,7899;16
PK14B;1876;81167;43,266;33,9801;0,5601;0,7042;0,2958;10,8502;1,6991;0,00;0,00;0,00;0,00;0,2612;0,7388;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;380,68;101,73;0,7891;20
PK14C;1837;46762;25,4556;29,3357;0,4646;0,4638;0,5362;15,4796;1,1749;0,00;0,00;0,00;0,00;0,00;0,5269;0,4507;0,0223;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;380,10;133,72;0,7398;20
PP04A;1987;75762;38,1288;24,4867;0,6089;0,3065;0,6935;54,8717;17,4168;0,00;0,00;0,00;0,00;0,00;0,00;0,0015;0,1112;0,0946;0,1525;0,1122;0,0896;0,0513;0,2542;0,0881;0,0448;233,23;63,41;0,7862;17
PP04B;6486;252567;38,9403;22,8366;0,6303;0,30;0,70;43,0359;13,1063;0,00;0,00;0,00;0,00;0,00;0,0008;0,0029;0,2117;0,1593;0,2214;0,1807;0,1454;0,0779;0,00;0,00;0,00;210,75;51,48;0,8037;18
PP10A;504;26796;53,1667;41,2953;0,5628;0,0893;0,9107;29,4444;11,5434;0,00;0,00;0,00;0,00;0,00;0,002;0,0079;0,6111;0,1786;0,125;0,0417;0,0179;0,004;0,0119;0,00;0,00;270,39;63,91;0,8088;1
PP10B;222;9605;43,2658;24,6403;0,6371;0,0315;0,9685;29,8288;11,174;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6351;0,1667;0,1216;0,027;0,027;0,0225;0,00;0,00;0,00;225,77;40,77;0,847;1
PP14Z;525;21646;41,2305;27,9637;0,5959;0,2533;0,7467;32,7848;13,3501;0,00;0,00;0,00;0,00;0,00;0,0076;0,0133;0,4876;0,2152;0,1314;0,0686;0,0343;0,021;0,0133;0,0057;0,0019;234,48;59,84;0,7967;1
TA02Z;2059;25392;12,3322;10,1155;0,5494;0,6819;0,3181;42,5949;12,8465;0,00;0,00;0,00;0,00;0,00;0,00;0,0015;0,1855;0,2292;0,2521;0,136;0,1141;0,0466;0,0301;0,0029;0,0019;197,79;58,50;0,7717;1
TA15Z;635;11784;18,5575;13,9572;0,5707;0,4142;0,5858;74,3102;9,2079;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0047;0,0031;0,0063;0,0173;0,0331;0,0488;0,3024;0,3071;0,2772;219,56;62,16;0,7794;1
TA19Z;3777;111457;29,5094;18,687;0,6123;0,3066;0,6934;65,5173;16,4305;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,0532;0,0561;0,0678;0,0376;0,0312;0,022;0,3839;0,2086;0,1393;198,53;50,76;0,7964;1
TA20Z;23414;678749;28,989;18,8153;0,6064;0,4093;0,5907;40,2354;12,7787;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,2582;0,2168;0,2297;0,1368;0,1018;0,0564;0,00;0,00;0,00;185,55;54,79;0,772;1
TK04Z;2093;85005;40,614;28,0106;0,5918;0,4353;0,5647;13,3832;2,9862;0,00;0,00;0,0005;0,0057;0,1285;0,5748;0,2747;0,0158;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;289,13;68,06;0,8095;1
TK14Z;2580;112944;43,7767;27,0769;0,6178;0,6849;0,3151;10,8566;3,2929;0,00;0,00;0,0004;0,0248;0,3694;0,5039;0,0926;0,0089;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;305,39;74,43;0,804;1
TP20Z;3435;101334;29,5004;17,5323;0,6272;0,331;0,669;40,8844;13,1064;0,00;0,00;0,00;0,00;0,00;0,00;0,0012;0,2451;0,2192;0,2349;0,1389;0,0917;0,0472;0,016;0,0052;0,0006;185,55;54,79;0,772;1
