pr_Pepp;pr_Code;pr_FaelleAnzahl;pr_FaelleAnteil;pr_NennungenAnzahl;pr_NennungenAnteil
P002Z;9-672;214;0,9817;649;0,0315
P002Z;9-693.12;193;0,8853;1945;0,0943
P002Z;9-693.13;178;0,8165;843;0,0409
P002Z;9-983.2;161;0,7385;364;0,0176
P002Z;9-693.11;159;0,7294;1820;0,0882
P002Z;9-693.14;156;0,7156;880;0,0427
P002Z;9-693.10;153;0,7018;1736;0,0841
P002Z;9-693.02;116;0,5321;849;0,0411
P002Z;9-693.00;113;0,5183;1121;0,0543
P002Z;9-693.01;106;0,4862;970;0,047
P002Z;9-696.81;102;0,4679;197;0,0095
P002Z;9-696.80;99;0,4541;239;0,0116
P002Z;9-983.1;99;0,4541;399;0,0193
P002Z;9-693.15;93;0,4266;670;0,0325
P002Z;9-696.11;90;0,4128;160;0,0078
P002Z;9-696.10;89;0,4083;156;0,0076
P002Z;9-696.71;86;0,3945;145;0,007
P002Z;9-666;84;0,3853;136;0,0066
P002Z;9-696.61;83;0,3807;169;0,0082
P002Z;9-696.82;78;0,3578;146;0,0071
P002Z;9-696.70;77;0,3532;141;0,0068
P002Z;9-696.12;75;0,344;139;0,0067
P002Z;9-696.13;74;0,3394;119;0,0058
P002Z;9-696.60;74;0,3394;192;0,0093
P002Z;9-693.03;72;0,3303;389;0,0189
P002Z;9-696.62;70;0,3211;141;0,0068
P002Z;9-696.51;68;0,3119;98;0,0047
P002Z;9-696.40;66;0,3028;240;0,0116
P002Z;1-207.0;64;0,2936;77;0,0037
P002Z;9-696.72;64;0,2936;110;0,0053
P002Z;9-696.53;63;0,289;108;0,0052
P002Z;9-696.30;60;0,2752;125;0,0061
P002Z;9-696.73;59;0,2706;81;0,0039
P002Z;9-696.83;59;0,2706;103;0,005
P002Z;9-983.0;59;0,2706;65;0,0032
P002Z;9-696.14;56;0,2569;81;0,0039
P002Z;9-690.11;54;0,2477;124;0,006
P002Z;9-696.31;54;0,2477;101;0,0049
P002Z;9-696.63;54;0,2477;106;0,0051
P002Z;9-696.32;53;0,2431;86;0,0042
P002Z;9-696.55;52;0,2385;102;0,0049
P002Z;9-696.17;50;0,2294;71;0,0034
P002Z;9-696.20;50;0,2294;191;0,0093
P002Z;9-696.52;50;0,2294;103;0,005
