ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt6c;ko_KArt7;ko_KArt8
P002Z;21;10,70;51,26;5,54;3,36;2,62;0,73;0,32;0,07;0,00;0,59;0,00;0,03;5,76;24,02
P002Z;22;30,32;116,39;13,81;9,88;5,09;1,87;0,69;0,05;0,00;1,20;0,05;0,11;12,49;67,62
P002Z;23;18,33;85,31;7,33;2,56;0,35;0,00;0,20;0,00;0,00;0,51;0,00;0,14;0,01;0,05
P002Z;24;0,00;0,02;0,00;0,00;0,79;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,04;0,33
P002Z;25;0,01;2,42;0,00;0,15;3,84;0,01;0,01;0,00;0,00;0,14;0,00;0,13;0,42;2,63
P002Z;26;0,09;2,91;0,01;0,10;0,16;0,00;0,02;0,00;0,00;0,02;0,00;0,03;0,39;1,30
P002Z;5;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P002Z;7;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P002Z;8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00
P002Z;9;0,09;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,01;0,00;0,30;0,05;0,06
P002Z;10;0,07;0,00;0,00;0,00;0,00;0,60;0,01;0,00;0,00;0,40;0,00;0,48;0,05;0,42
P002Z;11;0,17;0,00;0,00;0,00;0,00;0,41;0,00;0,00;0,00;0,02;0,00;0,22;0,05;0,15
P002Z;12;0,06;0,01;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,02;0,01;0,03
P002Z;13;0,07;0,01;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,03
P003A;21;8,55;22,45;1,10;0,67;0,62;1,06;0,70;0,30;0,00;0,65;0,05;0,03;3,32;15,66
P003A;22;30,96;101,86;2,98;4,42;3,62;1,20;2,25;0,25;0,00;2,17;0,04;0,62;14,06;56,02
P003A;23;4,14;45,23;1,35;1,06;0,21;0,01;0,84;0,01;0,00;0,70;0,00;0,02;0,53;2,67
P003A;24;0,00;0,00;0,00;0,00;0,73;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,03;0,28
P003A;25;0,00;0,21;0,00;0,01;2,54;0,00;0,01;0,00;0,00;0,07;0,00;0,00;0,12;0,90
P003A;26;0,01;0,00;0,01;0,13;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02
P003A;4;0,06;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,02;0,00;0,00;0,02;0,03
P003A;5;0,08;0,00;0,00;0,00;0,00;0,07;0,01;0,00;0,00;0,02;0,00;0,00;0,02;0,04
P003A;7;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;0,00;0,00
P003A;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,40;0,01;0,01
P003A;9;0,27;0,00;0,00;0,00;0,00;0,32;0,00;0,00;0,00;0,03;0,01;0,43;0,15;0,23
P003A;10;0,04;0,00;0,00;0,00;0,00;0,49;0,01;0,00;0,00;0,64;0,04;1,53;0,07;0,22
P003A;11;0,47;0,06;0,00;0,00;0,00;0,60;0,00;0,00;0,00;0,06;0,01;0,50;0,14;0,48
P003A;12;0,03;0,01;0,00;0,00;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,39;0,01;0,04
P003A;13;0,23;0,13;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,02;0,00;0,00;0,04;0,11
P003B;21;6,70;17,87;0,98;1,05;0,82;0,26;0,47;0,06;0,00;0,46;0,01;0,05;2,91;12,99
P003B;22;28,43;89,21;3,52;4,53;3,46;1,31;2,11;0,38;0,00;2,22;0,01;0,31;12,23;51,73
P003B;23;5,09;45,92;1,07;1,04;0,10;0,02;0,52;0,17;0,00;0,44;0,00;0,03;0,12;0,62
P003B;24;0,00;0,00;0,00;0,00;0,80;0,00;0,00;0,00;0,00;0,01;0,00;0,04;0,02;0,29
P003B;25;0,00;0,14;0,01;0,00;2,63;0,00;0,02;0,00;0,00;0,08;0,00;0,26;0,13;1,14
