ka_Pepp;ka_Verguetungsklasse;ka_Relgew
P002Z;1;2,0878
P003A;1;1,4357
P003B;1;1,5933
P003B;2;1,5933
P003B;3;1,5933
P003B;4;1,5933
P003B;5;1,5933
P003B;6;1,5933
P003B;7;1,5933
P003B;8;1,5933
P003B;9;1,5933
P003B;10;1,5933
P003B;11;1,5716
P003B;12;1,537
P003B;13;1,5023
P003B;14;1,4677
P003B;15;1,433
P003B;16;1,3984
P003B;17;1,3637
P003B;18;1,3291
P003B;19;1,2944
P003C;1;1,4534
P003C;2;1,4534
P003C;3;1,4534
P003C;4;1,4534
P003C;5;1,4534
P003C;6;1,4534
P003C;7;1,4534
P003C;8;1,4534
P003C;9;1,4437
P003C;10;1,4225
P003C;11;1,4014
P003C;12;1,3802
P003C;13;1,359
P003C;14;1,3379
P003C;15;1,3167
P003C;16;1,2956
P003C;17;1,2744
P003C;18;1,2532
P003C;19;1,232
PA01A;1;1,3346
PA01A;2;1,2998
PA01A;3;1,2681
PA01A;4;1,2364
PA01A;5;1,2047
PA01A;6;1,173
PA01A;7;1,1413
PA01B;1;1,2781
PA01B;2;1,2219
PA01B;3;1,1664
PA01B;4;1,111
PA01B;5;1,0556
PA01B;6;1,0001
PA02A;1;1,4704
PA02A;2;1,3184
PA02A;3;1,2489
PA02A;4;1,222
PA02A;5;1,2118
PA02A;6;1,2016
PA02A;7;1,1914
PA02A;8;1,1812
PA02A;9;1,171
PA02A;10;1,1608
PA02A;11;1,1506
PA02A;12;1,1404
PA02A;13;1,1302
PA02A;14;1,12
PA02A;15;1,1098
PA02A;16;1,0996
PA02A;17;1,0894
PA02B;1;1,4421
PA02B;2;1,2758
PA02B;3;1,2236
PA02B;4;1,1948
PA02B;5;1,1829
PA02B;6;1,1709
PA02B;7;1,159
PA02B;8;1,1471
PA02B;9;1,1351
PA02B;10;1,1232
PA02B;11;1,1113
PA02B;12;1,0993
PA02B;13;1,0874
PA02B;14;1,0755
PA02B;15;1,0635
PA02B;16;1,0516
PA02B;17;1,0397
PA02B;18;1,0277
PA02C;1;1,4249
PA02C;2;1,2657
PA02C;3;1,1877
PA02C;4;1,1569
PA02C;5;1,1421
PA02C;6;1,1274
PA02C;7;1,1126
PA02C;8;1,0979
PA02C;9;1,0832
PA02C;10;1,0684
PA02C;11;1,0537
