ka_Pepp;ka_Verguetungsklasse;ka_Relgew
PA02C;12;1,0389
PA02C;13;1,0242
PA02C;14;1,0094
PA02C;15;0,9947
PA02C;16;0,9799
PA02C;17;0,9652
PA02C;18;0,9504
PA02C;19;0,9357
PA02D;1;1,4215
PA02D;2;1,2621
PA02D;3;1,167
PA02D;4;1,1026
PA02D;5;1,05
PA02D;6;1,0176
PA02D;7;1,0103
PA02D;8;1,0029
PA02D;9;0,9955
PA02D;10;0,9882
PA02D;11;0,9808
PA02D;12;0,9735
PA02D;13;0,9661
PA02D;14;0,9588
PA02D;15;0,9514
PA02D;16;0,9441
PA02D;17;0,9367
PA02D;18;0,9294
PA02D;19;0,922
PA02D;20;0,9147
PA03A;1;1,3878
PA03A;2;1,2228
PA03A;3;1,2093
PA03A;4;1,1962
PA03A;5;1,183
PA03A;6;1,1699
PA03A;7;1,1568
PA03A;8;1,1437
PA03A;9;1,1306
PA03A;10;1,1174
PA03A;11;1,1043
PA03A;12;1,0912
PA03A;13;1,0781
PA03A;14;1,065
PA03A;15;1,0519
PA03A;16;1,0387
PA03A;17;1,0256
PA03B;1;1,2915
PA03B;2;1,1875
PA03B;3;1,103
PA03B;4;1,0805
PA03B;5;1,0514
PA03B;6;1,0411
PA03B;7;1,0321
PA03B;8;1,0231
PA03B;9;1,0141
PA03B;10;1,0051
PA03B;11;0,9962
PA03B;12;0,9872
PA03B;13;0,9782
PA03B;14;0,9692
PA03B;15;0,9602
PA03B;16;0,9512
PA03B;17;0,9422
PA03B;18;0,9332
PA03B;19;0,9242
PA04A;1;1,3778
PA04A;2;1,2266
PA04A;3;1,215
PA04A;4;1,2028
PA04A;5;1,1906
PA04A;6;1,1784
PA04A;7;1,1662
PA04A;8;1,154
PA04A;9;1,1418
PA04A;10;1,1297
PA04A;11;1,1175
PA04A;12;1,1053
PA04A;13;1,0931
PA04A;14;1,0809
PA04A;15;1,0687
PA04A;16;1,0566
PA04B;1;1,3214
PA04B;2;1,1403
PA04B;3;1,1292
PA04B;4;1,1201
PA04B;5;1,1111
PA04B;6;1,102
PA04B;7;1,0929
PA04B;8;1,0838
PA04B;9;1,0748
PA04B;10;1,0657
PA04B;11;1,0566
PA04B;12;1,0476
PA04B;13;1,0385
PA04B;14;1,0294
PA04B;15;1,0203
PA04B;16;1,0113
PA04B;17;1,0022
PA04B;18;0,9931
PA04B;19;0,984
PA04B;20;0,975
PA04B;21;0,9659
PA04C;1;1,286
PA04C;2;1,1224
PA04C;3;1,0946
PA04C;4;1,0786
PA04C;5;1,0655
PA04C;6;1,0525
PA04C;7;1,0395
PA04C;8;1,0264
PA04C;9;1,0134
PA04C;10;1,0003
PA04C;11;0,9873
PA04C;12;0,9743
PA04C;13;0,9612
PA04C;14;0,9482
PA04C;15;0,9352
PA04C;16;0,9221
PA04C;17;0,9091
PA04C;18;0,8961
PA04C;19;0,883
PA04C;20;0,87
PA14A;1;1,3405
PA14A;2;1,2263
PA14A;3;1,2011
PA14A;4;1,1761
PA14A;5;1,1511
PA14A;6;1,1261
PA14A;7;1,1012
PA14A;8;1,0762
PA14A;9;1,0512
PA14B;1;1,2592
PA14B;2;1,1738
PA14B;3;1,1019
PA14B;4;1,0904
PA14B;5;1,0797
PA14B;6;1,0691
PA14B;7;1,0584
PA14B;8;1,0478
PA14B;9;1,0371
PA14B;10;1,0264
PA14B;11;1,0158
PA14B;12;1,0051
PA14B;13;0,9945
PA14B;14;0,9838
PA14B;15;0,9731
PA14B;16;0,9625
PA14B;17;0,9518
PA14B;18;0,9411
PA14B;19;0,9305
PA15A;1;1,5487
PA15A;2;1,522
PA15A;3;1,4959
PA15A;4;1,4697
PA15A;5;1,4436
PA15A;6;1,4174
PA15A;7;1,3913
PA15A;8;1,3651
PA15A;9;1,3389
PA15A;10;1,3128
PA15A;11;1,2866
PA15A;12;1,2605
PA15B;1;1,4923
PA15B;2;1,4594
PA15B;3;1,4381
PA15B;4;1,4168
PA15B;5;1,3955
PA15B;6;1,3742
PA15B;7;1,3529
PA15B;8;1,3316
PA15B;9;1,3103
PA15B;10;1,289
PA15B;11;1,2677
PA15B;12;1,2464
PA15B;13;1,2251
PA15B;14;1,2038
PA15B;15;1,1825
PA15B;16;1,1612
PA15C;1;1,4664
PA15C;2;1,4298
PA15C;3;1,4067
PA15C;4;1,3836
PA15C;5;1,3605
PA15C;6;1,3374
PA15C;7;1,3143
PA15C;8;1,2913
PA15C;9;1,2682
PA15C;10;1,2451
PA15C;11;1,222
PA15C;12;1,1989
PA15C;13;1,1758
PA15C;14;1,1527
PA15C;15;1,1296
PA15C;16;1,1066
PA15C;17;1,0835
PA15C;18;1,0604
PK01A;1;2,3381
PK01A;2;2,3381
PK01A;3;2,2763
PK01A;4;2,2141
PK01A;5;2,152
PK01A;6;2,0898
PK01A;7;2,0276
PK01A;8;1,9654
PK01A;9;1,9032
PK01A;10;1,841
PK01A;11;1,7788
PK01B;1;2,0535
PK01B;2;2,0535
PK01B;3;1,9931
PK01B;4;1,9381
PK01B;5;1,8832
PK01B;6;1,8283
PK01B;7;1,7733
PK01B;8;1,7184
PK01B;9;1,6635
PK01B;10;1,6085
PK01B;11;1,5536
PK02A;1;2,3067
PK02A;2;2,2599
PK02A;3;2,2161
PK02A;4;2,1724
PK02A;5;2,1287
PK02A;6;2,085
PK02A;7;2,0412
PK02A;8;1,9975
PK02A;9;1,9538
PK02A;10;1,9101
PK02A;11;1,8663
PK02A;12;1,8226
PK02A;13;1,7789
PK02A;14;1,7352
PK02A;15;1,6915
PK02A;16;1,6477
PK02B;1;2,2183
PK02B;2;2,2134
PK02B;3;2,1586
PK02B;4;2,1038
PK02B;5;2,049
PK02B;6;1,9942
PK02B;7;1,9394
PK02B;8;1,8846
PK02B;9;1,8298
PK02B;10;1,775
PK02B;11;1,7202
PK02B;12;1,6654
PK02B;13;1,6106
PK02B;14;1,5558
PK02B;15;1,5011
PK02B;16;1,4463
PK02B;17;1,3915
PK03Z;1;2,1437
PK03Z;2;2,1437
PK03Z;3;2,1185
PK03Z;4;2,0892
PK03Z;5;2,0579
PK03Z;6;2,0267
PK03Z;7;1,9955
PK03Z;8;1,9643
PK03Z;9;1,9331
PK03Z;10;1,9018
PK03Z;11;1,8706
PK03Z;12;1,8394
PK03Z;13;1,8082
PK03Z;14;1,7769
PK03Z;15;1,7457
PK03Z;16;1,7145
PK03Z;17;1,6833
PK03Z;18;1,6521
PK04A;1;2,1986
PK04A;2;1,943
PK04A;3;1,9243
PK04A;4;1,9016
PK04A;5;1,8788
PK04A;6;1,8561
PK04A;7;1,8334
PK04A;8;1,8106
PK04A;9;1,7879
PK04A;10;1,7651
PK04A;11;1,7424
PK04A;12;1,7196
PK04A;13;1,6969
PK04A;14;1,6741
PK04A;15;1,6514
PK04A;16;1,6286
PK04A;17;1,6059
PK04B;1;2,0671
PK04B;2;1,884
PK04B;3;1,8635
PK04B;4;1,8388
PK04B;5;1,8142
PK04B;6;1,7895
PK04B;7;1,7649
PK04B;8;1,7402
PK04B;9;1,7156
PK04B;10;1,6909
PK04B;11;1,6663
PK04B;12;1,6416
PK04B;13;1,617
PK04B;14;1,5923
PK04B;15;1,5677
PK04B;16;1,543
PK04B;17;1,5184
PK04B;18;1,4937
PK04B;19;1,4691
PK04B;20;1,4444
PK10Z;1;1,6135
PK14A;1;2,0101
PK14A;2;2,0101
PK14A;3;1,9876
PK14A;4;1,9622
PK14A;5;1,9369
PK14A;6;1,9116
PK14A;7;1,8862
PK14A;8;1,8609
PK14A;9;1,8356
PK14A;10;1,8102
PK14A;11;1,7849
PK14A;12;1,7596
PK14A;13;1,7342
PK14A;14;1,7089
PK14A;15;1,6836
PK14A;16;1,6582
PK14B;1;1,9871
PK14B;2;1,959
PK14B;3;1,9358
PK14B;4;1,9117
PK14B;5;1,8877
PK14B;6;1,8636
PK14B;7;1,8396
PK14B;8;1,8155
PK14B;9;1,7915
PK14B;10;1,7674
PK14B;11;1,7434
PK14B;12;1,7193
PK14B;13;1,6953
PK14B;14;1,6712
PK14B;15;1,6472
PK14B;16;1,6231
PK14B;17;1,5991
PK14B;18;1,575
PK14B;19;1,551
PK14B;20;1,5269
PK14C;1;1,933
PK14C;2;1,9262
PK14C;3;1,9025
PK14C;4;1,8788
PK14C;5;1,8552
PK14C;6;1,8315
PK14C;7;1,8078
PK14C;8;1,7841
PK14C;9;1,7604
PK14C;10;1,7368
PK14C;11;1,7131
PK14C;12;1,6894
PK14C;13;1,6657
PK14C;14;1,642
PK14C;15;1,6183
PK14C;16;1,5947
PK14C;17;1,571
PK14C;18;1,5473
PK14C;19;1,5236
PK14C;20;1,4999
PP04A;1;1,1606
PP04A;2;1,1606
PP04A;3;1,1457
PP04A;4;1,1321
PP04A;5;1,1186
PP04A;6;1,105
PP04A;7;1,0914
PP04A;8;1,0778
PP04A;9;1,0642
PP04A;10;1,0507
PP04A;11;1,0371
PP04A;12;1,0235
PP04A;13;1,0099
PP04A;14;0,9963
PP04A;15;0,9827
PP04A;16;0,9692
PP04A;17;0,9556
PP04B;1;1,1058
PP04B;2;1,0925
PP04B;3;1,0789
PP04B;4;1,0654
PP04B;5;1,0518
PP04B;6;1,0382
PP04B;7;1,0247
PP04B;8;1,0111
PP04B;9;0,9976
PP04B;10;0,984
PP04B;11;0,9704
PP04B;12;0,9569
PP04B;13;0,9433
PP04B;14;0,9297
PP04B;15;0,9162
PP04B;16;0,9026
PP04B;17;0,889
PP04B;18;0,8755
PP10A;1;1,0829
PP10B;1;0,9248
PP14Z;1;0,9499
TA02Z;1;0,7959
TA15Z;1;0,8888
TA19Z;1;0,8056
TA20Z;1;0,7515
TK04Z;1;1,1731
TK14Z;1;1,2443
TP20Z;1;0,7515
