IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
C03A;1;0;264,89;0,05;23,19;0;0;18,81;0;74,08;269,54;650,56
C03A;4;0;0;244,23;4,77;28,39;85,48;66,35;487,53;97,1;139,73;1153,58
C03A;5;192,92;0;118,87;6,79;0;0;32,74;0;16,55;32;399,87
C03A;7;0,29;0;0,06;0;0;0;0,01;0;0,03;0,07;0,46
C03A;9;0,08;0;0,09;0;0;0;0;0;0,03;0,05;0,25
C03A;10;0,05;0;2,16;0,52;0;0;1,87;0;0,19;1,21;6
C03A;11;0,5;0;0,41;0;0;0;0,06;0;0,04;0,26;1,27
C03B;1;1,45;300,07;1,35;20,83;0;0;25,35;0;81,97;264,28;695,3
C03B;4;0;0;209,37;17,65;25,35;97,95;87,98;287,14;82,91;127,1;935,45
C03B;5;155,8;0;87,23;8,28;0;0;25,82;0;19,34;35,25;331,72
C03B;7;0,05;0;0,01;0;0;0;0;0;0,01;0,01;0,08
C03B;9;0,68;0;0,75;0,01;0;0;0;0;0,21;0,45;2,1
C03B;10;0,14;0;2,1;0,17;0;0;1,23;0,1;0,27;0,87;4,88
C03B;11;1,67;0;2,53;0,03;0;0;0,19;0,13;0,19;1,36;6,1
C03C;1;0,27;250,34;0,16;19,39;0;0;14,87;0,52;65,85;242,31;593,71
C03C;2;0,28;0,47;0;0,05;0;0;0,07;0;0,11;0,27;1,25
C03C;4;0;0;186,92;9,51;47,52;0,73;66,42;401,79;80,02;111,78;904,69
C03C;5;138,35;0;77,49;5,22;0;0;23,92;0;12,93;26,42;284,33
C03C;7;0,07;0;0,01;0;0;0;0;0;0,01;0,02;0,11
C03C;9;0,3;0;0,34;0;0;0;0,01;0,02;0,1;0,21;0,98
C03C;10;0,06;0;2,32;0,14;0;0;1,48;0,01;0,32;0,83;5,16
C03C;11;2,21;0,98;1,68;0,02;0;0;0,17;0,23;0,2;1,33;6,82
C03D;1;1,42;272,64;1,48;18,28;0;0;24,36;0;78,49;237,96;634,63
C03D;2;0,78;1,29;0;0,14;0;0;0,2;0;0,3;0,75;3,46
C03D;4;0;0;118,06;15,1;17,93;6,55;52,12;253,13;51,79;75,36;590,04
C03D;5;95,38;0;51,64;5,08;0;0;15,14;0;13,49;23,13;203,86
C03D;7;0,08;0;0,02;0;0;0;0;0;0,01;0,02;0,13
C03D;9;0,54;0;0,59;0,01;0;0;0;0,3;0,17;0,36;1,97
C03D;10;0,1;0;2,04;0,15;0;0;1,17;1,08;0,28;0,85;5,67
C03D;11;1,49;0;1,43;0,01;0;0;0,16;0,29;0,14;0,93;4,45
C04B;1;0,86;435,75;0,65;28,4;0,07;0;27,58;0;106,63;363,13;963,07
C04B;4;0;0;196,15;18,44;3,26;1875,73;80,63;193,34;85,59;118,33;2571,47
C04B;5;133,16;0;67,94;6,63;0;0;22,06;0;17,44;32,39;279,62
C04B;9;0,52;0;0,57;0;0;0;0;0;0,16;0,35;1,6
C04B;10;1,26;0;6,71;0,01;0;0;3,3;0,23;0,85;2,38;14,74
C04B;11;4,18;4,1;7,07;0;0;0;0,79;1,79;0,34;2,84;21,11
C06Z;1;0,5;364,49;0,21;22,05;0,2;0;23,37;0;91,18;301,86;803,86
C06Z;4;0;0;143,87;16,54;14,33;50,58;75,73;50,77;67,08;95,87;514,77
C06Z;5;98,26;0;42,92;3,8;0;0;15,43;0;14,9;25,76;201,07
C06Z;9;0,38;0;0,42;0;0;0;0;0;0,12;0,26;1,18
C06Z;10;0,1;0;2,68;0,01;0;0;1,41;0,06;0,42;0,9;5,58
C06Z;11;1,51;0;1,34;0;0;0;0,14;0;0,11;0,95;4,05
C07A;1;0,08;233,18;0,06;19,47;0;0;12,78;0;63,83;222,69;552,09
C07A;4;0;0;83,79;3,1;7,62;123,21;35,29;92,88;43,2;68,54;457,63
C07A;5;119,8;0;74,78;4,11;0;0;20,07;0;12,46;19,88;251,1
C07A;10;0,04;0;0,8;0,09;0;0;0,77;0,03;0,07;0,15;1,95
C07A;11;0,36;0;1,27;0;0;0;0,05;0;0,03;0,31;2,02
C07B;1;0;228,88;1,35;17,64;3,95;0;14,61;0;68,08;213,61;548,12
C07B;4;0;0;44,27;4,47;3,84;0;26,56;19,8;22,08;34,29;155,31
C07B;5;57,75;0;35,84;2,28;0;0;9,42;0;7,41;10,93;123,63
C07B;9;0,02;0;0,02;0;0;0;0;0;0,01;0,01;0,06
