IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
901A;1;821,76;2067,42;74,92;271,27;237,7;0;206,37;14,9;447,72;1342,61;5484,67
901A;2;904,25;1744,61;57,61;188,61;170,61;0;309,89;16,44;352,17;896,15;4640,34
901A;4;356,62;0;285,54;13,58;10,1;472,55;177,46;142,07;140,57;209,38;1807,87
901A;5;253,31;0;176,85;15,27;3,52;0;52,72;0,18;33,12;75,53;610,5
901A;7;22,93;0;17,64;1,13;0,41;64,07;11,83;21,96;8,12;16,59;164,68
901A;8;66,67;0;66,28;2,08;0,06;0;30,42;15,87;29,67;47,4;258,45
901A;9;228,12;0;229,66;2,38;3,14;75,21;39,95;233,13;105,07;162,94;1079,6
901A;10;78,61;0;326,7;9,24;528,59;0;270,63;120,59;43,01;147,44;1524,81
901A;11;148,45;5,59;255,92;4,19;0;0;21,33;30,27;31,82;117,84;615,41
901B;1;815,04;1572,78;72,09;159,62;51,59;0;151,79;33,2;395,73;1233,26;4485,1
901B;2;344,79;714,37;8,09;81,15;23,11;0;115,22;5,54;140,41;335,4;1768,08
901B;4;519,48;0;409,66;17,26;31,08;216,95;244,25;220,72;219,68;282,94;2162,02
901B;5;363,89;0;230,98;20,09;1,26;0;72,17;1,54;45,45;95,65;831,03
901B;7;9,95;0;9,81;0,59;0,58;2,58;6,38;20,14;4,8;7,9;62,73
901B;8;45,35;0;49,96;1,85;0,03;0,18;22,12;9,59;23,07;34,64;186,79
901B;9;121,49;0;127,91;2,03;2,31;19,78;27,09;102,26;52,15;89,22;544,24
901B;10;47,3;0;157,7;5,6;106,2;0;115,05;115,26;22,28;73,31;642,7
901B;11;101,47;4,69;200,72;3,34;0,01;1,28;14,64;28,9;23,3;91,06;469,41
901C;1;711,98;1485,02;68,87;123,85;21,96;0;128,75;15,12;349,94;1075,37;3980,86
901C;2;217,52;422,46;12,19;42,93;16,48;0;64,49;7,36;83,17;201,77;1068,37
901C;4;396,87;0;279,96;13,62;6,2;405,85;187,49;110,62;174,59;218,87;1794,07
901C;5;272,57;0;176,07;15,63;1,7;0;56,38;0,8;36,98;73,36;633,49
901C;7;2,72;0;5,47;0,86;0;1,63;2,85;7,54;1,67;3,87;26,61
901C;8;14,27;0;16,72;0,72;0;2,2;6,64;3,75;6,86;10,21;61,37
901C;9;97,87;0;95,45;1,64;0,12;0;18,83;69,06;42,55;65,8;391,32
901C;10;39,89;0;108,93;3,28;67,67;0;78,41;65,64;16,03;54,22;434,07
901C;11;99,62;3,94;212,42;3,71;0;0;16,28;28,31;22,01;95,3;481,59
901D;1;522,48;972,14;46,43;92,4;23,98;0;86,84;17,16;261,84;816,66;2839,93
901D;2;130,56;253,27;4,45;27,49;9,48;0;40,51;1,53;51,32;127,52;646,13
901D;4;180,65;0;152,4;5,86;13,82;100,12;87,76;57,2;85,71;115,23;798,75
901D;5;147,16;0;98,03;8,2;0,84;0;29,15;0,57;18,49;39,14;341,58
901D;6;0,44;0;0,73;0,05;0;0;0,1;0;0,1;0,33;1,75
901D;7;36,51;0;36,69;2,84;0,97;47,82;20,91;82,68;16,57;27,33;272,32
901D;8;27,24;0;27,38;1;0,11;5,54;12,38;8,02;13;18,29;112,96
901D;9;90,66;0;87,86;1,65;1,51;31,16;21,06;101,52;38,21;60,55;434,18
901D;10;17,77;0;76,78;2,13;32,25;0;58,5;47,27;9,68;35,15;279,53
901D;11;84,46;2,76;128,65;3,02;0,03;0,3;13,58;11,8;18,41;63,64;326,65
902Z;1;420,36;724,74;35,24;72,28;22,18;0;65,24;14,1;218,29;648,01;2220,44
902Z;2;36,55;78,53;1,12;7,91;1,18;0;10,71;0,64;14,58;37,56;188,78
902Z;4;109,65;0;105,25;4,17;4,51;162,81;55,62;36,35;56,53;77,93;612,82
902Z;5;104,05;0;70,5;5,45;0,55;0;20,03;0,48;12,88;27,31;241,25
902Z;6;1,06;0;1,01;0,1;0;0;0,27;0;0,4;0,71;3,55
902Z;7;4,16;0;4,53;0,29;0,02;0,05;2,5;7,51;2,19;3,54;24,79
902Z;8;35,71;0;37;1,25;0,2;3,37;16,94;7,94;16,8;24,39;143,6
902Z;9;57,01;0;58,53;0,86;0,77;0;11,69;53,23;25,53;39,12;246,74
902Z;10;18,11;0;62,05;1,51;20,49;0;43,14;53,41;8,11;28,61;235,43
902Z;11;84,97;2,34;101,54;3,28;0,38;0;16,08;7,16;19,58;55,31;290,64
963Z;1;225,01;475,19;20,33;19,93;0;0;30,62;6,35;94,49;248,04;1119,96
963Z;2;87,26;165,83;0;3,47;0;0;14,43;0;16,01;39,46;326,46
963Z;4;4,83;0;3,95;0,18;0;0;2,25;0;2,63;3,4;17,24
