IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
05 ;F21C;1998;0,1602;0,1381;0,1346;0,2943;0,2728;0,5465;0,4535;0;0;0,0005;0;0;0;0;0,0005;0,0055;0,012;0,048;0,0531;0,0686;0,0981;0,2693;0,1637;0,2808;0,0373;0,8571;0,1055;3;26;13,1;1,376;0,0008;6;3863,63;1772,85
05 ;F24A;470;0;0;0;0;1;0,6468;0,3532;0;0;0;0;0;0;0;0;0,0043;0,0064;0,0149;0,0383;0,0723;0,1;0,2553;0,2043;0,3043;0,1107;0,8007;0,0886;3;27;12,9;2,692;0,0002;6,4;7559,14;2867,81
05 ;F24B;3350;0,5167;0,1907;0,1484;0,1442;0;0,7669;0,2331;0;0;0;0;0;0;0;0;0,0003;0,0125;0,0842;0,0997;0,1325;0,1299;0,2904;0,1337;0,1167;0,029;0,901;0,0699;1;13;6,3;1,726;0,0013;2,9;4847,77;1764,46
05 ;F27A;182;0,0714;0,1648;0,1648;0,3736;0,2253;0,7637;0,2363;0;0;0;0;0;0;0;0;0;0;0,0275;0,0275;0,0714;0,1484;0,3462;0,1593;0,2198;0,0215;0,7811;0,1974;7;42;24,3;4,152;0,0001;9,7;11658,9;4205,99
05 ;F27B;631;0,0238;0,0063;0,0032;0,0143;0,9525;0,6894;0,3106;0;0;0;0;0;0;0;0;0;0,0063;0,0365;0,0507;0,0729;0,1062;0,2868;0,2108;0,2298;0,0467;0,8413;0,112;5;35;18,5;2,112;0,0002;7,7;5932,4;2571,22
05 ;F27C;1822;0,2278;0,1641;0,2503;0,3578;0;0,7349;0,2651;0;0;0;0;0;0;0;0;0,0016;0,0121;0,0467;0,0598;0,0988;0,1383;0,2936;0,1619;0,1872;0,0524;0,8522;0,0954;4;29;14,4;1,577;0,0007;6,7;4428,52;1930,4
05 ;F28A;1062;0,0452;0,0405;0,0923;0,2298;0,5923;0,6742;0,3258;0;0;0;0;0;0;0;0;0,0009;0,0028;0,0113;0,0414;0,0697;0,1309;0,3013;0,1657;0,2759;0,0403;0,7024;0,2573;10;50;32,1;5,288;0,0004;12,1;14851;7026,63
05 ;F28B;1049;0;0;0;0,4137;0,5863;0,6435;0,3565;0;0;0;0;0;0;0;0;0;0,0057;0,0114;0,0229;0,041;0,1001;0,2488;0,1859;0,3842;0,0404;0,8144;0,1452;5;37;19;2,57;0,0004;8,6;7216,81;3298,81
05 ;F28C;407;0,317;0,2211;0,4619;0;0;0,7002;0,2998;0;0;0;0;0;0;0;0;0;0,0098;0,0319;0,0614;0,0811;0,1351;0,2727;0,1425;0,2654;0,034;0,866;0,1;5;33;17;2,041;0,0002;7,4;5731,83;2249,87
05 ;F30Z;208;0,0096;0,0433;0,0144;0,2885;0,6442;0,5144;0,4856;0;0;0,5577;0,1683;0,1538;0,0288;0,0433;0,0048;0,0385;0;0,0048;0;0;0;0;0;0;0;0,9369;0,0631;3;24;13,5;7,768;0,0001;5;21815,28;5587,57
