ka_Pepp;ka_Verguetungsklasse;ka_Relgew
P002Z;1;2,0566
P003A;1;1,4826
P003B;1;1,6265
P003B;2;1,6265
P003B;3;1,6265
P003B;4;1,6265
P003B;5;1,6265
P003B;6;1,6265
P003B;7;1,6265
P003B;8;1,6265
P003B;9;1,6265
P003B;10;1,6024
P003B;11;1,5744
P003B;12;1,5463
P003B;13;1,5183
P003B;14;1,4902
P003B;15;1,4621
P003B;16;1,4341
P003B;17;1,406
P003B;18;1,378
P003B;19;1,3499
P003C;1;1,5256
P003C;2;1,5256
P003C;3;1,5256
P003C;4;1,5256
P003C;5;1,5256
P003C;6;1,5256
P003C;7;1,5256
P003C;8;1,5256
P003C;9;1,5035
P003C;10;1,4815
P003C;11;1,4595
P003C;12;1,4374
P003C;13;1,4154
P003C;14;1,3933
P003C;15;1,3713
P003C;16;1,3492
P003C;17;1,3272
P003C;18;1,3051
P003C;19;1,2831
PA01A;1;1,2657
PA01A;2;1,2117
PA01A;3;1,1579
PA01A;4;1,1041
PA01B;1;1,207
PA01B;2;1,1387
PA01B;3;1,0706
PA01B;4;1,0024
PA02A;1;1,5002
PA02A;2;1,3043
PA02A;3;1,2794
PA02A;4;1,2636
PA02A;5;1,2477
PA02A;6;1,2319
PA02A;7;1,2161
PA02A;8;1,2003
PA02A;9;1,1844
PA02A;10;1,1686
PA02A;11;1,1528
PA02A;12;1,137
PA02A;13;1,1212
PA02A;14;1,1053
PA02B;1;1,4073
PA02B;2;1,2937
PA02B;3;1,2444
PA02B;4;1,2178
PA02B;5;1,2063
PA02B;6;1,1948
PA02B;7;1,1833
PA02B;8;1,1718
PA02B;9;1,1603
PA02B;10;1,1488
PA02B;11;1,1374
PA02B;12;1,1259
PA02B;13;1,1144
PA02B;14;1,1029
PA02B;15;1,0914
PA02B;16;1,0799
PA02B;17;1,0684
PA02B;18;1,0569
PA02C;1;1,3961
PA02C;2;1,2417
PA02C;3;1,1741
PA02C;4;1,1418
PA02C;5;1,1297
PA02C;6;1,1176
PA02C;7;1,1055
PA02C;8;1,0934
PA02C;9;1,0813
PA02C;10;1,0692
PA02C;11;1,0571
PA02C;12;1,045
PA02C;13;1,0329
PA02C;14;1,0208
PA02C;15;1,0087
PA02C;16;0,9966
PA02C;17;0,9845
PA02C;18;0,9724
PA02C;19;0,9602
PA02D;1;1,3603
PA02D;2;1,1962
PA02D;3;1,1505
PA02D;4;1,0935
PA02D;5;1,053
PA02D;6;1,0309
PA02D;7;1,0241
PA02D;8;1,0173
PA02D;9;1,0104
PA02D;10;1,0036
PA02D;11;0,9968
PA02D;12;0,9899
PA02D;13;0,9831
PA02D;14;0,9763
PA02D;15;0,9694
PA02D;16;0,9626
PA02D;17;0,9558
PA02D;18;0,9489
PA02D;19;0,9421
PA02D;20;0,9353
PA02D;21;0,9285
PA02D;22;0,9216
PA02D;23;0,9148
PA03A;1;1,3289
PA03A;2;1,1386
PA03A;3;1,1335
PA03A;4;1,1273
PA03A;5;1,121
PA03A;6;1,1148
PA03A;7;1,1085
PA03A;8;1,1023
PA03A;9;1,0961
PA03A;10;1,0898
PA03A;11;1,0836
PA03A;12;1,0773
PA03A;13;1,0711
PA03A;14;1,0649
PA03A;15;1,0586
PA03A;16;1,0524
PA03A;17;1,0461
PA03A;18;1,0399
PA03A;19;1,0337
PA03A;20;1,0274
PA03A;21;1,0212
PA03B;1;1,2571
PA03B;2;1,1168
PA03B;3;1,0718
PA03B;4;1,0534
PA03B;5;1,0429
PA03B;6;1,0336
PA03B;7;1,0242
PA03B;8;1,0149
PA03B;9;1,0056
PA03B;10;0,9963
PA03B;11;0,987
PA03B;12;0,9777
PA03B;13;0,9684
PA03B;14;0,9591
PA03B;15;0,9498
PA03B;16;0,9404
PA03B;17;0,9311
PA03B;18;0,9218
PA04A;1;1,3185
PA04A;2;1,2003
PA04A;3;1,194
PA04A;4;1,1836
PA04A;5;1,1732
PA04A;6;1,1629
PA04A;7;1,1525
PA04A;8;1,1421
PA04A;9;1,1318
PA04A;10;1,1214
PA04A;11;1,111
PA04A;12;1,1007
PA04A;13;1,0903
PA04A;14;1,08
PA04A;15;1,0696
PA04A;16;1,0592
PA04B;1;1,296
PA04B;2;1,1094
PA04B;3;1,102
PA04B;4;1,0946
PA04B;5;1,0873
PA04B;6;1,0799
