pr_Pepp;pr_Code;pr_FaelleAnzahl;pr_FaelleAnteil;pr_NennungenAnzahl;pr_NennungenAnteil
P002Z;9-983.2;265;0,755;835;0,0638
P002Z;9-671.20;248;0,7066;587;0,0448
P002Z;9-671.10;231;0,6581;623;0,0476
P002Z;9-671.30;228;0,6496;449;0,0343
P002Z;9-671.00;223;0,6353;608;0,0464
P002Z;9-671.21;203;0,5783;390;0,0298
P002Z;9-671.22;161;0,4587;256;0,0196
P002Z;9-670.20;158;0,4501;375;0,0286
P002Z;9-671.01;158;0,4501;392;0,0299
P002Z;9-671.40;158;0,4501;300;0,0229
P002Z;9-671.11;155;0,4416;360;0,0275
P002Z;9-983.1;152;0,433;391;0,0299
P002Z;1-207.0;145;0,4131;170;0,013
P002Z;9-671.31;145;0,4131;227;0,0173
P002Z;9-671.23;115;0,3276;192;0,0147
P002Z;1-904;108;0,3077;212;0,0162
P002Z;9-671.02;107;0,3048;200;0,0153
P002Z;9-664.1;96;0,2735;190;0,0145
P002Z;9-671.12;96;0,2735;188;0,0144
P002Z;9-664.0;93;0,265;180;0,0137
P002Z;9-671.32;88;0,2507;133;0,0102
P002Z;9-670.30;86;0,245;153;0,0117
P002Z;9-671.24;86;0,245;137;0,0105
P002Z;9-671.50;85;0,2422;129;0,0099
P002Z;9-690.11;83;0,2365;348;0,0266
P002Z;9-670.21;82;0,2336;208;0,0159
P002Z;9-983.0;82;0,2336;103;0,0079
P002Z;9-690.14;79;0,2251;670;0,0512
P002Z;9-664.2;75;0,2137;154;0,0118
P002Z;9-671.42;75;0,2137;98;0,0075
P002Z;3-800;74;0,2108;75;0,0057
P002Z;9-671.13;68;0,1937;159;0,0121
P002Z;9-671.41;62;0,1766;88;0,0067
P002Z;9-664.3;59;0,1681;107;0,0082
P002Z;9-690.13;57;0,1624;120;0,0092
P002Z;9-670.31;55;0,1567;86;0,0066
P002Z;9-671.33;55;0,1567;71;0,0054
P002Z;9-664.4;54;0,1538;83;0,0063
P002Z;9-671.51;51;0,1453;70;0,0053
P002Z;9-690.10;48;0,1368;113;0,0086
P002Z;9-670.22;47;0,1339;74;0,0057
P002Z;9-671.03;47;0,1339;68;0,0052
P002Z;9-690.12;44;0,1254;106;0,0081
P002Z;9-665.2;43;0,1225;56;0,0043
P002Z;9-670.40;43;0,1225;65;0,005
P002Z;9-671.25;42;0,1197;53;0,004
P002Z;9-671.43;42;0,1197;56;0,0043
P002Z;9-664.5;41;0,1168;60;0,0046
P002Z;9-665.3;38;0,1083;46;0,0035
P002Z;9-665.5;38;0,1083;58;0,0044
P002Z;9-690.01;37;0,1054;51;0,0039
P002Z;9-665.1;36;0,1026;48;0,0037
P002Z;9-665.4;36;0,1026;47;0,0036
P002Z;9-665.7;35;0,0997;47;0,0036
P002Z;9-671.52;35;0,0997;46;0,0035
P002Z;9-665.0;34;0,0969;50;0,0038
P002Z;9-665.8;34;0,0969;51;0,0039
P002Z;9-670.32;33;0,094;51;0,0039
P002Z;9-671.14;33;0,094;54;0,0041
P002Z;9-654.1;32;0,0912;58;0,0044
P002Z;9-665.6;31;0,0883;43;0,0033
P002Z;9-665.a;31;0,0883;37;0,0028
P002Z;9-665.w;30;0,0855;83;0,0063
P002Z;9-654.0;29;0,0826;38;0,0029
P002Z;9-664.6;27;0,0769;38;0,0029
P002Z;9-665.b;27;0,0769;29;0,0022
P002Z;9-665.9;26;0,0741;42;0,0032
P002Z;9-665.d;26;0,0741;35;0,0027
P002Z;9-665.e;26;0,0741;38;0,0029
P002Z;9-690.00;26;0,0741;49;0,0037
P002Z;9-654.3;25;0,0712;37;0,0028
P002Z;9-665.c;24;0,0684;30;0,0023
P002Z;9-670.23;24;0,0684;38;0,0029
P002Z;9-670.33;24;0,0684;37;0,0028
P002Z;9-671.53;24;0,0684;31;0,0024
P002Z;9-671.44;23;0,0655;32;0,0024
P002Z;9-664.7;22;0,0627;24;0,0018
P002Z;9-665.h;22;0,0627;29;0,0022
P002Z;9-665.f;21;0,0598;33;0,0025
