ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8
P002Z;21;15,88;58,89;5,18;3,36;2,38;2,02;0,36;0,04;0,00;0,77;0,13;6,56;31,30
P002Z;22;30,56;97,21;8,45;7,83;3,68;2,08;0,70;0,04;0,00;1,19;0,09;12,17;60,10
P002Z;23;12,49;92,11;4,74;1,41;0,07;0,00;0,12;0,04;0,00;0,25;0,00;0,00;0,00
P002Z;24;0,00;0,06;0,00;0,00;1,44;0,00;0,00;0,00;0,00;0,01;0,06;0,05;0,55
P002Z;25;0,00;0,71;0,00;0,17;4,27;0,03;0,00;0,00;0,00;0,19;0,34;0,52;2,45
P002Z;26;0,00;0,00;0,00;0,16;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,12
P002Z;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P002Z;7;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01
P002Z;9;0,18;0,00;0,00;0,00;0,00;0,18;0,01;0,00;0,00;0,02;0,29;0,08;0,13
P002Z;10;0,07;0,00;0,00;0,00;0,00;0,48;0,00;0,00;0,00;0,44;0,56;0,05;0,27
P002Z;11;0,38;0,02;0,00;0,00;0,00;0,68;0,01;0,00;0,00;0,05;0,30;0,09;0,30
P003A;21;10,65;27,17;1,00;1,25;1,40;0,88;1,01;0,08;0,00;0,59;0,13;4,09;18,86
P003A;22;25,24;72,19;3,49;3,71;2,95;1,01;2,46;0,24;0,00;1,95;0,41;9,07;44,38
P003A;23;5,36;89,42;1,89;2,29;0,19;0,00;1,17;0,00;0,00;0,94;0,05;0,00;0,00
P003A;24;0,00;0,01;0,00;0,00;0,66;0,00;0,00;0,00;0,00;0,01;0,07;0,02;0,36
P003A;25;0,00;0,77;0,00;0,04;2,27;0,00;0,03;0,00;0,00;0,13;0,10;0,20;1,44
P003A;26;0,01;0,03;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01
P003A;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00
P003A;5;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,04;0,00;0,01
P003A;8;0,03;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,02;0,00;0,02;0,02
P003A;9;0,29;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,00;0,05;0,69;0,20;0,23
P003A;10;0,06;0,00;0,00;0,00;0,00;0,65;0,01;0,01;0,00;0,56;0,83;0,08;0,28
P003A;11;0,41;0,07;0,00;0,00;0,00;0,81;0,01;0,00;0,00;0,06;0,22;0,11;0,46
P003B;21;9,34;24,16;1,08;1,16;0,93;0,82;0,97;0,24;0,00;0,50;0,09;4,06;19,10
P003B;22;23,13;71,41;2,79;3,31;2,10;0,84;2,37;0,13;0,00;1,92;0,24;9,66;44,34
P003B;23;7,04;64,92;1,18;1,17;0,20;0,00;1,00;0,00;0,00;0,83;0,01;0,00;0,00
P003B;24;0,00;0,01;0,00;0,00;0,93;0,00;0,00;0,00;0,00;0,01;0,13;0,02;0,35
P003B;25;0,00;0,37;0,00;0,00;2,78;0,01;0,02;0,00;0,00;0,11;0,01;0,17;1,21
P003B;26;0,00;0,01;0,00;0,00;0,01;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01
P003B;4;0,05;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,11;0,03;0,02;0,03;0,06
P003B;5;0,09;0,00;0,00;0,00;0,00;0,06;0,01;0,00;0,00;0,02;0,02;0,01;0,03
P003B;7;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P003B;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,04;0,01;0,01
P003B;9;0,29;0,00;0,00;0,00;0,00;0,28;0,00;0,02;0,00;0,04;0,65;0,15;0,20
P003B;10;0,08;0,00;0,00;0,00;0,00;0,69;0,00;0,01;0,00;0,69;0,89;0,10;0,32
P003B;11;0,45;0,16;0,00;0,00;0,00;0,76;0,01;0,00;0,00;0,06;0,26;0,09;0,43
P003C;21;9,73;23,37;0,97;1,27;1,04;0,86;0,85;0,14;0,00;0,40;0,08;4,01;19,13
P003C;22;21,43;67,00;2,43;3,40;2,09;0,68;2,10;0,43;0,00;1,66;0,16;9,10;42,36
