IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
801D;M35.0;4;0,1379;4;0,0851
802A;M35.0;5;0,2083;5;0,1613
802A;N18.9;4;0,1667;4;0,129
802C;A63.0;6;0,0311;6;0,0645
802C;Q85.0;5;0,0259;5;0,0538
863Z;Z03.3;5;0,1042;5;0,1667
863Z;Z10;5;0,1042;5;0,1667
863Z;P94.8;4;0,0833;4;0,1333
961Z;Z94.0;294;0,1891;294;0,1359
961Z;I10.00;47;0,0302;47;0,0217
961Z;I10.90;42;0,027;42;0,0194
961Z;I69.4;38;0,0244;38;0,0176
961Z;R26.8;36;0,0232;36;0,0166
961Z;A63.0;31;0,0199;32;0,0148
961Z;N18.5;30;0,0193;30;0,0139
961Z;Z94.4;29;0,0186;29;0,0134
961Z;G81.1;25;0,0161;27;0,0125
961Z;Z94.81;24;0,0154;24;0,0111
961Z;R47.0;23;0,0148;23;0,0106
961Z;G81.0;22;0,0141;22;0,0102
961Z;E11.90;20;0,0129;20;0,0092
961Z;U51.02;20;0,0129;20;0,0092
961Z;N48.8;18;0,0116;19;0,0088
961Z;Z01.5;16;0,0103;16;0,0074
961Z;Z94.80;16;0,0103;16;0,0074
961Z;U50.20;15;0,0096;15;0,0069
961Z;U50.10;13;0,0084;13;0,006
961Z;G40.2;12;0,0077;12;0,0055
961Z;R47.1;12;0,0077;12;0,0055
961Z;E14.90;11;0,0071;11;0,0051
961Z;I48.0;11;0,0071;11;0,0051
961Z;Z08.2;11;0,0071;11;0,0051
961Z;Z12.8;11;0,0071;11;0,0051
961Z;I48.2;10;0,0064;10;0,0046
961Z;R29.6;10;0,0064;10;0,0046
961Z;Z92.2;10;0,0064;10;0,0046
961Z;F83;9;0,0058;9;0,0042
961Z;I25.11;8;0,0051;10;0,0046
961Z;E78.5;8;0,0051;8;0,0037
961Z;F32.9;8;0,0051;8;0,0037
961Z;G40.1;8;0,0051;8;0,0037
961Z;G81.9;8;0,0051;8;0,0037
961Z;R29.5;8;0,0051;8;0,0037
961Z;U50.30;8;0,0051;8;0,0037
961Z;Z00.1;8;0,0051;8;0,0037
961Z;Z92.1;8;0,0051;8;0,0037
961Z;E55.9;7;0,0045;7;0,0032
961Z;I69.3;7;0,0045;7;0,0032
961Z;N18.2;7;0,0045;7;0,0032
961Z;N18.3;7;0,0045;7;0,0032
961Z;N40;7;0,0045;7;0,0032
961Z;U51.12;7;0,0045;7;0,0032
961Z;Z01.6;7;0,0045;7;0,0032
961Z;E79.0;6;0,0039;6;0,0028
961Z;F06.7;6;0,0039;6;0,0028
961Z;G40.9;6;0,0039;6;0,0028
961Z;G51.0;6;0,0039;6;0,0028
961Z;H90.3;6;0,0039;6;0,0028
961Z;I25.13;6;0,0039;6;0,0028
961Z;K59.0;6;0,0039;6;0,0028
961Z;R13.9;6;0,0039;6;0,0028
961Z;Z08.0;6;0,0039;6;0,0028
961Z;Z21;6;0,0039;6;0,0028
961Z;Z85.3;6;0,0039;6;0,0028
961Z;Z99.3;6;0,0039;6;0,0028
