IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
801B;8-800.c0;7;0,50;7;0,0526
801B;8-930;6;0,4286;7;0,0526
801D;8-930;31;0,2925;31;0,0497
801D;8-132.3;15;0,1415;32;0,0513
801D;1-661;13;0,1226;15;0,024
801D;8-800.c0;12;0,1132;12;0,0192
801D;3-225;11;0,1038;12;0,0192
801D;5-601.0;11;0,1038;11;0,0176
801D;3-200;9;0,0849;15;0,024
801D;1-632.0;9;0,0849;9;0,0144
801D;3-203;8;0,0755;8;0,0128
801D;5-570.4;7;0,066;8;0,0128
801D;3-13d.5;7;0,066;7;0,0112
801D;5-553.00;7;0,066;7;0,0112
801D;9-401.22;7;0,066;7;0,0112
801D;5-573.40;6;0,0566;6;0,0096
801D;8-837.00;5;0,0472;8;0,0128
801D;3-052;5;0,0472;5;0,008
801D;5-572.1;5;0,0472;5;0,008
801D;5-585.1;5;0,0472;5;0,008
801D;5-601.1;5;0,0472;5;0,008
801D;8-137.00;5;0,0472;5;0,008
801D;8-83b.0c;5;0,0472;5;0,008
801D;3-13f;4;0,0377;6;0,0096
801D;8-831.0;4;0,0377;5;0,008
801D;1-275.0;4;0,0377;4;0,0064
801D;1-440.a;4;0,0377;4;0,0064
801D;1-650.1;4;0,0377;4;0,0064
801D;3-207;4;0,0377;4;0,0064
801D;3-222;4;0,0377;4;0,0064
801D;5-469.21;4;0,0377;4;0,0064
801D;8-933;4;0,0377;4;0,0064
801D;8-980.0;4;0,0377;4;0,0064
801E;8-837.00;8;0,381;8;0,0702
801E;1-275.0;7;0,3333;7;0,0614
801E;8-837.m0;6;0,2857;6;0,0526
801E;8-83b.0c;6;0,2857;6;0,0526
802A;3-225;4;0,2105;4;0,0476
802B;5-573.40;10;0,3448;10;0,0714
802B;3-225;9;0,3103;9;0,0643
802B;8-132.3;9;0,3103;9;0,0643
802B;1-661;8;0,2759;9;0,0643
802B;8-137.00;5;0,1724;5;0,0357
802B;5-560.2;4;0,1379;6;0,0429
802B;1-440.a;4;0,1379;4;0,0286
802B;1-632.0;4;0,1379;4;0,0286
802B;3-222;4;0,1379;4;0,0286
802B;5-562.4;4;0,1379;4;0,0286
A11E;8-831.0;6;1,00;7;0,0473
A11E;8-931.0;6;1,00;6;0,0405
A11E;3-200;4;0,6667;22;0,1486
A11E;5-311.1;4;0,6667;5;0,0338
A11E;8-701;4;0,6667;5;0,0338
A13D;8-831.0;6;0,8571;7;0,0636
A13D;8-701;5;0,7143;6;0,0545
A13D;8-931.0;5;0,7143;5;0,0455
A13E;8-701;16;0,8421;18;0,0706
A13E;8-831.0;15;0,7895;17;0,0667
A13E;8-930;13;0,6842;13;0,051
A13E;8-800.c0;8;0,4211;8;0,0314
A13E;8-771;6;0,3158;6;0,0235
A13E;8-931.0;6;0,3158;6;0,0235
A13E;8-980.20;6;0,3158;6;0,0235
A13E;1-632.0;4;0,2105;4;0,0157
A13E;3-052;4;0,2105;4;0,0157
A13E;8-640.0;4;0,2105;4;0,0157
A13E;8-98f.10;4;0,2105;4;0,0157
A13F;8-701;11;0,9167;15;0,0904
A13F;8-831.0;11;0,9167;12;0,0723
A13F;1-275.0;8;0,6667;8;0,0482
A13F;8-771;7;0,5833;14;0,0843
A13F;8-837.00;7;0,5833;7;0,0422
A13F;3-200;6;0,50;7;0,0422
A13F;8-930;6;0,50;6;0,0361
A13F;8-640.1;4;0,3333;4;0,0241
A13F;8-83b.0c;4;0,3333;4;0,0241
A13F;8-932;4;0,3333;4;0,0241
A13F;8-980.10;4;0,3333;4;0,0241
A13F;8-980.11;4;0,3333;4;0,0241
A13G;8-701;6;1,00;6;0,0952
A13G;8-831.0;4;0,6667;5;0,0794
A13H;8-701;15;0,75;16;0,106
A13H;8-831.0;12;0,60;13;0,0861
A13H;8-930;12;0,60;12;0,0795
A13H;1-620.00;7;0,35;8;0,053
A13H;8-706;7;0,35;7;0,0464
A13H;8-980.10;6;0,30;6;0,0397
A13H;3-200;5;0,25;6;0,0397
A13H;3-222;5;0,25;5;0,0331
A13H;8-800.c0;4;0,20;4;0,0265
A13H;8-931.0;4;0,20;4;0,0265
A15D;8-805.00;5;1,00;5;0,2174
A42C;5-410.10;6;1,00;6;0,50
B02C;3-200;6;0,75;18;0,1622
B02C;5-021.0;6;0,75;7;0,0631
B02C;8-831.0;5;0,625;6;0,0541
B02C;5-010.00;5;0,625;5;0,045
B02C;5-984;5;0,625;5;0,045
B02C;8-931.0;5;0,625;5;0,045
B04C;3-601;36;1,00;37;0,2011
B04C;8-83b.9;31;0,8611;31;0,1685
B04C;8-840.0k;27;0,75;27;0,1467
B04C;8-836.0k;26;0,7222;26;0,1413
B04C;3-600;9;0,25;10;0,0543
B04C;8-930;8;0,2222;8;0,0435
B04C;8-836.0m;6;0,1667;6;0,0326
B04C;8-83b.c6;5;0,1389;5;0,0272
B04C;8-840.0m;5;0,1389;5;0,0272
B04D;5-381.01;205;0,9491;207;0,1234
B04D;5-381.03;204;0,9444;205;0,1222
B04D;5-381.02;203;0,9398;203;0,121
B04D;1-208.0;162;0,75;163;0,0972
B04D;1-208.2;162;0,75;163;0,0972
B04D;1-208.6;160;0,7407;161;0,096
B04D;5-98e;143;0,662;146;0,0871
B04D;5-382.02;124;0,5741;124;0,0739
B04D;5-932.3;44;0,2037;45;0,0268
B04D;3-601;43;0,1991;43;0,0256
B04D;3-600;39;0,1806;39;0,0233
B04D;5-392.4;39;0,1806;39;0,0233
B04D;8-930;23;0,1065;23;0,0137
B04D;3-035;20;0,0926;20;0,0119
B04D;5-393.9;15;0,0694;15;0,0089
B04D;5-930.4;14;0,0648;14;0,0083
B04D;3-607;9;0,0417;9;0,0054
B04D;5-395.02;5;0,0231;5;0,003
B05Z;5-056.40;64;0,8101;66;0,5641
B05Z;5-056.41;12;0,1519;12;0,1026
B05Z;5-841.11;4;0,0506;4;0,0342
B05Z;5-984;4;0,0506;4;0,0342
B09Z;5-766.3;80;0,5442;81;0,1056
B09Z;3-200;72;0,4898;120;0,1565
B09Z;5-760.23;44;0,2993;45;0,0587
B09Z;5-056.0;39;0,2653;40;0,0522
B09Z;5-766.5;37;0,2517;37;0,0482
B09Z;5-241.0;32;0,2177;32;0,0417
B09Z;3-990;29;0,1973;40;0,0522
B09Z;5-892.04;26;0,1769;29;0,0378
B09Z;5-221.7;23;0,1565;23;0,03
B09Z;5-249.4;23;0,1565;23;0,03
B09Z;3-203;22;0,1497;22;0,0287
B09Z;5-216.0;14;0,0952;14;0,0183
B09Z;5-279.0;12;0,0816;12;0,0156
B09Z;5-900.04;11;0,0748;11;0,0143
B09Z;8-930;10;0,068;10;0,013
B09Z;5-057.0;9;0,0612;9;0,0117
B09Z;5-167.2;9;0,0612;9;0,0117
B09Z;5-766.4;8;0,0544;8;0,0104
B09Z;5-211.0;7;0,0476;7;0,0091
B09Z;5-760.13;6;0,0408;6;0,0078
B09Z;5-766.6;6;0,0408;6;0,0078
B09Z;8-500;6;0,0408;6;0,0078
B09Z;5-766.2;5;0,034;5;0,0065
B09Z;5-270.1;4;0,0272;5;0,0065
B09Z;3-205;4;0,0272;4;0,0052
B09Z;3-222;4;0,0272;4;0,0052
B09Z;3-225;4;0,0272;4;0,0052
B09Z;5-216.2;4;0,0272;4;0,0052
B09Z;5-221.6;4;0,0272;4;0,0052
B09Z;5-760.3;4;0,0272;4;0,0052
B09Z;5-767.0;4;0,0272;4;0,0052
B15Z;8-527.8;71;0,6961;620;0,2152
B15Z;8-522.91;46;0,451;704;0,2444
B15Z;8-522.d1;45;0,4412;363;0,126
B15Z;8-529.8;41;0,402;52;0,018
B15Z;8-527.1;41;0,402;44;0,0153
B15Z;8-528.6;33;0,3235;37;0,0128
B15Z;8-529.3;29;0,2843;115;0,0399
B15Z;3-200;29;0,2843;35;0,0121
B15Z;8-528.9;27;0,2647;32;0,0111
B15Z;8-522.d0;26;0,2549;205;0,0712
B15Z;8-527.2;22;0,2157;26;0,009
B15Z;8-522.90;21;0,2059;240;0,0833
B15Z;9-401.22;18;0,1765;19;0,0066
B15Z;3-820;17;0,1667;17;0,0059
B15Z;8-561.1;13;0,1275;13;0,0045
B15Z;3-222;11;0,1078;12;0,0042
B15Z;8-529.4;10;0,098;10;0,0035
B15Z;3-220;9;0,0882;9;0,0031
B15Z;9-984.b;9;0,0882;9;0,0031
B15Z;3-225;8;0,0784;8;0,0028
B15Z;9-401.23;8;0,0784;8;0,0028
B15Z;8-522.a1;7;0,0686;69;0,024
B15Z;1-207.0;7;0,0686;7;0,0024
B15Z;5-399.5;5;0,049;6;0,0021
B15Z;1-710;5;0,049;5;0,0017
B15Z;3-705.0;5;0,049;5;0,0017
B15Z;3-800;5;0,049;5;0,0017
B15Z;3-993;5;0,049;5;0,0017
B15Z;6-002.e6;5;0,049;5;0,0017
B15Z;9-401.31;5;0,049;5;0,0017
B15Z;1-204.2;4;0,0392;4;0,0014
B15Z;1-632.0;4;0,0392;4;0,0014
B15Z;8-800.c0;4;0,0392;4;0,0014
B15Z;9-320;4;0,0392;4;0,0014
B15Z;9-401.30;4;0,0392;4;0,0014
B16A;8-522.91;23;0,561;147;0,2398
B16A;8-527.8;21;0,5122;137;0,2235
B16A;8-522.d1;12;0,2927;79;0,1289
B16A;8-529.3;12;0,2927;32;0,0522
B16A;8-527.1;12;0,2927;12;0,0196
B16A;8-522.90;11;0,2683;41;0,0669
B16A;8-529.8;9;0,2195;11;0,0179
B16A;8-528.6;9;0,2195;9;0,0147
B16A;8-522.d0;6;0,1463;25;0,0408
B16A;3-200;6;0,1463;7;0,0114
B16A;3-993;5;0,122;8;0,0131
B16A;3-220;5;0,122;6;0,0098
B16A;8-522.a1;4;0,0976;22;0,0359
B16A;3-820;4;0,0976;4;0,0065
B16A;8-528.9;4;0,0976;4;0,0065
B16B;8-527.8;14;0,6087;39;0,199
B16B;8-522.91;12;0,5217;38;0,1939
B16B;8-527.1;9;0,3913;9;0,0459
B16B;8-529.3;8;0,3478;13;0,0663
B16B;8-528.6;7;0,3043;8;0,0408
B16B;8-529.8;5;0,2174;9;0,0459
B16B;8-522.a1;4;0,1739;14;0,0714
B16B;8-522.d1;4;0,1739;12;0,0612
B16B;8-527.2;4;0,1739;4;0,0204
B17D;5-017.2;42;0,3784;46;0,1329
B17D;5-986.x;41;0,3694;44;0,1272
B17D;5-011.x;36;0,3243;39;0,1127
B17D;5-056.8;12;0,1081;12;0,0347
B17D;5-983;11;0,0991;11;0,0318
B17D;5-779.3;10;0,0901;10;0,0289
B17D;5-056.0;8;0,0721;8;0,0231
B17D;5-056.40;7;0,0631;7;0,0202
B17D;5-984;7;0,0631;7;0,0202
B17D;5-244.20;6;0,0541;6;0,0173
B17D;5-043.1;5;0,045;5;0,0145
B17D;5-057.0;5;0,045;5;0,0145
B17D;8-144.2;5;0,045;5;0,0145
B17D;5-041.0;4;0,036;4;0,0116
B17D;5-056.9;4;0,036;4;0,0116
B17E;5-986.x;33;0,3438;33;0,141
B17E;5-056.3;22;0,2292;22;0,094
B17E;5-043.1;21;0,2188;21;0,0897
B17E;8-144.2;21;0,2188;21;0,0897
B17E;5-043.2;11;0,1146;11;0,047
B17E;5-057.3;11;0,1146;11;0,047
B17E;5-056.9;10;0,1042;10;0,0427
B17E;5-984;8;0,0833;8;0,0342
B17E;5-056.40;7;0,0729;7;0,0299
B17E;5-041.9;6;0,0625;6;0,0256
B17E;5-983;5;0,0521;5;0,0214
B17E;5-041.3;4;0,0417;4;0,0171
B18A;5-984;4;0,5714;4;0,0571
B18A;8-800.c0;4;0,5714;4;0,0571
B18B;5-984;7;0,4118;8;0,0976
B18B;5-036.8;7;0,4118;7;0,0854
B18C;5-984;17;0,6538;17;0,1349
B18C;5-035.6;10;0,3846;10;0,0794
B18C;5-036.8;10;0,3846;10;0,0794
B18C;5-832.4;8;0,3077;8;0,0635
B18C;5-032.00;7;0,2692;7;0,0556
B18C;5-032.20;5;0,1923;5;0,0397
B18C;5-839.60;5;0,1923;5;0,0397
B19A;5-934.3;5;0,2778;5;0,1111
B19B;5-032.00;5;0,3125;6;0,1765
B19B;5-059.82;5;0,3125;5;0,1471
B19C;5-039.b;6;0,50;6;0,24
B19C;8-915;5;0,4167;5;0,20
B20B;5-984;54;0,9474;55;0,0906
B20B;3-200;52;0,9123;88;0,145
B20B;5-021.0;35;0,614;35;0,0577
B20B;8-831.0;32;0,5614;34;0,056
B20B;5-010.00;32;0,5614;32;0,0527
B20B;5-988;31;0,5439;31;0,0511
B20B;8-931.0;28;0,4912;28;0,0461
B20B;3-820;22;0,386;26;0,0428
B20B;8-930;20;0,3509;21;0,0346
B20B;5-015.0;18;0,3158;18;0,0297
B20B;3-990;16;0,2807;17;0,028
B20B;3-993;16;0,2807;16;0,0264
B20B;5-015.1;14;0,2456;14;0,0231
B20B;5-015.4;13;0,2281;13;0,0214
B20B;8-980.0;12;0,2105;12;0,0198
B20B;5-020.2;10;0,1754;10;0,0165
B20B;5-010.14;8;0,1404;8;0,0132
B20B;5-015.3;8;0,1404;8;0,0132
B20B;5-020.70;8;0,1404;8;0,0132
B20B;5-010.03;7;0,1228;8;0,0132
B20B;3-800;7;0,1228;7;0,0115
