IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
801D;1-481.4;4;0,1379;4;0,013
802A;5-262.6;6;0,25;6;0,0237
802A;8-854.2;4;0,1667;143;0,5652
802A;8-836.0e;4;0,1667;6;0,0237
802A;3-60x;4;0,1667;5;0,0198
802A;8-83b.ba;4;0,1667;4;0,0158
802C;1-859.x;125;0,6477;953;0,3969
802C;8-836.xx;125;0,6477;532;0,2216
802C;3-202;76;0,3938;83;0,0346
802C;3-207;71;0,3679;76;0,0317
802C;8-543.11;43;0,2228;118;0,0491
802C;8-543.12;35;0,1813;97;0,0404
802C;3-800;35;0,1813;39;0,0162
802C;8-542.11;20;0,1036;132;0,055
802C;8-179.x;17;0,0881;55;0,0229
802C;8-800.c0;17;0,0881;18;0,0075
802C;8-543.14;13;0,0674;39;0,0162
802C;8-543.13;8;0,0415;20;0,0083
802C;5-985.1;7;0,0363;7;0,0029
802C;3-05x;5;0,0259;6;0,0025
802C;1-632.0;5;0,0259;5;0,0021
802C;3-206;5;0,0259;5;0,0021
802C;5-913.aa;5;0,0259;5;0,0021
802C;8-191.00;5;0,0259;5;0,0021
802C;8-542.12;4;0,0207;10;0,0042
802C;1-711;4;0,0207;4;0,0017
802C;3-804;4;0,0207;4;0,0017
802C;5-181.0;4;0,0207;4;0,0017
802C;5-915.5x;4;0,0207;4;0,0017
802C;5-985.6;4;0,0207;4;0,0017
802C;8-152.1;4;0,0207;4;0,0017
802C;8-191.10;4;0,0207;4;0,0017
960Z;3-13e;5;0,2632;5;0,1515
960Z;3-706.1;4;0,2105;6;0,1818
961Z;1-930.1;109;0,0701;247;0,0687
961Z;8-98a.10;88;0,0566;714;0,1986
961Z;8-98a.11;72;0,0463;743;0,2067
961Z;3-990;43;0,0277;53;0,0147
961Z;8-930;36;0,0232;48;0,0134
961Z;1-207.0;33;0,0212;34;0,0095
961Z;3-222;26;0,0167;28;0,0078
961Z;3-225;26;0,0167;27;0,0075
961Z;3-800;25;0,0161;28;0,0078
961Z;8-800.c0;22;0,0141;25;0,007
961Z;1-710;21;0,0135;21;0,0058
961Z;1-900.0;21;0,0135;21;0,0058
961Z;3-820;21;0,0135;21;0,0058
961Z;1-208.1;20;0,0129;20;0,0056
961Z;8-542.11;19;0,0122;48;0,0134
961Z;1-632.0;18;0,0116;19;0,0053
961Z;5-915.4c;18;0,0116;18;0,005
961Z;8-824;17;0,0109;98;0,0273
