IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
14 ;O05A;2109;0,6003;0,2726;0,0925;0,0341;0,0005;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,0033;0,3447;0,5917;0,0597;0,00;0,00;0,00;0,00;0,00;0,00;0,1636;0,7548;0,0816;2;21;7,60;1,144;0,0002;4,30
14 ;O05B;1574;0,568;0,2884;0,0959;0,047;0,0006;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0032;0,0044;0,4206;0,5114;0,0591;0,0006;0,00;0,00;0,00;0,00;0,0006;0,3179;0,6216;0,0604;1;11;4,10;0,913;0,0001;2,10
14 ;O05C;324;0,7438;0,1728;0,0463;0,034;0,0031;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0123;0,3889;0,534;0,0648;0,00;0,00;0,00;0,00;0,00;0,00;0,484;0,4138;0,1022;1;6;2,80;0,518;0,00;1,00
14 ;O40Z;7637;0,802;0,1531;0,0348;0,0096;0,0005;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0047;0,01;0,3805;0,5016;0,1023;0,0009;0,00;0,00;0,00;0,00;0,00;0,6595;0,3069;0,0336;1;6;2,70;0,575;0,0006;0,90
14 ;O60A;1018;0,3477;0,3595;0,2033;0,0845;0,0049;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0029;0,0049;0,4057;0,5521;0,0344;0,00;0,00;0,00;0,00;0,00;0,00;0,2716;0,5908;0,1376;4;30;13,00;1,602;0,0001;6,90
14 ;O60B;17572;0,3398;0,4123;0,1932;0,0541;0,0006;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0009;0,0041;0,3945;0,5573;0,043;0,0001;0,0001;0,00;0,00;0,00;0,00;0,0351;0,8886;0,0763;1;9;4,40;0,796;0,0013;1,50
14 ;O60C;77147;0,4616;0,4124;0,1122;0,0137;0,0001;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,001;0,0055;0,4085;0,5466;0,0384;0,00;0,00;0,00;0,00;0,00;0,00;0,0408;0,9018;0,0575;1;7;3,60;0,657;0,0056;1,10
14 ;O60D;325924;0,7504;0,2297;0,0185;0,0013;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0009;0,0056;0,4319;0,5319;0,0296;0,00;0,00;0,00;0,00;0,00;0,00;0,0949;0,8773;0,0278;1;6;3,10;0,566;0,0237;0,80
14 ;O61Z;13535;0,7718;0,1778;0,0426;0,0078;0,0001;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,001;0,0065;0,4318;0,5207;0,0399;0,0001;0,00;0,00;0,00;0,00;0,00;0,1884;0,7582;0,0534;1;7;3,40;0,393;0,001;1,20
14 ;O63Z;2800;0,8893;0,0936;0,015;0,0021;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0064;0,0154;0,4579;0,4436;0,0761;0,0007;0,00;0,00;0,00;0,00;0,00;0,5777;0,3953;0,027;1;6;2,50;0,345;0,0002;0,80
