ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt6c;ko_KArt7;ko_KArt8
P002Z;21;21,74;77,02;10,13;4,02;3,12;2,14;0,49;0,05;0,00;1,03;0,04;0,07;9,14;38,50
P002Z;22;31,10;108,93;14,48;6,03;4,97;0,86;0,68;0,02;0,00;1,32;0,00;0,17;11,75;51,93
P002Z;23;12,85;116,32;8,05;1,79;0,46;0,00;0,05;0,00;0,00;0,18;0,00;0,01;0,00;0,00
P002Z;24;0,00;0,02;0,00;0,00;0,84;0,00;0,00;0,00;0,00;0,03;0,00;0,04;0,03;0,33
P002Z;25;0,00;1,03;0,00;0,31;7,42;0,50;0,00;0,00;0,00;0,25;0,00;0,00;0,33;3,25
P002Z;26;0,00;0,01;0,00;0,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
P002Z;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
P002Z;9;0,09;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,01;0,00;0,24;0,04;0,06
P002Z;10;0,05;0,00;0,00;0,00;0,00;0,36;0,00;0,00;0,00;0,37;0,00;0,62;0,04;0,16
P002Z;11;0,24;0,00;0,00;0,00;0,00;0,36;0,00;0,00;0,00;0,02;0,00;0,35;0,05;0,11
P002Z;12;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
P002Z;13;0,05;0,02;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03
P003A;21;11,83;35,25;1,66;1,27;1,23;0,52;0,70;0,24;0,00;0,62;0,03;0,23;3,97;20,81
P003A;22;32,30;107,86;3,62;4,09;3,11;1,68;1,96;0,10;0,00;1,89;0,11;0,65;11,46;54,96
P003A;23;10,11;58,20;1,46;1,30;0,50;0,00;1,12;0,01;0,00;1,27;0,00;0,00;0,00;0,00
P003A;24;0,00;0,00;0,00;0,00;0,53;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,02;0,19
P003A;25;0,00;0,10;0,01;0,00;2,11;0,00;0,01;0,00;0,00;0,11;0,00;0,02;0,08;0,93
P003A;26;0,00;0,00;0,00;0,27;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,12
P003A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
P003A;5;0,12;0,00;0,00;0,00;0,00;0,14;0,02;0,00;0,00;0,04;0,00;0,00;0,02;0,06
P003A;8;0,03;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,02;0,01;0,30;0,02;0,02
P003A;9;0,28;0,00;0,00;0,00;0,00;0,30;0,01;0,00;0,00;0,03;0,01;0,42;0,13;0,23
P003A;10;0,07;0,00;0,00;0,00;0,00;0,60;0,01;0,03;0,00;0,66;0,00;1,12;0,06;0,25
P003A;11;0,52;0,07;0,00;0,00;0,00;0,35;0,00;0,00;0,00;0,03;0,03;0,21;0,06;0,18
