ka_Pepp;ka_Verguetungsklasse;ka_Relgew
P002Z;1;2,1474
P003A;1;1,5117
P003B;1;1,7481
P003B;2;1,7481
P003B;3;1,7481
P003B;4;1,7481
P003B;5;1,7481
P003B;6;1,7481
P003B;7;1,7481
P003B;8;1,7451
P003B;9;1,7141
P003B;10;1,683
P003B;11;1,6519
P003B;12;1,6208
P003B;13;1,5897
P003B;14;1,5586
P003B;15;1,5275
P003B;16;1,4964
P003B;17;1,4653
P003B;18;1,4343
P003B;19;1,4032
P003C;1;1,7012
P003C;2;1,7012
P003C;3;1,7012
P003C;4;1,7012
P003C;5;1,7012
P003C;6;1,7012
P003C;7;1,7012
P003C;8;1,666
P003C;9;1,6252
P003C;10;1,5844
P003C;11;1,5437
P003C;12;1,5029
P003C;13;1,4621
P003C;14;1,4214
P003C;15;1,3806
P003C;16;1,3398
P003C;17;1,299
P003C;18;1,2583
P003C;19;1,2175
PA01A;1;1,3345
PA01A;2;1,313
PA01A;3;1,2905
PA01A;4;1,268
PA01A;5;1,2455
PA01A;6;1,2229
PA01A;7;1,2004
PA01B;1;1,2614
PA01B;2;1,2361
PA01B;3;1,2113
PA01B;4;1,1866
PA01B;5;1,1618
PA01B;6;1,137
PA01B;7;1,1122
PA01B;8;1,0874
PA02A;1;1,5089
PA02A;2;1,3358
PA02A;3;1,3084
PA02A;4;1,2935
PA02A;5;1,2786
PA02A;6;1,2636
PA02A;7;1,2487
PA02A;8;1,2337
PA02A;9;1,2188
PA02A;10;1,2039
PA02A;11;1,1889
PA02A;12;1,174
PA02A;13;1,1591
PA02A;14;1,1441
PA02A;15;1,1292
PA02A;16;1,1143
PA02A;17;1,0993
PA02B;1;1,4802
PA02B;2;1,2904
PA02B;3;1,2321
PA02B;4;1,203
PA02B;5;1,1897
PA02B;6;1,1765
PA02B;7;1,1632
PA02B;8;1,1499
PA02B;9;1,1367
PA02B;10;1,1234
PA02B;11;1,1102
PA02B;12;1,0969
PA02B;13;1,0837
PA02B;14;1,0704
PA02B;15;1,0572
PA02B;16;1,0439
PA02B;17;1,0307
PA02B;18;1,0174
PA02C;1;1,4469
PA02C;2;1,2711
PA02C;3;1,2122
PA02C;4;1,1809
PA02C;5;1,1646
PA02C;6;1,1484
PA02C;7;1,1321
PA02C;8;1,1158
PA02C;9;1,0995
PA02C;10;1,0832
PA02C;11;1,0669
PA02C;12;1,0506
PA02C;13;1,0343
PA02C;14;1,018
PA02C;15;1,0017
PA02C;16;0,9854
PA02C;17;0,9691
PA02C;18;0,9528
PA02D;1;1,412
PA02D;2;1,2543
PA02D;3;1,2088
PA02D;4;1,1428
PA02D;5;1,095
PA02D;6;1,0563
PA02D;7;1,0469
PA02D;8;1,0376
PA02D;9;1,0282
PA02D;10;1,0189
PA02D;11;1,0095
PA02D;12;1,0002
PA02D;13;0,9908
PA02D;14;0,9815
PA02D;15;0,9721
PA02D;16;0,9627
PA02D;17;0,9534
PA02D;18;0,944
PA03A;1;1,445
PA03A;2;1,287
PA03A;3;1,265
PA03A;4;1,243
PA03A;5;1,221
PA03A;6;1,199
PA03A;7;1,1771
PA03A;8;1,1551
PA03A;9;1,1331
PA03A;10;1,1112
PA03A;11;1,0892
PA03A;12;1,0672
PA03B;1;1,2856
PA03B;2;1,1994
PA03B;3;1,141
PA03B;4;1,1152
PA03B;5;1,0943
PA03B;6;1,084
PA03B;7;1,0743
PA03B;8;1,0646
PA03B;9;1,0548
PA03B;10;1,0451
PA03B;11;1,0354
PA03B;12;1,0256
PA03B;13;1,0159
PA03B;14;1,0061
PA03B;15;0,9964
PA03B;16;0,9867
PA03B;17;0,9769
PA03B;18;0,9672
PA04A;1;1,4906
PA04A;2;1,3174
PA04A;3;1,3008
PA04A;4;1,2835
PA04A;5;1,2662
PA04A;6;1,2488
PA04A;7;1,2315
PA04A;8;1,2142
PA04A;9;1,1969
PA04A;10;1,1796
PA04A;11;1,1623
PA04A;12;1,1449
PA04A;13;1,1276
PA04A;14;1,1103
PA04A;15;1,093
PA04A;16;1,0757
PA04A;17;1,0584
PA04A;18;1,041
PA04B;1;1,3273
PA04B;2;1,2036
PA04B;3;1,1874
PA04B;4;1,1746
PA04B;5;1,1618
PA04B;6;1,149
PA04B;7;1,1362
PA04B;8;1,1234
PA04B;9;1,1106
PA04B;10;1,0979
PA04B;11;1,0851
PA04B;12;1,0723
PA04B;13;1,0595
PA04B;14;1,0467
PA04B;15;1,0339
PA04B;16;1,0211
PA04B;17;1,0084
PA04B;18;0,9956
PA04B;19;0,9828
PA04B;20;0,97
PA04B;21;0,9572
PA04C;1;1,2881
PA04C;2;1,156
PA04C;3;1,1103
PA04C;4;1,0943
PA04C;5;1,0813
PA04C;6;1,0682
PA04C;7;1,0552
PA04C;8;1,0421
PA04C;9;1,0291
PA04C;10;1,0161
PA04C;11;1,003
PA04C;12;0,99
PA04C;13;0,9769
PA04C;14;0,9639
PA04C;15;0,9508
PA04C;16;0,9378
PA04C;17;0,9248
PA04C;18;0,9117
PA04C;19;0,8987
PA04C;20;0,8856
PA14A;1;1,3503
PA14A;2;1,2589
PA14A;3;1,235
PA14A;4;1,2111
PA14A;5;1,1871
PA14A;6;1,1632
PA14A;7;1,1392
PA14A;8;1,1152
PA14A;9;1,0913
PA14A;10;1,0673
PA14B;1;1,2832
PA14B;2;1,211
PA14B;3;1,1823
PA14B;4;1,1547
PA14B;5;1,127
PA14B;6;1,0994
PA14B;7;1,0718
