kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
P002Z;211;14480;68,6256;62,2307;0,5244;0,3886;0,6114;14,1611;2,9053;0,00;0,00;0,00;0,0047;0,1043;0,4692;0,4218;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;557,36;175,38;0,7607;1
P003A;156;13754;88,1667;58,493;0,6012;0,5385;0,4615;45,6538;21,3912;0,00;0,00;0,00;0,00;0,00;0,00;0,0128;0,2628;0,1731;0,1474;0,0962;0,0705;0,0385;0,0513;0,0321;0,1154;389,15;143,51;0,7306;1
P003B;367;17138;46,6975;35,1869;0,5703;0,5341;0,4659;48,406;22,6441;0,00;0,00;0,00;0,00;0,00;0,00;0,0054;0,2643;0,1553;0,1308;0,0599;0,0654;0,049;0,079;0,0545;0,1362;366,38;171,34;0,6814;19
P003C;235;11191;47,6213;29,2541;0,6195;0,4638;0,5362;43,4851;19,2403;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3021;0,2085;0,1277;0,0936;0,0511;0,0638;0,0596;0,0426;0,0511;319,31;106,31;0,7502;19
PA01A;1227;32895;26,8093;32,7758;0,4499;0,6455;0,3545;38,5469;14,6848;0,00;0,00;0,00;0,00;0,00;0,00;0,0008;0,3382;0,2323;0,1793;0,0888;0,0668;0,0497;0,0285;0,013;0,0024;320,60;91,70;0,7776;7
PA01B;1011;23462;23,2067;26,4802;0,4671;0,5628;0,4372;35,9238;14,716;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4411;0,1998;0,1296;0,089;0,0623;0,0415;0,0257;0,0079;0,003;284,77;71,34;0,7997;8
PA02A;10440;171768;16,4529;13,0682;0,5573;0,7791;0,2209;39,4361;9,8146;0,00;0,00;0,00;0,00;0,00;0,0002;0,0014;0,1416;0,3908;0,3161;0,086;0,039;0,0131;0,0081;0,0019;0,0017;295,44;67,83;0,8133;17
PA02B;9038;139598;15,4457;13,8537;0,5272;0,7817;0,2183;40,2098;12,0152;0,00;0,00;0,00;0,00;0,00;0,00;0,003;0,19;0,3222;0,2645;0,099;0,0601;0,0319;0,0202;0,0048;0,0043;275,80;75,11;0,786;18
PA02C;23243;394568;16,9758;12,9321;0,5676;0,7345;0,2654;45,251;15,3379;0,00;0,00;0,00;0,00;0,00;0,0001;0,0035;0,1714;0,2244;0,1979;0,1123;0,0921;0,0538;0,1172;0,0191;0,0082;257,90;69,18;0,7885;18
PA02D;35529;352736;9,9281;10,1896;0,4935;0,7267;0,2732;44,4304;11,8058;0,00;0,00;0,00;0,00;0,00;0,0001;0,0014;0,1349;0,195;0,2672;0,1736;0,1429;0,0848;0,00;0,00;0,00;263,02;80,91;0,7647;18
