IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
801D;D17.7;6;0,0513
801D;I50.01;5;0,0427
802B;R15;20;0,4651
961Z;P95;5;0,8333
A15C;C83.3;4;0,80
A15D;C90.00;14;0,9333
A60C;T86.10;5;0,5556
B02C;C79.3;7;0,3889
B04C;I65.2;83;0,9651
B04D;I65.2;213;0,9638
B04D;I65.3;8;0,0362
B05Z;G56.0;107;0,9907
B09Z;S02.3;117;0,8298
B09Z;S02.1;6;0,0426
B09Z;S02.0;5;0,0355
B09Z;S02.7;5;0,0355
B15Z;C79.3;62;0,5905
B15Z;C71.8;10;0,0952
B15Z;C71.2;9;0,0857
B15Z;C71.9;8;0,0762
B15Z;C71.1;7;0,0667
B15Z;C71.3;4;0,0381
B16A;C79.3;25;0,6757
B16B;C79.3;18;0,5455
B16B;C71.9;7;0,2121
B17D;G50.0;38;0,2603
B17D;G90.41;28;0,1918
B17D;D36.1;10;0,0685
B17D;G56.0;9;0,0616
B17D;G56.2;7;0,0479
B17D;G57.5;7;0,0479
B17D;S02.3;6;0,0411
B17D;G57.3;5;0,0342
B17D;G57.8;4;0,0274
B17D;Q85.0;4;0,0274
B17E;G56.2;15;0,2632
B17E;G57.1;6;0,1053
B17E;G57.6;6;0,1053
B17E;G56.0;5;0,0877
B17E;S02.3;5;0,0877
B17E;T85.1;4;0,0702
B18Z;T85.1;35;0,2381
B18Z;G96.1;13;0,0884
B18Z;D32.1;9;0,0612
B18Z;G06.1;7;0,0476
B18Z;G57.8;7;0,0476
B18Z;G97.80;7;0,0476
B18Z;T85.0;7;0,0476
B18Z;M53.1;6;0,0408
B18Z;D36.1;5;0,034
B18Z;G82.43;4;0,0272
B18Z;G96.0;4;0,0272
B18Z;M89.04;4;0,0272
B20B;C79.3;17;0,2537
B20B;D32.0;15;0,2239
B20B;C71.2;11;0,1642
B20B;C71.1;8;0,1194
B20D;S06.5;11;0,4783
B20D;G96.0;5;0,2174
B20E;G91.20;11;0,3548
B20E;G91.29;5;0,1613
B20F;S06.5;33;0,7174
B20F;I62.02;4;0,087
B47B;M53.1;6;0,8571
B61B;C79.5;6;0,1579
B63Z;I67.88;24;0,3692
B63Z;F03;10;0,1538
B63Z;G30.1;9;0,1385
B64Z;F05.1;8;0,2963
B64Z;R41.0;6;0,2222
B64Z;F05.9;5;0,1852
B64Z;F05.8;4;0,1481
B66D;C71.1;26;0,2047
B66D;C79.3;22;0,1732
B66D;C71.8;21;0,1654
B66D;C71.2;18;0,1417
B66D;C71.7;8;0,063
B66D;C71.9;8;0,063
B66D;C71.3;4;0,0315
B66D;D32.0;4;0,0315
B66D;D33.3;4;0,0315
B67A;G20.21;19;0,7917
B67B;G20.11;24;0,4898
B67B;G20.10;16;0,3265
B67B;G20.00;4;0,0816
B68D;G35.31;23;0,3594
B68D;G35.11;20;0,3125
B68D;G35.21;8;0,125
B68D;G35.9;5;0,0781
B69D;G45.92;35;0,3153
B69D;G45.02;28;0,2523
B69D;G45.82;12;0,1081
B69D;I65.2;9;0,0811
B69D;G45.89;5;0,045
B70F;I63.5;67;0,4589
B70F;I63.8;39;0,2671
B70F;I63.4;10;0,0685
B70F;I63.9;8;0,0548
B70F;I63.3;7;0,0479
B70F;G93.4;4;0,0274
B70F;I63.2;4;0,0274
B70F;I64;4;0,0274
B70H;I63.5;4;0,80
B70I;I64;10;0,2041
B70I;I63.5;7;0,1429
B70I;I63.8;7;0,1429
B70I;I63.9;7;0,1429
B70I;I61.9;4;0,0816
B71D;M53.1;108;0,2191
B71D;E11.41;99;0,2008
B71D;G51.0;99;0,2008
B71D;M54.12;30;0,0609
B71D;M54.10;28;0,0568
B71D;G54.8;19;0,0385
B71D;E11.40;17;0,0345
B71D;E10.41;14;0,0284
B71D;G62.9;9;0,0183
B71D;M89.04;9;0,0183
B71D;M53.0;8;0,0162
B71D;M79.28;6;0,0122
B71D;G54.4;4;0,0081
B71D;G61.8;4;0,0081
B71D;G62.88;4;0,0081
B75Z;R56.8;8;0,6154
B75Z;R56.0;5;0,3846
B76E;G40.3;6;0,3529
B76E;G40.2;5;0,2941
B76G;G40.3;18;0,30
B76G;G40.2;9;0,15
B76G;G40.1;8;0,1333
B76G;G40.6;6;0,10
B76G;G40.8;6;0,10
B76G;G40.9;6;0,10
B77Z;R51;26;0,4333
B77Z;G43.1;8;0,1333
B77Z;G43.0;7;0,1167
B77Z;G43.8;6;0,10
B78A;S06.6;8;0,5333
B78B;S06.5;12;0,7059
B79Z;S02.3;16;0,3721
B79Z;R40.0;14;0,3256
B79Z;S02.1;9;0,2093
B80Z;S06.0;171;0,9771
B80Z;Z03.3;4;0,0229
B81B;B02.2;63;0,4315
B81B;R29.6;24;0,1644
B81B;R26.8;13;0,089
B81B;R29.8;8;0,0548
B81B;R20.2;7;0,0479
B81B;R20.8;4;0,0274
B82Z;G58.0;12;1,00
B85D;I67.3;14;0,40
B85D;G91.29;4;0,1143
C01B;H16.0;34;0,4198
C01B;H18.8;6;0,0741
C01B;H18.5;5;0,0617
C01B;H18.4;4;0,0494
C02B;H44.5;23;0,4182
C02B;H16.0;6;0,1091
C03A;H35.3;131;0,2251
C03A;H35.8;119;0,2045
C03A;H33.0;93;0,1598
C03A;H43.1;31;0,0533
C03A;H33.5;30;0,0515
C03A;H33.4;28;0,0481
C03A;H33.2;27;0,0464
C03A;H25.9;20;0,0344
C03A;H35.2;18;0,0309
C03A;H25.8;17;0,0292
C03A;H25.1;16;0,0275
C03A;H35.6;7;0,012
C03A;H33.3;5;0,0086
C03A;H43.2;5;0,0086
C03A;H25.0;4;0,0069
C03B;H35.3;1267;0,3967
C03B;H33.0;508;0,159
C03B;H35.8;203;0,0636
C03B;H25.1;186;0,0582
C03B;H33.5;179;0,056
C03B;H43.1;174;0,0545
C03B;H33.2;150;0,047
C03B;H33.4;146;0,0457
C03B;H25.8;81;0,0254
C03B;E11.30;33;0,0103
C03B;H35.6;21;0,0066
C03B;H33.3;20;0,0063
C03B;H35.2;18;0,0056
C03B;E10.30;16;0,005
C03B;H27.1;16;0,005
C03B;H26.8;15;0,0047
C03B;H43.2;15;0,0047
C03B;H43.3;15;0,0047
C03B;H27.0;13;0,0041
C03B;H25.2;10;0,0031
C03B;H43.8;10;0,0031
C03B;H26.2;8;0,0025
C03B;H35.1;8;0,0025
C03B;H43.9;8;0,0025
C03B;H25.0;7;0,0022
C03B;E14.30;6;0,0019
C03B;H26.9;6;0,0019
C03B;H34.8;6;0,0019
C03B;H26.0;4;0,0013
C03B;H35.0;4;0,0013
C03B;H59.8;4;0,0013
C03C;H35.3;1874;0,5435
C03C;H33.0;239;0,0693
C03C;H43.1;238;0,069
C03C;H35.8;170;0,0493
C03C;H33.2;107;0,031
C03C;H27.1;85;0,0247
C03C;H43.3;85;0,0247
C03C;H27.0;71;0,0206
C03C;H43.8;58;0,0168
C03C;H35.6;41;0,0119
C03C;H35.2;36;0,0104
C03C;T85.2;36;0,0104
C03C;E11.30;34;0,0099
C03C;H33.5;33;0,0096
C03C;H33.4;29;0,0084
C03C;H59.9;25;0,0073
C03C;H33.3;22;0,0064
C03C;H43.2;21;0,0061
C03C;H59.0;18;0,0052
C03C;H26.4;17;0,0049
C03C;H35.1;15;0,0044
C03C;H43.9;15;0,0044
C03C;H34.8;14;0,0041
C03C;E10.30;11;0,0032
C03C;H43.0;11;0,0032
C03C;H44.1;11;0,0032
C03C;H35.0;10;0,0029
C03C;H40.5;10;0,0029
C03C;H40.1;9;0,0026
C03C;H59.8;9;0,0026
C03C;E14.30;8;0,0023
C03C;H25.1;8;0,0023
C03C;H44.0;6;0,0017
C03C;H40.2;5;0,0015
C03C;E11.31;4;0,0012
C04A;H18.5;74;0,7184
C04A;H18.1;8;0,0777
C04A;H25.1;4;0,0388
C04B;H18.5;291;0,4389
C04B;H18.1;94;0,1418
C04B;T86.83;87;0,1312
C04B;H18.6;53;0,0799
C04B;H18.4;36;0,0543
C04B;H17.9;19;0,0287
C04B;H18.2;18;0,0271
C04B;H16.0;11;0,0166
C04B;H17.8;10;0,0151
C04B;H18.8;9;0,0136
C04B;T85.3;9;0,0136
C04B;H16.4;8;0,0121
C05Z;H04.5;93;0,5225
C05Z;H04.4;70;0,3933
C05Z;H04.6;6;0,0337
C05Z;H04.3;5;0,0281
C06Z;H40.1;1363;0,8336
C06Z;H40.9;82;0,0502
C06Z;H40.5;40;0,0245
C06Z;H40.2;36;0,022
C06Z;H40.8;27;0,0165
C06Z;H40.4;18;0,011
C06Z;H25.1;17;0,0104
C06Z;H25.8;11;0,0067
C06Z;H20.1;5;0,0031
C06Z;H40.0;5;0,0031
C06Z;Q15.0;5;0,0031
C07A;H26.8;155;0,3216
C07A;H25.1;145;0,3008
C07A;H25.8;139;0,2884
C07A;H25.9;18;0,0373
C07A;H40.1;7;0,0145
C07A;H26.9;4;0,0083
C07B;H40.1;452;0,6696
C07B;H40.5;91;0,1348
C07B;H40.9;25;0,037
C07B;H40.2;21;0,0311
C07B;H44.4;21;0,0311
C07B;H40.4;18;0,0267
C07B;H40.8;11;0,0163
C07B;H34.8;5;0,0074
C07B;H21.1;4;0,0059
C08A;H25.1;485;0,8723
C08A;H25.9;34;0,0612
C08A;H26.9;11;0,0198
C08A;H26.0;10;0,018
C08A;H25.8;8;0,0144
C08B;H25.8;1782;0,409
C08B;H25.1;1540;0,3535
C08B;H26.8;353;0,081
C08B;H25.9;276;0,0633
C08B;H26.9;165;0,0379
C08B;H25.0;103;0,0236
C08B;H25.2;42;0,0096
C08B;H26.2;27;0,0062
C08B;H26.0;9;0,0021
C08B;H27.1;9;0,0021
C08B;H35.3;9;0,0021
C08B;H26.1;8;0,0018
C08B;E11.30;7;0,0016
C10A;H50.0;7;0,50
C10A;H50.1;5;0,3571
C10B;H50.0;12;0,4138
C10B;H50.9;10;0,3448
C10B;H50.3;4;0,1379
C10C;H50.0;50;0,2924
C10C;H50.1;48;0,2807
C10C;H50.5;24;0,1404
C10C;H50.3;16;0,0936
C10C;H50.9;16;0,0936
C10C;H50.8;7;0,0409
C10C;H50.4;5;0,0292
C12Z;C44.1;219;0,584
C12Z;H02.1;50;0,1333
C12Z;H02.4;50;0,1333
C12Z;H02.0;20;0,0533
C12Z;D23.1;14;0,0373
C13Z;H02.1;56;0,5045
C13Z;H02.0;36;0,3243
C13Z;H04.4;7;0,0631
C14Z;T85.3;30;0,1435
C14Z;H40.5;25;0,1196
C14Z;H33.3;17;0,0813
C14Z;H18.5;11;0,0526
C14Z;H33.0;11;0,0526
C14Z;H43.1;10;0,0478
C14Z;H35.3;9;0,0431
C14Z;H40.1;8;0,0383
C14Z;H44.1;7;0,0335
C14Z;C44.1;6;0,0287
C14Z;H21.1;5;0,0239
C14Z;H34.8;4;0,0191
C15Z;H33.0;67;0,1562
C15Z;H27.1;60;0,1399
C15Z;H25.1;53;0,1235
C15Z;T85.2;50;0,1166
C15Z;H27.0;32;0,0746
C15Z;H25.8;26;0,0606
C15Z;H35.3;22;0,0513
C15Z;H33.5;11;0,0256
C15Z;H35.6;10;0,0233
C15Z;H33.2;7;0,0163
C15Z;H26.8;6;0,014
C15Z;H27.8;6;0,014
C15Z;H35.8;6;0,014
C15Z;H43.1;6;0,014
C15Z;H43.3;6;0,014
C15Z;H33.3;5;0,0117
C15Z;H40.1;5;0,0117
C15Z;H40.5;5;0,0117
C15Z;H26.4;4;0,0093
C20A;H02.1;7;0,4375
C20B;H11.0;111;0,1664
C20B;H02.4;102;0,1529
C20B;C44.1;58;0,087
C20B;H27.1;50;0,075
C20B;H02.3;43;0,0645
C20B;H25.1;40;0,06
C20B;H27.0;33;0,0495
C20B;T85.2;28;0,042
C20B;H25.8;25;0,0375
C20B;H02.1;18;0,027
C20B;H02.0;17;0,0255
C20B;H18.4;17;0,0255
C20B;H40.1;15;0,0225
C20B;H26.8;9;0,0135
C20B;H16.0;7;0,0105
C20B;H26.9;7;0,0105
C20B;H25.9;6;0,009
C20B;H27.8;6;0,009
C20B;H02.2;4;0,006
C20B;H25.2;4;0,006
C60Z;H16.0;105;0,4626
C60Z;B02.3;32;0,141
C60Z;H44.1;31;0,1366
C60Z;H05.0;17;0,0749
C60Z;B00.5;14;0,0617
C60Z;H16.8;13;0,0573
C60Z;H44.0;12;0,0529
C61Z;H34.8;108;0,4235
C61Z;H46;52;0,2039
C61Z;H47.0;39;0,1529
C61Z;H34.2;25;0,098
C61Z;H34.1;19;0,0745
C62Z;H59.8;15;0,2273
C62Z;S05.1;13;0,197
C62Z;T26.6;10;0,1515
C62Z;S05.0;8;0,1212
C62Z;H35.6;4;0,0606
C62Z;S00.1;4;0,0606
C63Z;H20.9;41;0,2455
C63Z;H35.3;12;0,0719
C63Z;H00.0;10;0,0599
C63Z;H20.1;7;0,0419
C63Z;H20.8;7;0,0419
C63Z;H04.3;6;0,0359
C63Z;H15.0;6;0,0359
C63Z;H18.2;6;0,0359
C63Z;H18.8;4;0,024
C63Z;H30.0;4;0,024
C63Z;H30.1;4;0,024
C63Z;H30.9;4;0,024
C64Z;H40.0;152;0,4119
C64Z;H40.1;141;0,3821
C64Z;H40.2;28;0,0759
C64Z;H40.5;12;0,0325
C64Z;H40.9;9;0,0244
C64Z;H25.1;8;0,0217
C66Z;H20.0;61;0,9104
C66Z;E10.31;4;0,0597
D01B;H90.3;6;0,4615
D01B;H90.5;5;0,3846
D03A;Q36.9;6;0,2857
D03A;Q37.4;5;0,2381
D03A;Q37.5;5;0,2381
D03B;Q37.5;16;0,2712
D03B;K07.1;8;0,1356
D03B;Q37.4;8;0,1356
D03B;Q35.5;5;0,0847
D04Z;K07.1;641;0,8228
D04Z;K07.2;64;0,0822
D04Z;K07.0;28;0,0359
D04Z;S02.4;27;0,0347
D04Z;K07.6;6;0,0077
D04Z;Q67.4;4;0,0051
D05A;D11.0;133;0,7917
D05A;C07;12;0,0714
D05A;K11.2;7;0,0417
D05A;D11.9;6;0,0357
D05A;D37.0;6;0,0357
D05B;D11.0;406;0,7748
D05B;D37.0;39;0,0744
D05B;D11.9;24;0,0458
D05B;C07;16;0,0305
D05B;K11.2;16;0,0305
D05B;D11.7;5;0,0095
D05B;K11.6;5;0,0095
D06A;H71;22;0,3438
D06A;H70.1;6;0,0938
D06A;J32.4;5;0,0781
D06A;H66.2;4;0,0625
D06A;J35.3;4;0,0625
D06A;K12.22;4;0,0625
D06B;H71;345;0,267
