IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
24 ;801A;379;0,0185;0,0026;0,029;0,0607;0,1609;0,4274;0,3008;0,6042;0,3958;0,00;0,00;0,0053;0,0026;0,00;0,00;0,0026;0,0053;0,0185;0,0449;0,0501;0,0475;0,0501;0,0844;0,2612;0,1768;0,2507;0,1355;0,6941;0,1703;7;43;22,60;5,636;0,00;9,10
24 ;801B;3048;0,0906;0,0449;0,0673;0,1831;0,3117;0,2552;0,0472;0,5161;0,4839;0,00;0,00;0,0013;0,0023;0,001;0,0023;0,0046;0,0026;0,0187;0,0203;0,0551;0,0528;0,0738;0,0889;0,2215;0,1831;0,2717;0,1092;0,7635;0,1273;6;38;19,90;4,073;0,0002;8,30
24 ;801C;1368;0,0841;0,0373;0,0526;0,2047;0,3238;0,2595;0,038;0,50;0,50;0,00;0,00;0,0263;0,0022;0,0007;0,0007;0,0015;0,00;0,0124;0,0234;0,0373;0,0446;0,0461;0,0548;0,2127;0,1732;0,364;0,0824;0,8172;0,1004;5;35;17,80;3,317;0,0001;7,50
24 ;801D;13590;0,1403;0,0683;0,1046;0,2313;0,282;0,1578;0,0157;0,5488;0,4512;0,00;0,00;0,00;0,0018;0,0025;0,001;0,0032;0,0021;0,0189;0,0253;0,0474;0,0442;0,061;0,0745;0,2049;0,1824;0,3307;0,1064;0,8085;0,0851;4;31;14,80;2,739;0,001;6,40
24 ;801E;4558;0,2323;0,1082;0,1479;0,2957;0,1479;0,063;0,005;0,5489;0,4511;0,00;0,00;0,00;0,0011;0,0018;0,0015;0,0026;0,002;0,0197;0,0213;0,0511;0,0564;0,0728;0,0897;0,2277;0,1946;0,2576;0,1006;0,8163;0,0831;3;23;11,10;1,847;0,0003;4,70
24 ;802A;3683;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5878;0,4122;0,00;0,00;0,0016;0,0022;0,0038;0,0035;0,006;0,0041;0,0329;0,038;0,0663;0,0595;0,0728;0,0882;0,2134;0,1694;0,2384;0,1774;0,7259;0,0968;3;24;11,20;1,823;0,0003;5,20
24 ;802B;1737;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3489;0,6511;0,00;0,00;0,00;0,0017;0,0023;0,0012;0,0046;0,004;0,0271;0,0397;0,0771;0,0777;0,1042;0,1036;0,2401;0,148;0,1687;0,1343;0,7649;0,1008;2;19;7,90;1,439;0,0001;4,30
24 ;802C;3222;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5106;0,4894;0,00;0,00;0,0062;0,0093;0,0183;0,0115;0,0149;0,0062;0,0615;0,0742;0,1006;0,0745;0,0813;0,0795;0,1744;0,1319;0,1558;0,1373;0,7078;0,1549;1;16;6,60;1,043;0,0002;3,80
24 ;802D;982;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4949;0,5051;0,00;0,00;0,0081;0,0112;0,0071;0,0071;0,0173;0,0092;0,0988;0,111;0,1008;0,0754;0,0866;0,0743;0,1589;0,1029;0,1314;0,2014;0,6381;0,1605;1;11;4,30;0,789;0,0001;2,40
24 ;863Z;83;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4217;0,5783;0,00;0,00;0,5783;0,0482;0,00;0,012;0,012;0,012;0,1446;0,1807;0,012;0,00;0,00;0,00;0,00;0,00;0,00;0,1769;0,6385;0,1846;1;10;3,80;1,019;0,00;1,80
