IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
801E;3-614;9;0,50;9;0,0466
801E;8-836.77;9;0,50;9;0,0466
801E;8-542.11;7;0,3889;46;0,2383
801E;8-542.12;5;0,2778;17;0,0881
801E;8-148.x;5;0,2778;6;0,0311
801E;8-547.2;4;0,2222;10;0,0518
802A;5-985.1;10;0,2439;10;0,0303
802A;5-913.ab;6;0,1463;6;0,0182
802A;8-836.02;5;0,122;5;0,0152
802A;8-854.2;4;0,0976;79;0,2394
802A;3-606;4;0,0976;5;0,0152
802C;1-859.x;177;0,7314;1350;0,398
802C;8-836.xx;177;0,7314;939;0,2768
802C;3-202;110;0,4545;122;0,036
802C;3-207;103;0,4256;111;0,0327
802C;8-543.11;51;0,2107;157;0,0463
802C;8-543.12;43;0,1777;127;0,0374
802C;3-800;40;0,1653;42;0,0124
802C;8-542.11;27;0,1116;129;0,038
802C;8-179.x;20;0,0826;59;0,0174
802C;8-800.c0;19;0,0785;29;0,0085
802C;8-543.14;16;0,0661;41;0,0121
802C;8-543.15;7;0,0289;15;0,0044
802C;1-242;7;0,0289;11;0,0032
802C;5-915.54;7;0,0289;8;0,0024
802C;8-543.13;6;0,0248;16;0,0047
802C;3-801;6;0,0248;6;0,0018
802C;3-802;6;0,0248;6;0,0018
802C;1-632.0;5;0,0207;6;0,0018
802C;5-181.0;5;0,0207;6;0,0018
802C;1-542;5;0,0207;5;0,0015
802C;5-200.5;5;0,0207;5;0,0015
802C;8-800.60;5;0,0207;5;0,0015
802C;8-542.12;4;0,0165;14;0,0041
802C;3-05x;4;0,0165;7;0,0021
802C;8-152.1;4;0,0165;7;0,0021
802C;3-225;4;0,0165;4;0,0012
802C;5-985.1;4;0,0165;4;0,0012
802C;5-985.6;4;0,0165;4;0,0012
863Z;3-800;4;0,087;4;0,2667
960Z;3-13e;5;0,1282;5;0,0633
961Z;1-930.1;174;0,0922;362;0,08
961Z;8-98a.11;100;0,053;1003;0,2217
961Z;8-98a.10;100;0,053;769;0,1699
961Z;1-900.0;64;0,0339;64;0,0141
961Z;3-990;50;0,0265;55;0,0122
