IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
A09D;2;10669,72;20081,96;389,49;2052,91;307,20;0,00;3702,85;123,95;49,82;2732,26;6822,68;46932,84
A09D;4;159,40;0,00;130,52;4,45;2,47;32,90;70,06;78,04;8,34;87,68;100,74;674,60
A09D;5;150,12;0,00;89,58;7,04;2,17;0,00;23,82;0,51;0,00;16,24;39,22;328,70
A09D;7;42,78;0,00;43,10;3,25;0,04;19,40;27,55;76,43;8,95;19,40;32,83;273,73
A09D;8;98,42;0,00;115,37;3,35;0,60;4,26;45,20;23,02;1,23;60,16;75,38;426,99
A09D;9;203,20;0,00;205,58;1,87;1,24;4,42;37,96;22,27;92,28;84,69;130,86;784,37
A09D;10;100,88;0,00;540,43;25,22;253,75;0,00;442,84;10,30;448,56;75,64;228,72;2126,34
A09D;11;93,71;1,41;75,00;1,60;0,00;0,00;10,32;0,00;4,09;16,47;38,82;241,42
A09D;12;10,31;5,27;564,36;0,30;0,44;0,00;7,83;0,00;98,91;22,47;183,96;893,85
A09D;13;52,52;14,49;44,27;2,05;0,00;0,00;5,91;0,00;0,09;10,21;33,14;162,68
A09E;1;217,70;486,33;19,21;36,02;10,82;0,00;38,24;3,80;10,62;108,38;301,82;1232,94
A09E;2;8991,83;17478,49;278,50;1749,31;317,10;0,00;3337,32;125,79;70,39;2263,34;5978,52;40590,59
A09E;4;206,84;0,00;163,44;6,07;3,01;49,71;85,92;51,40;13,99;91,73;124,17;796,28
A09E;5;156,55;0,00;94,94;8,31;0,08;0,00;27,10;0,48;0,31;19,50;44,90;352,17
A09E;7;43,79;0,00;48,71;2,95;2,37;37,36;18,87;66,58;4,69;16,94;28,25;270,51
A09E;8;105,48;0,00;120,40;3,54;0,47;1,28;44,38;27,89;0,00;59,50;74,49;437,43
A09E;9;187,98;0,00;191,99;2,62;0,10;1,13;33,06;5,39;73,08;72,98;123,66;691,99
A09E;10;91,22;0,00;471,65;16,59;181,74;0,00;420,82;22,33;388,39;71,72;195,04;1859,50
A09E;11;94,18;0,85;67,35;1,33;0,00;0,00;8,80;0,14;6,85;15,77;40,86;236,13
A09E;12;15,99;2,11;465,02;0,51;0,13;0,00;5,93;0,00;107,68;19,45;162,38;779,20
A09E;13;54,51;10,16;47,84;1,85;3,45;0,00;5,99;0,00;0,29;9,90;32,35;166,34
A09F;1;292,63;518,26;36,14;41,48;16,80;0,00;44,66;12,70;19,80;147,87;408,76;1539,10
A09F;2;8292,79;16652,17;304,82;1672,37;188,45;0,00;2755,04;113,48;39,92;2004,48;5293,15;37316,67
A09F;4;192,62;0,00;167,97;5,41;11,33;26,82;73,42;52,30;0,00;104,64;123,63;758,14
A09F;5;161,93;0,00;98,93;9,21;0,57;0,00;31,32;0,79;0,00;19,96;48,25;370,96
A09F;7;22,41;0,00;30,69;2,34;0,14;7,79;11,02;36,19;2,55;10,37;18,67;142,17
A09F;8;132,55;0,00;152,72;7,29;0,48;4,38;64,07;19,30;0,00;74,04;84,67;539,50
A09F;9;123,66;0,00;158,51;1,34;0,34;0,00;25,32;3,75;88,33;54,38;93,32;548,95
A09F;10;48,10;0,00;394,81;18,24;166,24;0,00;297,32;3,96;324,08;46,41;145,94;1445,10
A09F;11;74,37;2,15;60,50;1,72;0,00;0,00;8,75;0,00;2,35;13,51;34,26;197,61
A09F;12;12,48;9,28;401,55;0,41;0,00;0,00;5,06;0,20;83,02;13,01;144,44;669,45
A09F;13;42,14;12,09;40,65;1,33;2,43;0,00;5,78;0,07;0,00;7,06;29,09;140,64
A11A;1;355,26;722,05;47,86;76,76;120,19;0,00;69,82;70,12;11,51;190,00;440,63;2104,20
A11A;2;11183,46;22100,25;412,59;2078,72;2161,59;102,84;4612,11;313,80;116,83;3215,75;8099,13;54397,07
A11A;4;1973,18;0,00;1354,41;90,80;220,92;937,12;954,64;621,53;250,94;851,32;1239,41;8494,27
A11A;5;1312,61;0,00;810,22;78,16;48,15;0,00;288,33;16,72;20,93;164,35;364,67;3104,14
A11A;7;66,46;0,00;48,84;2,48;0,48;173,77;34,94;82,10;15,31;33,23;51,19;508,80
A11A;8;147,89;0,00;150,80;4,61;1,26;5,94;62,49;40,98;1,13;89,52;116,56;621,18
A11A;9;521,48;0,00;506,99;6,01;1,71;102,14;111,12;193,18;47,66;238,85;350,70;2079,84
A11A;10;291,43;0,00;1223,79;51,90;1188,15;13,85;1031,04;17,33;570,71;205,55;524,43;5118,18
A11A;11;163,01;0,48;85,17;2,22;0,00;0,00;17,36;0,41;5,87;26,31;57,09;357,92
A11A;12;32,06;7,90;635,68;0,85;1,89;0,00;6,98;0,11;120,18;29,65;179,15;1014,45
A11A;13;57,76;12,46;43,83;2,61;1,74;0,00;6,70;0,00;0,02;13,09;35,17;173,38
A11B;1;454,65;917,33;66,66;91,73;212,98;0,00;89,12;56,13;15,45;241,99;558,91;2704,95
A11B;2;8693,26;15990,12;335,44;1510,98;1038,48;1,91;3167,18;179,58;140,67;2488,12;5883,63;39429,37
A11B;4;1576,28;0,00;1204,78;79,15;128,95;2567,71;713,63;714,06;136,30;620,29;932,14;8673,29
A11B;5;933,77;0,00;588,41;62,07;50,28;0,00;231,92;23,70;14,62;121,08;254,96;2280,81
A11B;7;125,82;0,00;118,80;6,97;0,91;1647,54;69,97;238,28;4,43;66,06;95,62;2374,40
A11B;8;92,70;0,00;92,82;2,47;1,14;17,01;41,39;29,42;4,65;51,93;66,09;399,62
A11B;9;420,82;0,00;433,54;4,82;2,49;147,62;82,87;197,30;45,15;193,56;250,18;1778,35
A11B;10;137,26;0,00;683,51;42,31;646,75;52,35;594,56;9,89;356,22;111,04;291,85;2925,74
A11B;11;133,49;1,51;73,17;0,85;0,00;0,00;10,35;0,27;3,78;20,10;45,20;288,72
A11B;12;32,46;4,53;460,62;0,77;0,00;0,00;6,14;0,30;88,99;22,30;127,46;743,57
A11B;13;50,98;8,41;36,11;1,51;20,01;0,00;5,65;3,30;0,41;12,85;31,35;170,58
A11C;1;238,58;475,57;26,91;39,87;49,73;0,00;42,31;33,94;11,32;125,77;335,22;1379,22
A11C;2;5837,68;11682,08;214,82;1127,68;754,21;74,08;2486,08;244,25;55,85;1669,33;4198,59;28344,65
A11C;4;831,46;0,00;604,72;45,35;65,37;511,30;418,88;331,12;78,53;393,86;525,45;3806,04
A11C;5;609,08;0,00;391,74;36,41;26,97;0,00;141,20;4,99;0,07;85,46;193,59;1489,51
A11C;7;34,35;0,00;32,46;2,13;0,80;25,52;18,40;53,92;14,75;18,73;25,89;226,95
A11C;8;68,69;0,00;67,82;2,04;0,37;3,97;29,95;22,02;0,31;34,43;50,45;280,05
A11C;9;380,62;0,00;347,62;6,16;1,51;44,95;83,75;214,45;69,05;170,99;236,75;1555,85
A11C;10;126,99;0,00;502,04;14,36;579,37;0,00;439,34;12,53;299,92;80,26;217,27;2272,08
A11C;11;86,35;0,67;58,77;1,18;0,00;0,00;8,70;0,25;14,00;16,32;35,33;221,57
A11C;12;23,46;3,20;283,17;0,72;1,98;0,00;3,11;0,06;70,54;14,94;86,19;487,37
A11C;13;56,93;11,22;41,26;1,89;4,54;0,00;5,90;0,60;1,01;12,32;34,29;169,96
A11D;1;327,34;644,22;36,03;49,72;116,45;0,00;58,60;5,92;16,55;166,93;501,64;1923,40
A11D;2;5573,56;11072,33;146,77;956,48;1247,10;4,43;2034,68;210,69;22,48;1408,73;3547,52;26224,77
A11D;4;1018,79;0,00;720,91;28,05;49,99;314,48;388,73;320,75;0,00;438,87;564,08;3844,65
A11D;5;693,58;0,00;439,39;39,53;14,12;0,00;130,56;2,23;0,03;82,45;199,49;1601,38
A11D;6;2,17;0,00;9,34;0,61;0,00;0,00;1,14;0,00;0,00;2,97;3,52;19,75
A11D;7;12,18;0,00;13,87;0,70;0,02;0,79;6,66;17,63;1,09;3,97;8,26;65,17
A11D;8;63,00;0,00;58,16;2,19;2,52;0,00;31,81;27,07;0,00;25,41;43,22;253,38
A11D;9;270,84;0,00;285,86;3,05;0,53;2,72;49,64;64,38;48,11;96,10;175,35;996,58
A11D;10;115,85;0,00;495,16;16,88;1329,79;0,00;383,35;1,16;505,52;67,25;198,28;3113,24
A11D;11;68,86;0,25;43,49;1,00;0,00;0,00;6,70;0,00;1,41;11,39;29,55;162,65
A11D;12;19,67;4,16;304,27;0,40;0,00;0,00;7,69;0,00;72,70;14,89;97,69;521,47
A11D;13;91,96;14,52;70,24;3,07;12,77;0,00;12,93;0,00;0,00;21,03;52,32;278,84
A11E;1;205,89;414,52;25,44;30,76;36,34;0,00;34,11;26,94;10,30;112,66;282,73;1179,69
A11E;2;5517,28;11146,17;209,06;1031,25;367,39;5,29;2139,42;145,44;44,66;1626,29;3915,76;26148,01
A11E;4;452,10;0,00;374,30;21,57;30,36;248,18;223,24;191,86;13,96;232,13;308,55;2096,25
A11E;5;382,93;0,00;236,70;21,68;6,89;0,00;79,99;2,44;1,38;52,77;107,83;892,61
A11E;7;28,10;0,00;30,82;1,86;0,35;43,86;16,47;64,84;10,50;13,99;23,28;234,07
A11E;8;58,54;0,00;65,86;1,89;0,65;4,22;22,69;17,51;0,21;35,48;42,77;249,82
A11E;9;353,09;0,00;294,71;4,00;2,33;74,12;78,44;226,15;37,71;148,17;204,28;1423,00
A11E;10;94,74;0,00;391,91;10,89;233,48;0,00;340,00;2,55;259,02;61,84;170,09;1564,52
A11E;11;80,92;1,35;61,04;1,17;0,00;0,00;7,52;0,31;3,39;14,82;32,47;202,99
A11E;12;19,89;3,01;284,66;0,40;3,71;0,00;3,01;0,47;69,69;14,62;90,24;489,70
A11E;13;61,87;12,97;45,98;2,32;4,09;0,00;6,46;0,24;0,36;11,79;35,45;181,53
A11F;1;384,85;785,48;33,61;55,56;78,98;0,00;69,93;21,72;9,36;181,55;504,24;2125,28
A11F;2;5455,06;10510,02;147,58;1045,79;248,08;0,00;1869,75;98,99;21,54;1372,75;3523,46;24293,02
A11F;4;425,69;0,00;341,56;12,08;6,80;84,12;166,17;149,93;6,28;201,45;247,74;1641,82
A11F;5;334,97;0,00;216,16;19,06;1,20;0,00;63,88;1,96;0,84;41,45;98,49;778,01
A11F;6;0,05;0,00;0,25;0,01;2,82;0,00;0,02;0,00;0,00;0,05;0,13;3,33
A11F;7;10,80;0,00;10,79;0,43;0,13;6,93;5,29;22,54;3,51;3,19;6,36;69,97
A11F;8;74,95;0,00;88,80;6,28;1,58;4,61;34,42;20,14;0,00;45,43;56,09;332,30
A11F;9;149,74;0,00;173,71;1,51;0,97;8,56;27,75;7,49;107,66;65,56;101,89;644,84
A11F;10;57,41;0,00;332,80;16,07;303,14;0,00;249,48;2,06;360,05;43,49;128,89;1493,39
A11F;11;55,99;0,46;46,90;0,93;0,00;0,00;5,56;0,00;45,29;9,51;22,04;186,68
