IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
C03B;5-144.5a;294;0,3496;296;0,116
C03B;5-158.42;255;0,3032;257;0,1007
C03B;5-159.4;169;0,201;169;0,0662
C03B;1-220.0;159;0,1891;159;0,0623
C03B;5-158.22;136;0,1617;136;0,0533
C03B;5-154.4;122;0,1451;123;0,0482
C03B;5-155.1;115;0,1367;116;0,0455
C03B;5-155.3;111;0,132;113;0,0443
C03B;5-155.4;96;0,1141;99;0,0388
C03B;5-154.2;82;0,0975;82;0,0321
C03B;5-155.0;81;0,0963;82;0,0321
C03B;5-154.0;67;0,0797;67;0,0263
C03B;5-158.40;65;0,0773;67;0,0263
C03B;5-158.41;63;0,0749;63;0,0247
C03B;5-158.21;56;0,0666;56;0,0219
C03B;5-158.43;55;0,0654;56;0,0219
C03B;5-158.20;53;0,063;53;0,0208
C03B;5-152.2;45;0,0535;49;0,0192
C03B;5-144.3a;40;0,0476;40;0,0157
C03B;5-138.10;34;0,0404;36;0,0141
C03B;5-158.10;30;0,0357;30;0,0118
C03B;5-158.12;30;0,0357;30;0,0118
C03B;5-158.45;25;0,0297;25;0,0098
C03B;5-156.9;22;0,0262;23;0,009
C03B;5-115;21;0,025;22;0,0086
C03B;5-139.x;20;0,0238;20;0,0078
C03B;5-158.13;14;0,0166;14;0,0055
C03B;5-142.1;12;0,0143;12;0,0047
C03B;5-156.1;12;0,0143;12;0,0047
C03B;5-156.0;11;0,0131;13;0,0051
C03B;5-158.14;11;0,0131;11;0,0043
C03B;5-158.11;10;0,0119;10;0,0039
C03B;5-158.15;10;0,0119;10;0,0039
C03B;5-983;7;0,0083;7;0,0027
C03B;8-855.3;6;0,0071;14;0,0055
C03B;5-139.10;6;0,0071;6;0,0024
C03B;5-144.25;6;0,0071;6;0,0024
C03B;5-144.35;6;0,0071;6;0,0024
C03B;5-158.44;6;0,0071;6;0,0024
C03B;5-133.0;5;0,0059;5;0,002
C03B;5-139.11;5;0,0059;5;0,002
C03B;5-158.23;5;0,0059;5;0,002
C03B;5-158.24;5;0,0059;5;0,002
C03B;5-158.26;5;0,0059;5;0,002
C03B;5-158.46;5;0,0059;5;0,002
C03B;3-990;4;0,0048;4;0,0016
C03B;5-154.3;4;0,0048;4;0,0016
C03C;5-159.4;264;0,4012;266;0,1734
C03C;5-158.22;234;0,3556;236;0,1538
C03C;1-220.0;147;0,2234;147;0,0958
C03C;5-158.20;103;0,1565;104;0,0678
C03C;5-156.9;95;0,1444;96;0,0626
C03C;5-158.21;94;0,1429;94;0,0613
C03C;5-158.10;66;0,1003;66;0,043
C03C;5-158.12;51;0,0775;51;0,0332
C03C;5-154.0;43;0,0653;45;0,0293
C03C;5-154.2;33;0,0502;33;0,0215
C03C;5-155.4;32;0,0486;32;0,0209
C03C;5-158.11;32;0,0486;32;0,0209
C03C;5-158.15;29;0,0441;29;0,0189
C03C;5-155.3;26;0,0395;26;0,0169
C03C;5-155.1;24;0,0365;24;0,0156
C03C;5-984;20;0,0304;20;0,013
C03C;5-139.x;16;0,0243;16;0,0104
C03C;5-155.0;15;0,0228;15;0,0098
C03C;5-115;12;0,0182;12;0,0078
C03C;5-158.26;12;0,0182;12;0,0078
C03C;5-142.1;11;0,0167;11;0,0072
C03C;5-159.x0;10;0,0152;10;0,0065
C03C;5-139.10;7;0,0106;7;0,0046
C03C;5-133.0;6;0,0091;6;0,0039
C03C;5-138.10;6;0,0091;6;0,0039
C03C;5-158.23;6;0,0091;6;0,0039
C03C;5-158.25;6;0,0091;6;0,0039
C03C;5-158.16;5;0,0076;5;0,0033
C03C;5-158.x2;5;0,0076;5;0,0033
C03C;8-855.3;4;0,0061;8;0,0052
C03C;1-840.0;4;0,0061;4;0,0026
C03C;3-820;4;0,0061;4;0,0026
C03C;5-139.11;4;0,0061;4;0,0026
C03C;5-146.2k;4;0,0061;4;0,0026
C03C;5-154.3;4;0,0061;4;0,0026
C03C;5-158.24;4;0,0061;4;0,0026
C03C;5-158.x0;4;0,0061;4;0,0026
C04B;5-125.10;46;0,5542;46;0,3566
C04B;5-125.01;20;0,241;21;0,1628
C04B;1-220.0;19;0,2289;19;0,1473
C04B;5-125.00;14;0,1687;14;0,1085
C04B;5-139.2;7;0,0843;8;0,062
C04B;5-123.20;6;0,0723;6;0,0465
C04B;5-125.3;4;0,0482;4;0,031
C06Z;5-131.01;285;0,8097;285;0,2791
C06Z;1-220.0;154;0,4375;155;0,1518
C06Z;5-115;120;0,3409;120;0,1175
C06Z;5-133.0;120;0,3409;120;0,1175
C06Z;5-139.0;119;0,3381;119;0,1166
C06Z;5-131.42;62;0,1761;82;0,0803
C06Z;5-133.9;29;0,0824;29;0,0284
C06Z;8-020.0;23;0,0653;23;0,0225
C06Z;5-144.5a;19;0,054;19;0,0186
C06Z;5-134.2;13;0,0369;13;0,0127
C06Z;5-131.60;8;0,0227;9;0,0088
C06Z;5-132.2x;8;0,0227;8;0,0078
C06Z;5-131.61;7;0,0199;7;0,0069
C06Z;5-144.3a;6;0,017;6;0,0059
C06Z;5-134.00;4;0,0114;4;0,0039
C06Z;5-139.12;4;0,0114;4;0,0039
C07B;1-220.0;38;0,4935;38;0,255
C07B;5-131.40;25;0,3247;25;0,1678
C07B;5-132.20;17;0,2208;17;0,1141
C07B;8-020.0;12;0,1558;12;0,0805
C07B;8-541.x;9;0,1169;9;0,0604
C07B;5-132.2x;7;0,0909;7;0,047
C07B;5-132.1;6;0,0779;6;0,0403
C07B;5-133.6;4;0,0519;5;0,0336
C08B;5-144.3a;373;0,5738;373;0,3806
C08B;5-144.5a;274;0,4215;275;0,2806
C08B;1-220.0;270;0,4154;270;0,2755
C08B;5-156.9;10;0,0154;10;0,0102
C08B;9-984.7;8;0,0123;8;0,0082
C08B;9-984.8;6;0,0092;6;0,0061
C08B;8-020.0;5;0,0077;5;0,0051
C08B;8-151.5;4;0,0062;4;0,0041
C20B;5-122.4;33;0,2538;33;0,1634
C20B;1-220.0;20;0,1538;20;0,099
C20B;5-146.2k;11;0,0846;11;0,0545
C20B;5-091.31;9;0,0692;9;0,0446
