IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
C03B;1;0,00;305,59;0,60;17,73;0,29;0,00;15,61;0,03;0,11;97,26;291,63;728,85
C03B;2;0,09;0,12;0,01;0,01;0,00;0,00;0,03;0,00;0,00;0,02;0,08;0,36
C03B;4;0,00;0,00;112,11;13,84;30,98;40,39;172,83;253,14;14,02;82,22;94,10;813,63
C03B;5;120,52;0,00;69,27;12,48;0,00;0,00;18,29;0,04;0,00;23,25;34,38;278,23
C03B;8;0,06;0,00;0,05;0,00;0,00;0,00;0,03;0,00;0,00;0,03;0,04;0,21
C03B;9;0,71;0,00;0,86;0,00;0,21;0,00;0,01;0,16;0,00;0,15;0,40;2,50
C03B;10;0,04;0,00;2,36;0,01;0,00;0,00;2,10;0,00;0,40;0,26;1,59;6,76
C03B;11;3,53;0,00;3,20;0,00;0,00;0,00;1,49;0,11;0,00;0,32;2,02;10,67
C03B;12;0,16;0,13;0,13;0,02;0,00;0,00;0,04;0,00;0,00;0,02;0,09;0,59
C03B;13;1,66;0,47;1,14;0,04;0,00;0,00;0,17;0,00;0,00;0,20;0,85;4,53
C03C;1;0,00;295,51;1,08;15,93;0,87;0,00;15,44;0,05;0,44;88,52;258,31;676,15
C03C;4;0,00;0,00;70,97;9,88;6,05;10,06;84,79;188,03;85,92;47,35;62,27;565,32
C03C;5;91,18;0,00;56,38;10,07;0,00;0,00;15,56;0,07;0,01;19,07;26,87;219,21
C03C;9;0,51;0,00;0,49;0,00;0,00;0,00;0,00;0,41;0,00;0,10;0,29;1,80
C03C;10;0,08;0,00;1,95;0,01;0,50;0,00;1,60;0,00;0,37;0,21;1,27;5,99
C03C;11;2,94;0,00;2,61;0,01;0,00;0,00;1,28;0,14;0,00;0,26;1,63;8,87
