ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8;ko_Summe
PA01A;11;0,28;0,18;0;0;0;0,58;0;0;0,06;0;0,06;0,29;1,45
PA01A;21;15,14;47,79;1,26;4,15;0,86;0,6;2,2;0,39;0,99;0,35;6,54;30,3;110,57
PA01A;22;15,51;51,94;1,85;2,69;1,42;0,53;1,82;0,07;1,05;0,13;6,6;29,27;112,89
PA01A;23;2,82;19,08;0,88;0,37;0,18;0;0,24;0;0,13;0,11;0;0;23,82
PA01A;24;0,03;0,11;0,01;0,01;0,78;0;0;0;0,01;0,01;0,03;0,37;1,35
PA01A;25;0,1;0,3;0,01;0,01;2,97;0,95;0;0;0,15;0;0,18;1,86;6,55
PA01A;26;0,03;0,11;0,01;0;0;0;0;0;0;0;0,01;0,1;0,26
PA01B;4;0,08;0;0;0;0;0,07;0;0,01;0,05;0,02;0,05;0,07;0,35
PA01B;5;0,07;0;0;0;0;0,06;0,03;0;0,03;0;0,04;0,04;0,28
PA01B;8;0,02;0;0;0;0;0,02;0;0;0;0;0,01;0,01;0,07
PA01B;9;0,21;0;0;0;0;0,28;0,01;0;0,12;0,73;0,17;0,19;1,72
PA01B;10;0,08;0;0;0;0;0,76;0;0;0,81;0,78;0,11;0,29;2,83
PA01B;11;0,51;0,21;0;0;0;1,34;0,01;0;0,1;0;0,13;0,59;2,89
PA01B;21;20,45;61,32;2,82;3,93;1,61;0,95;2,27;0,1;1,16;0,1;9,17;44,37;148,25
PA01B;22;6,01;20,29;0,78;0,94;0,45;0,21;0,63;0,01;0,42;0,01;2,61;14,13;46,48
PA01B;23;3,47;7,17;2,16;0,98;0,19;0,03;0,1;0,06;0,07;0,08;0;0;14,32
PA01B;24;0,05;0,14;0,01;0,01;0,91;0;0;0;0,02;0,1;0,05;0,44;1,73
PA01B;25;0,07;0,56;0,02;0,04;4,93;0,54;0;0;0,22;0,04;0,28;2,68;9,39
PA01B;26;0,07;0,18;0,01;0;0,03;0;0;0;0,01;0;0,02;0,14;0,45
PA02A;5;0;0;0;0;0;0;0;0;0;0;0;0;0,01
PA02A;8;0,01;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0,04
PA02A;9;0,09;0;0;0;0;0,09;0;0;0,02;0,29;0,06;0,07;0,61
PA02A;10;0,08;0;0;0;0;1,75;0;0;1,24;2,71;0,4;0,76;6,93
PA02A;11;0,29;0,22;0;0;0;1,1;0;0;0,08;0,11;0,08;0,35;2,24
PA02A;21;16,45;61,4;3,55;4,08;3,86;0,58;1,78;0,05;0,59;0,18;9,2;34,68;136,39
PA02A;22;13;47,62;2,2;2,15;3,05;0,53;1,64;0,06;0,56;0,16;7,44;31,84;110,28
PA02A;23;4,03;11,84;1,62;1,82;0,06;0;0,12;0,03;0,04;0,08;0;0;19,65
PA02A;24;0;0;0;0,02;0,8;0,05;0;0;0,02;0;0,05;0,74;1,67
PA02A;25;0,01;0,03;0;0;2,39;0,13;0,01;0;0,11;0,01;0,16;1,16;4
PA02A;26;0,02;0,01;0;0;0,18;0;0;0;0;0;0;0,18;0,39
PA02B;4;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0,03
PA02B;8;0,02;0;0;0;0;0,02;0;0;0;0;0,01;0,01;0,07
PA02B;9;0,19;0;0;0;0;0,26;0;0;0,03;0,28;0,09;0,15;1
PA02B;10;0,18;0;0;0;0;2,04;0;0;1,58;2,61;0,26;1,02;7,7
PA02B;11;0,76;0,86;0;0;0;1,04;0,01;0;0,08;0,14;0,15;0,91;3,96
PA02B;21;14,32;43,47;1,69;2,73;1,2;0,75;1,33;0,25;0,95;0,13;7,6;31,15;105,57
