pr_Pepp;pr_Code;pr_FaelleAnzahl;pr_FaelleAnteil;pr_NennungenAnzahl;pr_NennungenAnteil
P002Z;9-671.20;264;0,6984;696;0,0548
P002Z;9-671.00;261;0,6905;832;0,0655
P002Z;9-983.2;255;0,6746;710;0,0559
P002Z;9-671.10;252;0,6667;761;0,0599
P002Z;9-671.21;221;0,5847;422;0,0332
P002Z;9-671.30;215;0,5688;429;0,0338
P002Z;9-671.11;200;0,5291;408;0,0321
P002Z;9-670.20;196;0,5185;482;0,0379
P002Z;9-671.01;189;0,5;457;0,036
P002Z;9-671.22;168;0,4444;292;0,023
P002Z;1-207.0;149;0,3942;199;0,0157
P002Z;9-671.23;145;0,3836;247;0,0194
P002Z;9-671.12;135;0,3571;279;0,022
P002Z;9-671.40;134;0,3545;265;0,0209
P002Z;9-671.31;132;0,3492;203;0,016
P002Z;9-983.0;125;0,3307;142;0,0112
P002Z;1-904;120;0,3175;185;0,0146
P002Z;9-983.1;118;0,3122;273;0,0215
P002Z;9-670.30;109;0,2884;188;0,0148
P002Z;9-671.24;108;0,2857;205;0,0161
P002Z;9-670.21;104;0,2751;211;0,0166
P002Z;9-690.1;102;0,2698;398;0,0313
P002Z;9-671.02;93;0,246;175;0,0138
P002Z;9-671.13;93;0,246;202;0,0159
P002Z;9-664.1;82;0,2169;184;0,0145
P002Z;9-671.25;76;0,2011;117;0,0092
P002Z;9-671.32;75;0,1984;107;0,0084
P002Z;9-671.50;75;0,1984;115;0,0091
P002Z;3-800;73;0,1931;76;0,006
P002Z;9-670.22;63;0,1667;103;0,0081
P002Z;9-671.14;62;0,164;100;0,0079
P002Z;9-664.2;59;0,1561;123;0,0097
P002Z;9-671.41;59;0,1561;88;0,0069
P002Z;9-670.31;58;0,1534;75;0,0059
P002Z;9-664.0;54;0,1429;118;0,0093
P002Z;9-671.33;53;0,1402;78;0,0061
P002Z;9-670.23;52;0,1376;74;0,0058
P002Z;9-671.03;50;0,1323;76;0,006
P002Z;9-671.42;48;0,127;71;0,0056
P002Z;9-664.3;47;0,1243;86;0,0068
P002Z;9-665.w;41;0,1085;120;0,0094
P002Z;9-671.34;38;0,1005;53;0,0042
P002Z;9-664.4;37;0,0979;69;0,0054
P002Z;9-670.24;36;0,0952;52;0,0041
P002Z;9-671.43;34;0,0899;44;0,0035
P002Z;9-671.15;33;0,0873;45;0,0035
P002Z;9-654.1;32;0,0847;65;0,0051
P002Z;9-670.40;32;0,0847;41;0,0032
P002Z;9-671.26;32;0,0847;51;0,004
P002Z;9-671.51;30;0,0794;46;0,0036
P002Z;9-690.0;30;0,0794;52;0,0041
P002Z;9-665.9;29;0,0767;43;0,0034
P002Z;9-671.35;29;0,0767;41;0,0032
P002Z;9-665.4;28;0,0741;43;0,0034
P002Z;9-665.7;28;0,0741;41;0,0032
P002Z;9-670.32;28;0,0741;34;0,0027
P002Z;9-654.0;27;0,0714;55;0,0043
P002Z;9-665.5;27;0,0714;37;0,0029
P002Z;9-654.2;26;0,0688;44;0,0035
P002Z;9-671.44;26;0,0688;38;0,003
P002Z;9-670.34;25;0,0661;34;0,0027
P002Z;9-671.52;25;0,0661;34;0,0027
P002Z;9-664.5;24;0,0635;39;0,0031
P002Z;9-670.33;24;0,0635;32;0,0025
P002Z;9-665.2;22;0,0582;28;0,0022
P002Z;9-654.3;21;0,0556;38;0,003
P002Z;9-665.0;21;0,0556;26;0,002
P002Z;9-665.1;21;0,0556;27;0,0021
P002Z;9-665.3;21;0,0556;32;0,0025
P002Z;9-665.e;21;0,0556;36;0,0028
P002Z;9-671.53;21;0,0556;35;0,0028
P002Z;9-664.6;20;0,0529;25;0,002
P002Z;9-665.a;20;0,0529;35;0,0028
P002Z;9-670.35;20;0,0529;34;0,0027
P002Z;9-671.04;20;0,0529;28;0,0022
P002Z;9-654.4;18;0,0476;36;0,0028
P002Z;9-655.w;17;0,045;57;0,0045
P002Z;9-665.6;17;0,045;19;0,0015
P002Z;9-665.8;16;0,0423;25;0,002
P002Z;9-670.25;16;0,0423;18;0,0014
P002Z;9-665.k;15;0,0397;19;0,0015
P002Z;9-655.4;14;0,037;16;0,0013
P002Z;9-665.c;14;0,037;27;0,0021
P002Z;9-655.9;13;0,0344;20;0,0016
P002Z;9-665.d;13;0,0344;22;0,0017
P002Z;9-665.n;13;0,0344;15;0,0012
P002Z;9-655.5;12;0,0317;17;0,0013
P002Z;9-655.a;12;0,0317;14;0,0011
P002Z;9-671.45;12;0,0317;18;0,0014
P002Z;9-671.54;12;0,0317;16;0,0013
P002Z;9-655.1;11;0,0291;16;0,0013
P002Z;9-655.6;11;0,0291;16;0,0013
P002Z;9-655.7;11;0,0291;15;0,0012
P002Z;9-655.8;11;0,0291;15;0,0012
P002Z;9-665.b;11;0,0291;13;0,001
P002Z;9-665.f;11;0,0291;15;0,0012
P002Z;9-665.j;11;0,0291;14;0,0011
P002Z;9-665.p;11;0,0291;11;0,0009
P002Z;9-665.s;11;0,0291;12;0,0009
P002Z;3-820;10;0,0265;10;0,0008
P002Z;9-655.3;10;0,0265;12;0,0009
P002Z;9-664.7;10;0,0265;10;0,0008
P002Z;9-665.h;10;0,0265;10;0,0008
P002Z;9-665.m;10;0,0265;13;0,001
P002Z;9-665.u;10;0,0265;10;0,0008
P002Z;9-665.r;9;0,0238;11;0,0009
P002Z;9-671.36;9;0,0238;11;0,0009
P002Z;9-671.55;9;0,0238;14;0,0011
P002Z;9-655.0;8;0,0212;9;0,0007
P002Z;9-665.q;8;0,0212;9;0,0007
P002Z;9-670.41;8;0,0212;9;0,0007
P002Z;9-671.05;8;0,0212;10;0,0008
P002Z;9-655.2;7;0,0185;8;0,0006
P002Z;9-655.b;7;0,0185;7;0,0006
P002Z;9-655.c;7;0,0185;12;0,0009
P002Z;9-655.e;7;0,0185;12;0,0009
P002Z;9-655.f;7;0,0185;19;0,0015
P002Z;9-664.9;7;0,0185;8;0,0006
P002Z;9-665.v;7;0,0185;7;0,0006
