ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8
P002Z;21;14,9;52,49;3,87;2,71;2,27;0,68;0,28;0,01;0;0,68;0,05;5,89;25,68
P002Z;22;30,61;100,64;7,82;12,73;4,82;1,49;0,61;0,01;0;0,94;0;14,78;60,65
P002Z;23;10,92;75,73;6,56;1,53;0,08;0,01;0,15;0,01;0;0,23;0,06;0;0
P002Z;24;0;0,05;0;0;1,95;0,01;0;0;0;0,02;0,01;0,12;0,64
P002Z;25;0;1,56;0;0,28;5,1;0,02;0,01;0;0;0,24;0,01;0,55;2,73
P002Z;26;0;0;0;0;0,09;0;0;0;0;0;0;0,01;0,02
P002Z;4;0,02;0;0;0;0;0,06;0;0;0;0,03;0;0,03;0,04
P002Z;5;0,06;0;0;0;0;0,04;0,01;0;0;0,02;0;0,01;0,02
P002Z;7;0,04;0;0;0;0;0,01;0;0;0;0;0;0,01;0,02
P002Z;9;0,18;0;0;0;0;0,18;0;0;0;0,05;0,32;0,11;0,11
P002Z;10;0,07;0;0;0;0;0,49;0;0;0;0,46;0,56;0,07;0,27
P002Z;11;0,33;0,05;0;0;0;0,55;0,01;0;0;0,03;0,19;0,08;0,25
P003A;21;5,26;15,29;1,19;1,06;0,84;0,1;0,54;0,12;0;0,29;0,07;2,88;11,52
P003A;22;26,14;75,28;2,87;5,08;3,75;0,58;2,47;0,41;0;1,52;0,64;13,02;48,74
P003A;23;8,85;60,12;1,44;0,71;0,1;0,02;1,9;0,22;0;1,42;0,25;0;0
P003A;24;0;0;0;0;0,92;0;0;0;0;0,01;0;0,03;0,4
P003A;25;0,02;0,44;0;0,04;2,64;0,09;0,02;0;0;0,08;0;0,22;1,68
P003A;26;0;0;0;0;0;0,01;0;0;0;0;0,1;0;0
P003A;5;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0
P003A;8;0,02;0;0;0;0;0,02;0;0;0;0,01;0,03;0,01;0,01
P003A;9;0,23;0;0;0;0;0,3;0;0;0;0,05;0,36;0,12;0,17
P003A;10;0,04;0;0;0;0;0,38;0,01;0;0;0,42;0,9;0,06;0,18
P003A;11;0,23;0,11;0;0;0;0,47;0;0;0;0,03;0,26;0,06;0,2
P003B;21;9,04;27,76;1,57;1,54;0,95;0,67;0,95;0,89;0;0,67;0,05;4,58;19,07
P003B;22;21,31;62,51;2,1;3,74;2,29;0,98;2,14;0,61;0;1,46;0,15;11,03;42,36
