ka_Pepp;ka_Verguetungsklasse;ka_Relgew
P002Z;1;1,9868
P003A;1;1,4107
P003B;1;1,5832
P003B;2;1,5832
P003B;3;1,5832
P003B;4;1,5832
P003B;5;1,5832
P003B;6;1,5832
P003B;7;1,5832
P003B;8;1,5832
P003B;9;1,5832
P003B;10;1,5656
P003B;11;1,533
P003B;12;1,5004
P003B;13;1,4677
P003B;14;1,4351
P003B;15;1,4024
P003B;16;1,3698
P003B;17;1,3372
P003B;18;1,3045
P003B;19;1,2719
P003C;1;1,346
P003C;2;1,346
P003C;3;1,346
P003C;4;1,346
P003C;5;1,346
P003C;6;1,3364
P003C;7;1,3217
P003C;8;1,3071
P003C;9;1,2924
P003C;10;1,2777
P003C;11;1,2631
P003C;12;1,2484
P003C;13;1,2338
P003C;14;1,2191
P003C;15;1,2045
P003C;16;1,1898
P003C;17;1,1752
P003C;18;1,1605
P003C;19;1,1458
PA01A;1;1,4308
PA01A;2;1,2935
PA01A;3;1,2618
PA01A;4;1,2305
PA01A;5;1,1991
PA01A;6;1,1678
PA01A;7;1,1364
PA01A;8;1,1051
PA01A;9;1,0737
PA01A;10;1,0424
PA01B;1;1,1713
PA01B;2;1,0884
PA01B;3;1,0849
PA01B;4;1,045
PA01B;5;1,005
PA02A;1;1,3625
PA02A;2;1,2934
PA02A;3;1,2485
PA02A;4;1,2338
PA02A;5;1,2232
PA02A;6;1,2126
PA02A;7;1,2019
PA02A;8;1,1913
PA02A;9;1,1807
PA02A;10;1,1701
PA02A;11;1,1594
PA02A;12;1,1488
PA02A;13;1,1382
PA02A;14;1,1276
PA02B;1;1,34
PA02B;2;1,2741
PA02B;3;1,2341
PA02B;4;1,2065
PA02B;5;1,1945
PA02B;6;1,1825
PA02B;7;1,1705
PA02B;8;1,1585
PA02B;9;1,1465
PA02B;10;1,1344
PA02B;11;1,1224
PA02B;12;1,1104
PA02B;13;1,0984
PA02B;14;1,0864
PA02B;15;1,0744
PA02B;16;1,0623
PA02B;17;1,0503
PA02B;18;1,0383
PA02C;1;1,3315
PA02C;2;1,2197
PA02C;3;1,1928
PA02C;4;1,1476
PA02C;5;1,1354
PA02C;6;1,1232
PA02C;7;1,1111
PA02C;8;1,0989
PA02C;9;1,0867
PA02C;10;1,0745
PA02C;11;1,0624
PA02C;12;1,0502
PA02C;13;1,038
PA02C;14;1,0258
PA02C;15;1,0137
PA02C;16;1,0015
PA02C;17;0,9893
PA02C;18;0,9771
PA02C;19;0,965
PA02D;1;1,3085
PA02D;2;1,1931
PA02D;3;1,153
PA02D;4;1,0934
PA02D;5;1,0505
PA02D;6;1,0357
PA02D;7;1,0301
PA02D;8;1,0245
PA02D;9;1,0189
PA02D;10;1,0133
PA02D;11;1,0077
PA02D;12;1,0021
PA02D;13;0,9966
PA02D;14;0,991
PA02D;15;0,9854
PA02D;16;0,9798
PA02D;17;0,9742
PA02D;18;0,9686
PA02D;19;0,963
PA02D;20;0,9574
PA02D;21;0,9518
PA02D;22;0,9462
PA02D;23;0,9406
