IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
24 ;801A;100;0,00;0,02;0,03;0,15;0,35;0,45;0,00;0,53;0,47;0,00;0,00;0,01;0,02;0,00;0,01;0,02;0,01;0,02;0,04;0,06;0,00;0,04;0,09;0,28;0,19;0,21;0,1348;0,7092;0,156;8;45;27,50;5,013;0,00;10,80;15898,81;6632,65
24 ;801B;572;0,1171;0,049;0,0927;0,2885;0,3514;0,0997;0,0017;0,5227;0,4773;0,00;0,00;0,00;0,00;0,0035;0,0017;0,0052;0,00;0,0367;0,0385;0,0664;0,0804;0,0874;0,1049;0,2255;0,1503;0,1993;0,1099;0,7668;0,1233;5;36;18,90;3,094;0,0002;8,00;9762,16;3785,18
24 ;801C;331;0,145;0,0665;0,0574;0,3142;0,281;0,1299;0,006;0,5136;0,4864;0,00;0,00;0,0272;0,0091;0,0181;0,0151;0,0121;0,0091;0,0181;0,0393;0,0423;0,0332;0,0695;0,0846;0,1934;0,1692;0,2598;0,0931;0,79;0,1169;5;35;18,30;2,736;0,0001;7,90;8642,28;3465,55
24 ;801D;2405;0,1655;0,0915;0,1347;0,2944;0,2703;0,0437;0,00;0,5439;0,4561;0,00;0,00;0,00;0,0029;0,0017;0,0008;0,0029;0,0012;0,0137;0,0212;0,0432;0,0528;0,0574;0,079;0,2179;0,1692;0,336;0,1105;0,7885;0,101;5;31;17,00;2,281;0,0007;6,70;7198,67;2810,15
24 ;801E;642;0,2212;0,1231;0,1729;0,3427;0,1277;0,0125;0,00;0,5576;0,4424;0,00;0,00;0,00;0,00;0,0016;0,0016;0,00;0,0016;0,0125;0,0296;0,0358;0,0421;0,0701;0,0981;0,2212;0,19;0,296;0,0591;0,8617;0,0792;4;29;15,80;1,885;0,0002;6,00;5943,60;1978,42
24 ;802A;510;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5686;0,4314;0,00;0,00;0,002;0,002;0,00;0,002;0,002;0,00;0,0333;0,0529;0,0451;0,0627;0,0922;0,0706;0,2157;0,1569;0,2627;0,1514;0,7646;0,084;4;28;14,60;1,822;0,0002;6,10;5734,33;2423,44
24 ;802B;309;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,534;0,466;0,00;0,00;0,00;0,00;0,00;0,0065;0,0097;0,0032;0,0097;0,0388;0,0583;0,0809;0,0777;0,0583;0,2201;0,1715;0,2654;0,1137;0,7984;0,0879;4;27;14,20;1,618;0,0001;6,10;5081,64;1942,41
24 ;802C;441;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5465;0,4512;0,0023;0,00;0,0068;0,0113;0,0045;0,0023;0,0091;0,00;0,0295;0,0567;0,0703;0,0635;0,0839;0,1202;0,2086;0,1451;0,1882;0,2602;0,641;0,0988;3;25;12,00;1,424;0,0001;5,90;4472,83;1857,74
24 ;802D;238;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3992;0,6008;0,00;0,00;0,00;0,0126;0,0126;0,0042;0,0126;0,0042;0,0546;0,063;0,105;0,0882;0,1134;0,084;0,1891;0,1176;0,1387;0,1672;0,7234;0,1094;1;19;7,10;0,808;0,0001;5,40;2531,56;1293,99
24 ;863Z;17;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6471;0,3529;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4242;0,5152;0,0606;1;12;5,10;0,64;0,00;2,80;2007,29;1409,96
-1 ;960Z;27;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3704;0,2222;0,4074;0,1481;0,0741;0,037;0,00;0,00;0,00;0,00;0,2222;0,1111;0,037;0,037;0,037;0,00;0,1111;0,1852;0,00;0,00;1,00;0,00;;;5,90;;0,00;8,00;0,00;0,00
