IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
O01E;1;0,00;0,00;7,67;15,82;0,00;0,00;40,16;0,00;0,25;89,78;601,58;755,26
O01E;4;0,00;0,00;122,07;8,55;0,55;0,06;37,13;21,67;0,00;38,14;70,91;299,08
O01E;5;113,18;0,00;104,11;9,37;0,00;0,00;44,84;0,00;0,00;16,35;66,29;354,14
O01E;6;0,00;0,00;493,22;16,88;0,00;0,00;57,47;0,00;0,00;29,14;136,89;733,60
O01E;9;0,00;0,00;1,61;0,00;0,00;0,00;0,09;0,00;0,00;0,08;0,55;2,33
O01E;10;0,24;0,00;7,43;0,07;0,00;0,00;4,70;0,00;18,48;0,43;2,02;33,37
O01E;11;2,06;0,00;1,76;0,00;0,00;0,00;0,06;0,00;0,00;0,04;0,37;4,29
O01E;12;0,00;0,00;0,35;0,00;0,00;0,00;0,00;0,00;0,24;0,02;0,13;0,74
O01E;13;3,40;0,00;6,84;0,01;0,00;0,00;0,31;0,00;0,00;0,13;1,36;12,05
O01F;1;0,00;0,00;11,11;15,95;0,89;0,00;34,34;0,00;0,02;80,63;510,40;653,34
O01F;2;0,06;0,00;0,00;0,01;0,00;0,00;0,02;0,00;0,00;0,09;0,19;0,37
O01F;4;0,00;0,00;137,35;6,44;0,36;0,21;31,80;28,44;0,00;48,64;70,35;323,59
O01F;5;123,71;0,00;90,39;7,52;0,00;0,00;32,16;0,00;0,00;15,37;54,61;323,76
O01F;6;0,00;0,00;421,61;21,56;0,00;0,00;47,68;0,00;0,00;34,52;165,88;691,25
O01F;9;0,07;0,00;1,74;0,00;0,00;0,00;0,09;0,00;0,04;0,14;0,58;2,66
O01F;10;0,54;0,00;8,18;0,09;0,47;0,00;5,00;0,00;11,33;0,55;2,48;28,64
O01F;11;1,43;0,00;1,22;0,00;0,00;0,00;0,04;0,00;0,00;0,02;0,26;2,97
O01F;12;0,00;0,00;0,70;0,00;0,00;0,00;0,00;0,00;3,78;0,05;0,25;4,78
O01F;13;2,73;0,00;5,46;0,02;0,00;0,00;0,26;0,00;0,00;0,10;1,11;9,68
O01H;1;0,00;0,00;11,66;15,09;1,08;0,00;31,33;0,00;0,02;75,52;448,78;583,48
O01H;4;0,00;0,00;169,22;5,37;0,61;0,11;35,77;37,42;0,00;53,15;69,49;371,14
O01H;5;138,74;0,00;96,17;6,61;0,00;0,00;26,99;0,00;0,00;16,33;56,68;341,52
O01H;6;0,39;0,00;246,32;16,91;0,00;0,00;29,95;0,00;0,00;25,26;121,97;440,80
O01H;9;0,01;0,00;2,48;0,00;0,00;0,00;0,15;0,00;0,00;0,12;0,84;3,60
O01H;10;0,32;0,00;5,84;0,07;0,00;0,00;3,66;0,00;5,06;0,34;1,56;16,85
O01H;11;2,40;0,00;1,94;0,00;0,00;0,00;0,06;0,00;0,00;0,05;0,46;4,91
O01H;12;0,00;0,00;1,31;0,00;0,00;0,00;0,00;0,00;5,81;0,09;0,49;7,70
O01H;13;1,31;0,00;2,20;0,08;0,00;0,00;0,19;0,00;0,00;0,07;0,73;4,58
O60C;1;0,00;0,00;10,51;8,50;0,00;0,00;23,97;0,00;0,01;61,34;372,30;476,63
O60C;6;0,00;0,00;458,84;19,83;0,00;0,00;55,70;0,00;0,00;41,98;163,39;739,74
O60C;9;0,00;0,00;2,72;0,00;0,00;0,00;0,16;0,00;0,00;0,13;0,92;3,93
O60C;10;0,29;0,00;9,50;0,09;0,00;0,00;6,04;0,00;7,79;0,53;2,48;26,72
O60C;11;4,35;0,00;3,32;0,01;0,00;0,00;0,11;0,00;0,00;0,13;0,75;8,67
O60C;12;0,00;0,00;0,58;0,01;0,00;0,00;0,05;0,00;0,00;0,01;0,07;0,72
O60C;13;5,57;0,00;11,20;0,02;0,00;0,00;0,51;0,00;0,00;0,21;2,22;19,73
O60D;1;0,00;0,00;10,77;8,66;0,56;0,00;20,36;0,00;0,01;54,03;328,56;422,95
O60D;4;0,00;0,00;0,10;0,00;0,00;0,00;0,02;0,00;0,00;0,02;0,04;0,18
O60D;5;0,07;0,00;0,08;0,01;0,00;0,00;0,01;0,00;0,00;0,01;0,03;0,21
O60D;6;0,00;0,00;397,08;19,52;0,00;0,00;44,91;0,00;0,00;36,10;153,91;651,52
O60D;9;0,01;0,00;1,64;0,00;0,00;0,00;0,09;0,00;0,00;0,08;0,55;2,37
O60D;10;0,36;0,00;7,70;0,09;0,00;0,00;4,83;0,00;6,46;0,46;2,14;22,04
O60D;11;2,48;0,00;2,12;0,00;0,00;0,00;0,07;0,00;0,00;0,04;0,45;5,16
O60D;12;0,00;0,00;0,15;0,00;0,00;0,00;0,00;0,00;0,94;0,00;0,07;1,16
O60D;13;5,51;0,00;10,98;0,02;0,00;0,00;0,51;0,00;0,00;0,21;2,18;19,41
O65B;1;0,00;0,00;8,89;17,89;0,00;0,00;19,42;0,00;0,00;68,85;424,87;539,92
O65B;6;0,00;0,00;14,56;0,36;0,00;0,00;0,90;0,00;0,00;1,65;7,04;24,51
O65B;10;0,15;0,00;3,16;0,03;0,00;0,00;1,97;0,00;19,04;0,21;0,96;25,52
O65B;11;0,32;0,00;0,13;0,02;0,00;0,00;0,03;0,00;0,00;0,05;0,10;0,65
O65B;12;0,00;0,00;0,57;0,00;0,00;0,00;0,01;0,00;0,58;0,01;0,20;1,37
O65B;13;2,23;0,00;3,21;0,17;0,00;0,00;0,21;0,00;0,00;0,15;1,07;7,04
P67C;1;2,37;0,00;0,00;36,81;0,00;0,00;27,22;0,00;3,32;93,20;503,55;666,47
P67C;10;0,33;0,00;5,59;0,04;0,00;0,00;2,60;0,00;2,75;0,24;1,26;12,81
P67C;11;0,57;0,00;0,63;0,00;0,00;0,00;0,03;0,00;0,00;0,03;0,17;1,43
P67E;1;0,00;0,00;0,06;4,40;0,00;0,00;14,59;0,00;1,18;55,60;318,12;393,95
P67E;10;0,13;0,00;1,47;0,02;0,00;0,00;0,82;0,00;1,22;0,10;0,44;4,20
P67E;11;0,04;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,07
P67E;13;0,02;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,07
