IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
C03B;I10.90;260;0,3916;260;0,1499
C03B;H25.8;112;0,1687;112;0,0646
C03B;H54.4;94;0,1416;94;0,0542
C03B;H35.3;93;0,1401;96;0,0554
C03B;E11.90;54;0,0813;54;0,0311
C03B;Z96.1;44;0,0663;44;0,0254
C03B;E11.30;42;0,0633;43;0,0248
C03B;E03.8;41;0,0617;41;0,0236
C03B;H25.1;26;0,0392;26;0,015
C03B;H36.0;26;0,0392;26;0,015
C03B;Z98.8;25;0,0377;25;0,0144
C03B;I10.00;24;0,0361;24;0,0138
C03B;E78.2;23;0,0346;23;0,0133
C03B;Z92.1;23;0,0346;23;0,0133
C03B;H11.9;22;0,0331;22;0,0127
C03B;H54.0;21;0,0316;22;0,0127
C03B;H40.0;21;0,0316;21;0,0121
C03B;I25.10;17;0,0256;17;0,0098
C03B;Z74.0;17;0,0256;17;0,0098
C03B;H54.2;15;0,0226;15;0,0087
C03B;Z86.7;15;0,0226;15;0,0087
C03B;Z92.2;14;0,0211;14;0,0081
C03B;E03.9;13;0,0196;13;0,0075
C03B;H44.4;13;0,0196;13;0,0075
C03B;J45.9;13;0,0196;13;0,0075
C03B;H26.8;12;0,0181;12;0,0069
C03B;E78.0;11;0,0166;11;0,0063
C03B;F32.9;11;0,0166;11;0,0063
C03B;H11.3;11;0,0166;11;0,0063
C03B;H35.8;11;0,0166;11;0,0063
C03B;H43.1;11;0,0166;11;0,0063
C03B;G47.31;10;0,0151;10;0,0058
C03B;H28.0;10;0,0151;10;0,0058
C03B;H50.1;10;0,0151;10;0,0058
C03B;I48.0;10;0,0151;10;0,0058
C03B;Z74.1;10;0,0151;10;0,0058
C03B;H40.1;9;0,0136;9;0,0052
C03B;E10.30;8;0,012;8;0,0046
C03B;H33.3;8;0,012;8;0,0046
C03B;H54.1;8;0,012;8;0,0046
C03B;R11;8;0,012;8;0,0046
C03B;Z60;8;0,012;8;0,0046
C03B;I48.9;7;0,0105;7;0,004
C03B;N40;7;0,0105;7;0,004
C03B;Z95.0;7;0,0105;7;0,004
C03B;E66.90;6;0,009;6;0,0035
C03B;H33.0;6;0,009;6;0,0035
C03B;H52.1;6;0,009;6;0,0035
C03B;I25.9;6;0,009;6;0,0035
