IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
C03B;H35.3;152;0,2289
C03B;H33.0;144;0,2169
C03B;H33.5;134;0,2018
C03B;H25.8;67;0,1009
C03B;H35.8;36;0,0542
C03B;H43.1;22;0,0331
C03B;H35.6;12;0,0181
C03B;H25.1;11;0,0166
C03B;H33.4;11;0,0166
C03B;H43.3;9;0,0136
C03B;H27.1;7;0,0105
C03B;H26.0;6;0,009
C03B;H26.8;6;0,009
C03B;H33.2;6;0,009
C03B;H35.2;6;0,009
C03B;H31.3;4;0,006
C03C;H35.3;350;0,56
C03C;H35.8;65;0,104
C03C;H43.1;55;0,088
C03C;H43.3;29;0,0464
C03C;H33.5;20;0,032
C03C;H33.0;15;0,024
C03C;T85.2;15;0,024
C03C;H27.1;10;0,016
C03C;H33.2;9;0,0144
C03C;H43.8;8;0,0128
C03C;H27.0;6;0,0096
C03C;H35.6;6;0,0096
C03C;H33.4;5;0,008
C03C;H35.2;4;0,0064
C04B;H18.5;108;0,7883
C04B;T86.83;13;0,0949
C06Z;H40.1;388;0,8879
C06Z;H40.8;11;0,0252
C06Z;H25.8;10;0,0229
C06Z;H40.4;10;0,0229
C06Z;H40.2;6;0,0137
C07B;H40.1;66;0,7333
C07B;H40.5;10;0,1111
C07B;H40.8;5;0,0556
C08B;H25.8;400;0,4762
C08B;H26.8;211;0,2512
C08B;H25.1;158;0,1881
C08B;H25.2;10;0,0119
C08B;H26.0;8;0,0095
C08B;H26.2;8;0,0095
C08B;H40.1;7;0,0083
C08B;H26.9;6;0,0071
C08B;H26.1;4;0,0048
C08B;H35.3;4;0,0048
C20B;H11.0;37;0,3592
C20B;H27.1;15;0,1456
C20B;H16.0;8;0,0777
C20B;C44.1;7;0,068
C20B;H27.0;6;0,0583
C20B;T85.2;6;0,0583
D05B;D11.0;66;0,8049
D05B;C07;4;0,0488
D06B;H70.1;42;0,2609
D06B;H71;34;0,2112
D06B;J32.4;14;0,087
D06B;H66.1;12;0,0745
D06B;K10.28;6;0,0373
D06B;H66.2;5;0,0311
D06B;K12.22;5;0,0311
D06B;H65.4;4;0,0248
D06B;H74.2;4;0,0248
