IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
801A;1;1161,07;0,00;110,87;212,92;100,22;0,00;194,31;149,65;18,28;582,60;1548,34;4078,26
801A;2;1613,27;0,00;64,29;319,08;120,50;0,00;590,96;16,11;4,16;591,65;1390,05;4710,07
801A;4;423,53;0,00;325,23;26,36;58,72;222,44;216,29;175,31;0,00;202,74;294,84;1945,46
801A;5;334,35;0,00;204,93;19,51;0,35;0,00;62,93;4,18;0,00;40,34;99,84;766,43
801A;7;49,18;0,00;66,74;3,86;0,17;66,56;43,98;140,61;16,00;26,36;49,52;462,98
801A;8;69,78;0,00;92,00;2,26;0,35;3,06;25,61;50,47;0,00;37,00;59,81;340,34
801A;9;205,73;0,00;184,23;5,90;0,98;63,09;39,80;99,71;73,10;82,28;136,70;891,52
801A;10;95,87;0,00;306,34;4,14;727,10;0,00;254,12;0,36;220,34;52,61;148,87;1809,75
801A;11;126,62;1,35;92,22;2,88;0,00;0,00;10,47;4,54;3,91;19,46;48,72;310,17
801A;12;32,22;10,86;231,64;1,11;0,00;0,00;2,43;0,00;32,47;10,52;62,84;384,09
801A;13;67,78;14,27;48,95;3,26;0,06;0,00;8,33;0,00;0,00;15,28;41,82;199,75
801B;1;957,03;0,00;78,18;139,71;50,88;0,00;144,38;7,55;17,06;491,55;1298,76;3185,10
801B;2;454,47;0,00;11,26;82,50;20,12;0,00;134,86;2,79;4,20;155,64;396,01;1261,85
801B;4;558,01;0,00;406,33;19,71;12,68;151,93;216,12;361,33;6,21;225,98;303,96;2262,26
801B;5;376,88;0,00;246,59;20,80;1,45;0,00;78,68;2,91;0,04;53,81;109,95;891,11
801B;6;0,11;0,00;0,51;0,05;0,00;0,00;0,05;0,00;0,00;0,02;0,20;0,94
801B;7;17,60;0,00;15,28;0,59;0,69;19,69;9,33;11,34;15,60;6,88;11,41;108,41
801B;8;50,84;0,00;61,17;1,76;0,10;7,73;27,29;22,39;0,85;27,65;37,09;236,87
801B;9;136,98;0,00;133,31;2,90;0,42;35,85;26,12;47,02;55,86;55,24;87,35;581,05
801B;10;52,76;0,00;154,76;2,81;79,19;0,00;117,24;1,85;143,92;24,82;74,17;651,52
801B;11;68,20;0,46;45,17;1,15;0,07;0,06;6,81;0,22;4,75;10,16;26,47;163,52
801B;12;21,07;3,68;165,43;0,79;0,00;0,00;3,69;0,00;20,63;7,82;50,33;273,44
801B;13;49,93;5,58;40,90;1,58;1,09;0,00;5,83;0,16;0,03;9,95;31,00;146,05
801C;1;953,47;0,00;82,92;119,28;46,78;0,00;133,27;6,49;14,92;467,89;1241,82;3066,84
801C;2;366,41;0,00;12,54;54,46;21,17;0,09;97,03;2,08;1,97;126,95;317,98;1000,68
801C;4;384,14;0,00;291,82;13,64;6,16;458,41;152,02;196,61;2,99;176,37;204,04;1886,20
