IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
02 ;C03B;664;0,8735;0,0889;0,0226;0,0136;0,0015;0,00;0,00;0,5693;0,4307;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0105;0,0105;0,0467;0,0527;0,0873;0,1551;0,3178;0,1792;0,1401;0,3371;0,6252;0,0377;1;5;2,40;0,493;0,0201;0,70;1577,82;517,19
02 ;C03C;625;0,8768;0,0928;0,0192;0,0112;0,00;0,00;0,00;0,4992;0,5008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0064;0,0128;0,0416;0,0432;0,0544;0,1184;0,3664;0,2128;0,144;0,127;0,8356;0,0374;1;5;2,60;0,381;0,019;0,80;1216,66;306,15
02 ;C04B;137;0,7664;0,1752;0,0292;0,0292;0,00;0,00;0,00;0,3504;0,6496;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0073;0,0219;0,0146;0,0146;0,073;0,073;0,2044;0,2701;0,3212;0,0068;0,932;0,0612;1;7;5,00;1,038;0,0042;0,70;3411,26;592,59
02 ;C06Z;437;0,9359;0,0343;0,0229;0,0046;0,0023;0,00;0,00;0,4966;0,5034;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,016;0,0275;0,0526;0,0549;0,0938;0,1144;0,2929;0,1831;0,1648;0,0511;0,8937;0,0552;1;9;4,30;0,408;0,0133;1,70;1301,09;451,51
02 ;C07B;90;0,9444;0,0333;0,00;0,0222;0,00;0,00;0,00;0,4889;0,5111;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0222;0,0333;0,0889;0,0667;0,0667;0,2333;0,1778;0,3111;0,2576;0,6818;0,0606;1;5;2,70;0,222;0,0027;0,80;698,75;258,32
02 ;C08B;840;0,7821;0,1345;0,0571;0,0262;0,00;0,00;0,00;0,3821;0,6179;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0036;0,0012;0,006;0,0167;0,0214;0,05;0,2286;0,25;0,4226;0,5532;0,4314;0,0154;1;4;2,30;0,276;0,0255;0,40;883,69;227,06
02 ;C20B;103;0,9029;0,0583;0,0194;0,0194;0,00;0,00;0,00;0,534;0,466;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0388;0,0485;0,0485;0,0971;0,0874;0,0485;0,2524;0,1359;0,2427;0,2614;0,6732;0,0654;1;6;2,70;0,309;0,0031;1,00;980,82;529,05
03 ;D05B;82;0,9634;0,0366;0,00;0,00;0,00;0,00;0,00;0,4878;0,5122;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0732;0,061;0,1463;0,1341;0,1829;0,1341;0,1829;0,0488;0,0366;0,1064;0,8723;0,0213;1;6;3,10;0,582;0,0025;0,90;1824,92;482,62
03 ;D06B;161;0,9503;0,0248;0,0186;0,0062;0,00;0,00;0,00;0,528;0,472;0,00;0,00;0,00;0,00;0,00;0,0497;0,2236;0,0124;0,1056;0,118;0,1056;0,0745;0,0559;0,087;0,1056;0,0435;0,0186;0,1706;0,763;0,0664;1;6;3,00;0,483;0,0049;1,10;1518,36;407,04
03 ;D06C;2941;0,9667;0,0201;0,0088;0,0044;0,00;0,00;0,00;0,5933;0,4063;0,0003;0,00;0,00;0,00;0,00;0,00;0,00;0,0116;0,2118;0,2295;0,1897;0,1142;0,0874;0,0588;0,0683;0,0184;0,0102;0,1511;0,8403;0,0086;1;6;2,90;0,425;0,0892;0,80;1333,91;382,30
03 ;D12B;351;0,9174;0,0541;0,0171;0,0085;0,0028;0,00;0,00;0,6011;0,3989;0,00;0,00;0,00;0,00;0,00;0,00;0,0114;0,0256;0,2051;0,2536;0,1311;0,0798;0,0741;0,0541;0,0912;0,0256;0,0484;0,2901;0,6789;0,0309;1;6;3,10;0,389;0,0107;1,10;1220,78;345,42
03 ;D13B;87;0,7586;0,092;0,1149;0,023;0,0115;0,00;0,00;0,4598;0,5402;0,00;0,00;0,00;0,023;0,0805;0,046;0,023;0,00;0,046;0,023;0,092;0,046;0,0575;0,0345;0,1034;0,1149;0,3103;0,8179;0,1495;0,0326;1;4;2,50;0,326;0,0026;0,50;1022,01;320,85
03 ;D22B;82;0,7805;0,122;0,061;0,0366;0,00;0,00;0,00;0,4756;0,5244;0,00;0,00;0,00;0,00;0,0122;0,00;0,0122;0,0122;0,0488;0,0488;0,1098;0,0366;0,0366;0,0488;0,1463;0,0976;0,3902;0,315;0,6457;0,0394;1;5;2,70;0,365;0,0025;0,70;1146,95;298,00
03 ;D25D;102;0,7157;0,1275;0,1176;0,0392;0,00;0,00;0,00;0,5686;0,4314;0,00;0,00;0,00;0,00;0,00;0,00;0,0098;0,0098;0,0294;0,049;0,1176;0,1078;0,1569;0,098;0,2255;0,098;0,098;0,2336;0,7445;0,0219;1;9;4,20;0,492;0,0031;1,90;1545,24;413,93
03 ;D28Z;350;0,9543;0,0314;0,0086;0,0057;0,00;0,00;0,00;0,40;0,60;0,00;0,00;0,00;0,00;0,00;0,00;0,0057;0,0514;0,4829;0,2114;0,1114;0,0486;0,0314;0,0229;0,0171;0,0057;0,0114;0,0887;0,8621;0,0493;1;6;3,10;0,548;0,0106;1,00;1724,04;687,63
03 ;D30A;221;0,9186;0,0226;0,0452;0,009;0,0045;0,00;0,00;0,457;0,543;0,00;0,00;0,00;0,00;0,0271;0,0226;0,0543;0,0181;0,1991;0,1403;0,19;0,0633;0,1041;0,0317;0,1041;0,0317;0,0136;0,2736;0,695;0,0314;1;5;2,70;0,454;0,0067;0,80;1427,53;336,07
03 ;D30B;2745;0,9847;0,012;0,0018;0,0015;0,00;0,00;0,00;0,3851;0,6149;0,00;0,00;0,00;0,0197;0,165;0,0823;0,0805;0,0652;0,3902;0,1257;0,0441;0,0077;0,0066;0,0055;0,0055;0,0015;0,0007;0,0889;0,8968;0,0144;1;8;4,10;0,359;0,0833;1,40;1124,58;277,80
03 ;D30C;76;0,7632;0,1316;0,0658;0,0395;0,00;0,00;0,00;0,4737;0,5263;0,00;0,00;0,00;0,00;0,00;0,00;0,0132;0,0132;0,0526;0,0921;0,1184;0,1447;0,1711;0,1447;0,1579;0,0395;0,0526;0,7386;0,2484;0,0131;1;4;2,10;0,28;0,0023;0,30;876,26;176,76
03 ;D37B;288;0,9826;0,00;0,0139;0,0035;0,00;0,00;0,00;0,4931;0,5069;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0486;0,3958;0,2604;0,1632;0,059;0,0347;0,0208;0,0139;0,00;0,0035;0,1287;0,8623;0,009;1;5;2,70;0,474;0,0087;0,50;1492,55;404,46
03 ;D38Z;2615;0,9828;0,0103;0,0054;0,0015;0,00;0,00;0,00;0,6134;0,3866;0,00;0,00;0,00;0,00;0,0011;0,0015;0,0076;0,0321;0,4233;0,252;0,1323;0,0635;0,0405;0,0233;0,0184;0,0031;0,0011;0,1985;0,7602;0,0413;1;5;2,90;0,392;0,0794;0,80;1228,96;280,99
03 ;D40Z;81;0,5185;0,2963;0,1111;0,0741;0,00;0,00;0,00;0,3827;0,6173;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0123;0,0864;0,0123;0,0123;0,0247;0,0741;0,0494;0,1111;0,1975;0,4198;0,6136;0,3682;0,0182;1;5;2,40;0,36;0,0025;0,60;1131,76;275,27
03 ;D61Z;71;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3521;0,6479;0,00;0,00;0,00;0,00;0,00;0,00;0,0141;0,0141;0,0423;0,0845;0,1549;0,1127;0,0704;0,0986;0,2958;0,0704;0,0423;0,0723;0,8554;0,0723;1;7;3,70;0,21;0,0022;1,20;655,27;197,67
03 ;D63Z;138;0,913;0,058;0,0217;0,0072;0,00;0,00;0,00;0,5217;0,4783;0,00;0,00;0,00;0,0507;0,0507;0,0362;0,0507;0,0217;0,2681;0,1522;0,087;0,0507;0,0362;0,0435;0,087;0,0435;0,0217;0,2097;0,7419;0,0484;1;6;3,20;0,185;0,0042;1,00;577,95;167,80
06 ;G11B;102;0,9706;0,0294;0,00;0,00;0,00;0,00;0,00;0,6765;0,3235;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,098;0,2451;0,2941;0,1569;0,0588;0,0686;0,0686;0,0098;0,00;0,0096;0,9808;0,0096;1;10;4,60;0,404;0,0031;2,30;1263,42;540,24
06 ;G24C;346;0,8786;0,0723;0,0347;0,0145;0,00;0,00;0,00;0,8266;0,1734;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0405;0,0723;0,0925;0,1156;0,1012;0,0867;0,2139;0,1329;0,1445;0,1875;0,7457;0,0668;1;5;2,60;0,438;0,0105;0,80;1375,16;255,90
