IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
24 ;801A;81;0,0247;0,00;0,00;0,0247;0,2469;0,5802;0,1235;0,5926;0,4074;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0123;0,0617;0,037;0,037;0,0494;0,0494;0,0741;0,3086;0,2099;0,1605;0,1132;0,7642;0,1226;8;44;25,70;6,194;0,00;9,40;18494,45;7113,71
24 ;801B;635;0,0992;0,0441;0,0756;0,1969;0,3323;0,2315;0,0205;0,5071;0,4929;0,00;0,00;0,0016;0,0031;0,00;0,0047;0,0047;0,0063;0,0252;0,0189;0,0488;0,0756;0,0614;0,0898;0,222;0,1827;0,2551;0,1341;0,7471;0,1188;6;38;19,50;3,911;0,0002;8,70;11669,10;4812,77
24 ;801C;274;0,0985;0,0255;0,0584;0,2117;0,3613;0,208;0,0365;0,5401;0,4599;0,00;0,00;0,0365;0,00;0,0036;0,00;0,0036;0,00;0,0146;0,0219;0,0511;0,0474;0,0547;0,0584;0,2226;0,1387;0,3467;0,1121;0,8083;0,0796;5;35;18,00;3,332;0,0001;8,00;9939,52;4058,95
24 ;801D;2677;0,1487;0,0725;0,1143;0,2387;0,2809;0,1397;0,0052;0,5674;0,4326;0,00;0,00;0,00;0,0022;0,0019;0,0007;0,0037;0,0011;0,0209;0,031;0,0504;0,0437;0,068;0,0799;0,2058;0,1823;0,3082;0,1144;0,7953;0,0903;4;30;15,00;2,612;0,0009;6,80;7791,78;3475,81
24 ;801E;948;0,2352;0,1002;0,1108;0,3386;0,1603;0,0506;0,0042;0,5643;0,4357;0,00;0,00;0,00;0,0011;0,0021;0,0032;0,0021;0,00;0,0243;0,0285;0,0432;0,0559;0,0928;0,0928;0,2278;0,1962;0,23;0,1271;0,8034;0,0695;3;24;11,70;1,872;0,0003;5,50;5584,24;2318,98
24 ;802A;644;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5559;0,4441;0,00;0,00;0,0031;0,0016;0,0047;0,0062;0,0093;0,0062;0,0419;0,0497;0,0792;0,0668;0,0745;0,1087;0,2065;0,1351;0,2065;0,1853;0,7277;0,087;3;26;12,00;1,935;0,0002;6,40;5764,10;2535,83
24 ;802B;462;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4502;0,5498;0,00;0,00;0,0022;0,0043;0,0022;0,00;0,0043;0,0022;0,0238;0,0325;0,0563;0,0649;0,0952;0,0714;0,2186;0,1558;0,2662;0,2391;0,6947;0,0662;3;23;10,50;1,679;0,0002;6,00;4987,11;2232,90
24 ;802C;664;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5256;0,4744;0,00;0,00;0,0045;0,0105;0,0136;0,012;0,0181;0,0105;0,0602;0,0693;0,0858;0,0678;0,0843;0,0873;0,1913;0,125;0,1596;0,2503;0,6727;0,077;2;20;8,50;1,314;0,0002;5,00;3902,73;1891,52
24 ;802D;283;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4841;0,5159;0,00;0,00;0,0141;0,0141;0,0035;0,0071;0,0177;0,0035;0,1166;0,1095;0,0989;0,0848;0,1131;0,0742;0,1343;0,0883;0,1201;0,1816;0,7238;0,0946;1;14;5,40;0,90;0,0001;4,00;2672,18;1209,94
24 ;863Z;13;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5385;0,4615;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2632;0,6842;0,0526;1;10;4,50;1,22;0,00;2,20;3619,55;3381,72
-1 ;960Z;38;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2632;0,6053;0,1316;0,3158;0,1316;0,0263;0,0526;0,00;0,00;0,0526;0,0789;0,00;0,00;0,0263;0,00;0,0263;0,0789;0,0526;0,1579;0,00;1,00;0,00;0;0;4,00;0;0,00;4,40;0,00;0,00
-1 ;961Z;80;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4625;0,5375;0,00;0,15;0,0125;0,00;0,00;0,00;0,00;0,00;0,00;0,0375;0,0625;0,025;0,0625;0,125;0,175;0,1875;0,1625;0,00;1,00;0,00;0;0;7,60;0;0,00;8,00;0,00;0,00
-1 ;962Z;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;0;0,00;0,00;0,00;0,00
00 ;A01A;18;0,00;0,00;0,00;0,00;0,00;0,1667;0,8333;0,6667;0,3333;0,00;0,00;0,1111;0,0556;0,00;0,00;0,00;0,00;0,1111;0,0556;0,0556;0,2222;0,1667;0,1111;0,1111;0,00;0,00;0,00;0,6207;0,3793;15;65;47,20;27,807;0,00;17,60;83251,24;22050,83
00 ;A01B;81;0,00;0,00;0,00;0,0247;0,0741;0,5556;0,3457;0,5309;0,4691;0,00;0,00;0,1111;0,0247;0,0123;0,00;0,0247;0,0247;0,0864;0,037;0,0988;0,1358;0,1358;0,1481;0,1605;0,00;0,00;0,0175;0,7105;0,2719;10;51;33,20;15,097;0,00;11,40;45130,75;12679,03
00 ;A01C;105;0,0095;0,00;0,019;0,0762;0,3143;0,4762;0,1048;0,6095;0,3905;0,00;0,00;0,00;0,00;0,00;0,019;0,019;0,00;0,019;0,0667;0,219;0,181;0,2095;0,1905;0,0762;0,00;0,00;0,0079;0,8268;0,1654;7;43;24,70;11,087;0,00;9,70;33194,03;9368,22
00 ;A02Z;26;0,1154;0,1154;0,0769;0,2308;0,3462;0,1154;0,00;0,5385;0,4615;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0769;0,2692;0,4231;0,1154;0,0769;0,0385;0,00;0,00;0,00;0,00;0,7879;0,2121;7;42;24,30;10,229;0,00;9,00;30556,64;9878,63
00 ;A03A;16;0,00;0,00;0,00;0,0625;0,125;0,5625;0,25;0,625;0,375;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,125;0,125;0,125;0,0625;0,25;0,1875;0,00;0,00;0,00;0,00;0,6957;0,3043;14;64;45,90;28,129;0,00;13,20;84173,93;16964,72
00 ;A03B;99;0,0303;0,0404;0,00;0,1717;0,3131;0,4141;0,0303;0,6566;0,3434;0,00;0,00;0,00;0,00;0,00;0,00;0,0606;0,0101;0,1212;0,0808;0,1414;0,1313;0,202;0,2222;0,0303;0,00;0,00;0,0177;0,8761;0,1062;7;36;24,80;14,814;0,00;5,30;44191,89;10302,39
00 ;A04B;21;0,00;0,00;0,00;0,00;0,0952;0,7619;0,1429;0,5714;0,4286;0,00;0,00;0,00;0,0952;0,1905;0,2857;0,1429;0,0952;0,1429;0,00;0,0476;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6774;0,3226;14;64;46,20;28,185;0,00;13,60;85336,20;19990,36
00 ;A04C;75;0,00;0,00;0,00;0,00;0,1333;0,4533;0,4133;0,64;0,36;0,00;0,00;0,04;0,12;0,16;0,2133;0,36;0,0133;0,00;0,00;0,00;0,04;0,0133;0,0267;0,0133;0,00;0,00;0,00;0,6637;0,3363;18;76;58,50;28,377;0,00;15,00;85023,20;25670,18
00 ;A04D;220;0,0045;0,00;0,00;0,0091;0,0909;0,55;0,3455;0,6136;0,3864;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0091;0,1091;0,0955;0,1636;0,1227;0,1318;0,1318;0,2364;0,00;0,00;0,0034;0,7509;0,2457;13;59;41,30;16,751;0,0001;11,20;50424,60;14380,07
00 ;A04E;432;0,0023;0,00;0,00;0,0139;0,1736;0,5671;0,2431;0,5856;0,4144;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0093;0,0741;0,0602;0,1458;0,1644;0,1667;0,1574;0,213;0,0093;0,00;0,00;0,8308;0,1692;12;56;37,60;15,282;0,0002;9,10;46062,14;13081,31
00 ;A05A;9;0,00;0,00;0,00;0,00;0,00;0,7778;0,2222;0,7778;0,2222;0,00;0,00;0,00;0,00;0,00;0,00;0,1111;0,00;0,1111;0,1111;0,5556;0,00;0,00;0,1111;0,00;0,00;0,00;0,00;0,50;0,50;24;94;75,60;35,798;0,00;15,50;107018,33;21719,25
00 ;A05B;29;0,00;0,00;0,00;0,0345;0,2414;0,6552;0,069;0,7241;0,2759;0,00;0,00;0,00;0,00;0,00;0,0345;0,1724;0,069;0,069;0,1724;0,069;0,1724;0,1724;0,069;0,00;0,00;0,00;0,0444;0,6444;0,3111;14;64;46,20;22,932;0,00;17,30;68587,15;16254,77
00 ;A06A;55;0,00;0,00;0,00;0,0182;0,0909;0,3091;0,5818;0,6545;0,3455;0,00;0,00;0,1455;0,0182;0,0182;0,00;0,00;0,00;0,0182;0,0182;0,0545;0,0909;0,0364;0,1455;0,2545;0,1636;0,0364;0,00;0,5046;0,4954;0;152;134,10;71,528;0,00;27,40;213868,12;57773,03
