IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
C03B;1;0,00;289,23;0,23;22,22;0,60;0,00;17,31;0,00;0,00;89,09;283,53;702,21
C03B;4;0,00;0,00;134,39;5,68;31,15;41,46;201,82;132,50;16,35;108,25;106,56;778,16
C03B;5;152,10;0,00;111,61;7,01;0,00;0,00;28,93;0,00;0,00;16,36;31,23;347,24
C03B;8;0,04;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,01;0,07
C03B;9;0,27;0,00;0,28;0,00;0,00;0,00;0,01;0,36;0,27;0,07;0,17;1,43
C03B;10;0,18;0,00;2,06;0,08;0,00;0,00;1,98;0,00;0,04;0,22;1,09;5,65
C03B;11;1,41;0,00;1,21;0,01;0,00;0,00;0,46;0,11;0,00;0,16;0,81;4,17
C03B;13;10,39;0,04;7,80;0,01;0,00;0,00;0,41;0,00;0,00;0,31;2,01;20,97
C03C;1;0,00;286,99;0,79;18,58;0,25;0,00;13,96;0,00;0,00;79,16;280,45;680,18
C03C;4;0,00;0,00;75,70;7,04;8,19;6,31;90,12;105,58;114,84;44,94;62,87;515,59
C03C;5;100,06;0,00;81,38;4,04;0,00;0,00;16,05;0,00;0,00;14,90;24,75;241,18
C03C;9;0,45;0,00;0,48;0,00;0,01;0,00;0,01;0,68;0,00;0,11;0,29;2,03
C03C;10;0,15;0,00;1,59;0,05;0,00;0,00;1,47;0,00;0,10;0,18;0,82;4,36
C03C;11;2,82;0,00;1,85;0,04;0,00;0,00;0,38;0,00;0,00;0,50;1,32;6,91
C03C;13;3,98;0,01;3,15;0,01;0,00;0,00;0,18;0,00;0,00;0,12;0,79;8,24
C04B;1;0,00;430,52;0,94;29,82;0,00;0,00;18,69;0,00;0,00;124,75;417,91;1022,63
C04B;2;1,18;0,00;2,83;0,32;0,00;0,00;0,28;0,00;0,00;0,92;2,37;7,90
C04B;4;0,00;0,00;129,46;8,09;14,16;2021,64;120,87;67,65;0,00;82,90;98,45;2543,22
C04B;5;92,44;0,00;75,86;4,55;0,00;0,00;16,61;0,00;0,00;13,19;22,57;225,22
C04B;10;1,31;0,00;9,83;0,17;0,00;0,00;6,96;0,00;0,00;1,02;4,50;23,79
C04B;11;1,66;0,00;1,77;0,02;0,00;0,00;1,20;0,00;0,00;0,35;1,13;6,13
C04B;12;0,00;0,00;1,21;0,00;0,00;0,00;0,04;0,00;0,00;0,04;0,33;1,62
C04B;13;3,99;0,01;2,99;0,00;0,00;0,00;0,14;0,00;0,00;0,09;0,68;7,90
C06Z;1;0,00;393,48;0,28;26,83;0,20;0,00;16,66;0,00;0,00;113,72;394,57;945,74
C06Z;4;0,00;0,00;109,56;10,58;9,54;60,48;81,63;45,56;9,77;58,56;81,47;467,15
C06Z;5;73,61;0,00;74,55;2,20;0,34;0,00;10,35;0,00;0,55;14,97;21,80;198,37
C06Z;8;0,22;0,00;0,13;0,01;0,00;0,00;0,09;0,00;0,00;0,10;0,12;0,67
C06Z;9;0,14;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,07;0,40
C06Z;10;0,22;0,00;2,25;0,08;0,00;0,00;2,12;0,00;0,00;0,31;1,42;6,40
C06Z;11;1,72;0,00;1,90;0,00;0,00;0,00;0,76;0,00;0,00;0,23;1,25;5,86
C06Z;13;0,76;0,00;0,57;0,00;0,00;0,00;0,04;0,00;0,00;0,03;0,19;1,59
C07B;1;0,00;248,69;0,25;19,16;0,14;0,00;15,71;0,00;0,00;77,25;274,69;635,89
C07B;4;0,00;0,00;35,37;3,49;1,93;0,00;46,75;22,31;3,79;21,52;33,79;168,95
C07B;5;47,42;0,00;40,08;1,83;0,00;0,00;8,56;0,00;0,00;6,91;11,41;116,21
C07B;10;0,22;0,00;1,27;0,03;0,00;0,00;1,06;0,00;0,00;0,16;0,69;3,43
C07B;11;1,42;0,00;1,63;0,02;0,00;0,00;0,64;0,00;0,00;0,23;0,85;4,79
C07B;13;7,51;0,03;5,66;0,03;0,00;0,00;0,33;0,00;0,00;0,29;1,72;15,57
C08B;1;0,00;247,64;0,72;18,87;0,36;0,00;16,43;0,00;0,00;63,15;272,98;620,15
C08B;4;0,00;0,00;35,24;8,46;2,55;103,22;54,55;27,23;90,22;23,89;39,25;384,61
C08B;5;48,17;0,00;42,45;3,07;0,00;0,00;9,61;0,00;0,00;6,82;15,57;125,69
C08B;9;0,18;0,00;0,20;0,00;0,00;0,00;0,00;0,21;0,00;0,04;0,12;0,75
C08B;10;0,09;0,00;0,68;0,02;0,00;0,00;0,53;0,00;0,09;0,08;0,33;1,82
C08B;11;1,23;0,00;0,86;0,03;0,00;0,00;0,21;0,07;0,00;0,26;0,57;3,23
C08B;13;1,11;0,00;0,83;0,00;0,00;0,00;0,04;0,00;0,00;0,03;0,19;2,20
C20B;1;0,00;264,43;0,92;19,68;0,31;0,00;19,37;0,00;0,00;76,03;290,64;671,38
C20B;4;0,00;0,00;54,42;4,59;4,56;34,56;90,76;23,88;65,20;34,00;46,15;358,12
C20B;5;82,67;0,00;64,38;3,65;0,00;0,00;14,04;0,00;0,00;11,81;19,28;195,83
C20B;9;0,11;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,08;0,35
C20B;10;0,19;0,00;1,79;0,03;0,00;0,00;1,25;0,00;0,02;0,17;0,69;4,14
C20B;11;1,35;0,00;0,76;0,03;0,00;0,00;0,11;0,00;0,00;0,28;0,54;3,07
C20B;13;4,67;0,02;3,51;0,01;0,00;0,00;0,19;0,00;0,00;0,15;0,96;9,51
D06B;1;0,00;320,48;3,34;18,30;0,00;0,00;22,38;0,00;0,00;94,53;302,60;761,63
D06B;4;0,00;0,00;178,97;7,03;2,59;58,48;52,77;23,16;0,00;106,38;135,91;565,29
D06B;5;175,44;0,00;116,37;6,32;0,37;0,00;24,16;2,24;0,00;18,39;40,24;383,53
D06B;9;0,18;0,00;0,08;0,00;0,00;0,00;0,02;0,00;0,00;0,05;0,04;0,37
D06B;10;1,54;0,00;4,32;0,23;0,00;0,00;2,36;0,20;4,29;0,84;2,68;16,46
D06B;11;1,56;0,00;1,71;0,08;0,00;0,00;0,80;0,00;0,00;0,30;0,53;4,98
D06B;12;0,00;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,13;0,01;0,02;0,23
D06B;13;4,26;0,16;1,82;0,05;0,00;0,00;0,49;0,00;0,00;0,17;1,55;8,50
D06C;1;0,00;278,13;1,89;12,21;0,06;0,00;21,62;0,00;0,12;76,01;286,02;676,06
D06C;2;1,01;2,57;0,08;0,30;0,00;0,00;0,46;0,00;0,00;0,50;1,30;6,22
D06C;4;0,00;0,00;168,15;4,64;3,44;3,32;69,89;23,99;0,00;98,92;121,99;494,34
D06C;5;127,90;0,00;103,05;6,98;0,42;0,00;23,68;1,34;3,43;16,75;36,30;319,85
D06C;8;0,10;0,00;0,07;0,00;0,00;0,00;0,03;0,00;0,00;0,04;0,04;0,28
D06C;9;0,16;0,00;0,17;0,00;0,00;0,00;0,01;0,00;0,35;0,06;0,08;0,83
D06C;10;2,61;0,00;5,42;0,11;0,11;0,00;2,18;0,04;4,66;1,09;3,43;19,65
D06C;11;0,55;0,00;0,87;0,03;0,00;0,00;0,49;0,00;0,00;0,17;0,29;2,40
D06C;12;0,05;0,01;0,48;0,01;0,00;0,00;0,02;0,00;1,00;0,03;0,30;1,90
