IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
02 ;C03B;790;0,8772;0,0949;0,0215;0,0063;0,00;0,00;0,00;0,5367;0,4633;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0013;0,0038;0,0127;0,0405;0,0456;0,0709;0,1139;0,3684;0,1975;0,1456;0,1136;0,855;0,0314;1;6;3,00;0,619;0,029;0,80;1859,88;537,91
02 ;C03C;469;0,9296;0,0618;0,0064;0,0021;0,00;0,00;0,00;0,5011;0,4989;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0043;0,0043;0,0213;0,0213;0,0554;0,1023;0,3817;0,226;0,1834;0,145;0,7909;0,0641;1;6;2,80;0,486;0,0172;1,00;1458,50;274,59
02 ;C04B;87;0,9195;0,0575;0,023;0,00;0,00;0,00;0,00;0,4598;0,5402;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0115;0,023;0,023;0,0345;0,046;0,1149;0,2759;0,2874;0,1839;0,0306;0,8878;0,0816;1;8;4,70;1,24;0,0032;1,20;3838,41;565,18
02 ;C06Z;361;0,9224;0,036;0,0222;0,0166;0,0028;0,00;0,00;0,4432;0,5568;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0249;0,0139;0,0443;0,0499;0,1053;0,0914;0,2825;0,2299;0,1579;0,0538;0,8826;0,0636;1;8;4,20;0,546;0,0132;1,60;1626,19;366,95
02 ;C07B;76;0,9474;0,0263;0,00;0,0263;0,00;0,00;0,00;0,5263;0,4737;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0395;0,0921;0,0395;0,0395;0,1184;0,1711;0,2105;0,2895;0,4241;0,481;0,0949;1;6;2,70;0,318;0,0028;1,30;944,85;146,44
02 ;C08B;605;0,8628;0,0959;0,0281;0,0116;0,0017;0,00;0,00;0,3537;0,6463;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0017;0,0083;0,0066;0,0397;0,0579;0,2562;0,2397;0,3901;0,5904;0,3991;0,0106;1;4;2,30;0,378;0,0222;0,40;1138,45;146,84
02 ;C20B;138;0,9203;0,0435;0,0217;0,0145;0,00;0,00;0,00;0,4928;0,5072;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0362;0,0217;0,0145;0,1087;0,0652;0,0797;0,2899;0,1739;0,2101;0,3504;0,5897;0,0598;1;5;2,50;0,415;0,0051;0,80;1242,39;276,43
03 ;D06B;106;0,8585;0,0566;0,0755;0,0094;0,00;0,00;0,00;0,5472;0,4528;0,00;0,00;0,00;0,00;0,00;0,1226;0,3019;0,00;0,0189;0,0943;0,1509;0,0566;0,0755;0,0566;0,0755;0,0377;0,0094;0,2397;0,726;0,0342;1;6;2,90;0,587;0,0039;0,90;1740,97;390,51
03 ;D06C;2156;0,9638;0,0181;0,0121;0,006;0,00;0,00;0,00;0,5863;0,4137;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0121;0,2115;0,2018;0,1962;0,1285;0,0969;0,0557;0,0714;0,0195;0,0065;0,1846;0,809;0,0064;1;6;3,10;0,519;0,079;0,90;1539,46;400,70
03 ;D12B;316;0,9557;0,0253;0,0127;0,0063;0,00;0,00;0,00;0,6266;0,3734;0,00;0,00;0,00;0,0032;0,0158;0,0063;0,0253;0,0253;0,193;0,2373;0,1899;0,1044;0,057;0,0222;0,0538;0,0348;0,0316;0,2848;0,6667;0,0485;1;6;3,30;0,515;0,0116;1,10;1524,86;422,97
