IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt6c;IO_KArt7;IO_KArt8;IO_Summe
801A;1;1076,77;2094,59;80,17;232,75;99,51;0,00;192,06;52,20;13,18;546,20;1561,51;5948,94
801A;2;1337,85;2417,74;57,82;262,51;97,74;0,00;500,96;8,63;10,58;451,90;1103,51;6249,24
801A;4;366,01;0,00;289,21;14,23;5,48;304,12;186,60;115,52;23,89;163,19;219,63;1687,88
801A;5;290,39;0,00;180,07;15,50;0,08;0,00;53,51;1,31;0,00;37,31;72,09;650,26
801A;6;1,31;0,00;5,92;0,31;0,00;0,00;0,79;0,00;0,00;1,10;2,48;11,91
801A;7;49,48;0,00;49,06;3,19;0,19;54,90;19,18;135,80;31,36;21,07;30,52;394,75
801A;8;45,85;0,00;52,55;2,10;0,13;0,00;19,53;18,16;0,00;23,30;34,16;195,78
801A;9;196,38;0,00;177,04;3,97;11,54;11,79;43,16;103,23;91,34;95,86;121,19;855,50
801A;10;101,60;0,00;378,53;25,19;477,53;0,00;281,20;1,93;159,14;57,08;173,95;1656,15
801A;11;120,02;0,67;79,22;1,57;0,00;0,00;15,29;0,06;0,00;15,81;46,05;278,69
801A;12;14,26;8,28;225,61;0,71;0,00;0,00;8,39;0,00;22,82;13,30;66,65;360,02
801A;13;73,01;20,24;50,07;3,05;0,20;0,00;7,60;0,02;0,00;11,90;39,28;205,37
801B;1;915,36;1649,77;69,65;145,09;30,86;0,00;144,53;9,94;15,06;452,32;1280,47;4713,05
801B;2;358,37;687,94;10,41;65,75;27,77;0,00;112,63;4,20;1,45;132,68;352,14;1753,34
801B;4;526,61;0,00;406,21;15,95;13,47;380,98;242,43;266,11;2,82;240,09;303,22;2397,89
801B;5;366,77;0,00;237,48;19,00;3,26;0,00;74,08;2,71;0,07;51,55;100,85;855,77
801B;7;9,22;0,00;10,77;0,50;0,02;10,54;5,36;10,33;8,18;4,72;6,49;66,13
801B;8;48,36;0,00;50,89;1,78;0,18;0,64;24,42;9,40;0,00;25,01;33,83;194,51
801B;9;130,12;0,00;127,45;2,03;3,63;8,29;25,26;47,72;60,01;53,57;84,03;542,11
801B;10;41,77;0,00;140,17;4,46;102,01;0,00;111,32;5,04;119,57;20,36;66,34;611,04
801B;11;65,97;1,09;52,30;0,87;0,00;0,00;7,32;0,17;0,68;10,48;30,38;169,26
801B;12;15,05;4,87;154,34;0,65;0,00;0,00;4,18;0,03;23,08;7,12;52,17;261,49
801B;13;35,27;7,65;30,27;1,07;0,05;0,00;4,39;0,03;0,01;5,72;20,07;104,53
801C;1;836,98;1664,43;64,44;130,01;23,33;0,00;128,33;8,40;13,52;394,04;1199,29;4462,77
801C;2;298,90;526,65;20,06;46,03;6,16;0,00;75,11;0,86;1,62;99,48;256,81;1331,68
801C;4;357,41;0,00;282,48;12,32;9,70;355,86;159,62;137,34;8,75;157,86;204,63;1685,97
801C;5;265,36;0,00;181,29;14,43;1,27;0,00;52,49;1,18;0,19;33,62;76,55;626,38
801C;7;16,29;0,00;11,49;0,78;0,02;30,72;9,50;22,13;0,63;4,60;10,00;106,16
801C;8;26,66;0,00;30,01;0,86;0,01;0,81;14,48;5,41;0,00;14,80;20,52;113,56
801C;9;131,09;0,00;126,64;1,79;0,44;33,25;22,05;37,91;38,34;53,94;85,25;530,70
801C;10;38,00;0,00;107,15;5,13;60,80;0,00;89,01;4,16;92,88;17,61;51,03;465,77
801C;11;59,82;0,61;47,84;0,70;0,00;0,00;6,04;0,63;4,34;8,87;26,17;155,02
801C;12;14,34;3,21;191,29;0,37;0,00;0,00;3,43;0,00;29,90;9,51;72,73;324,78
801C;13;45,99;12,10;37,72;1,68;0,01;0,00;5,35;0,01;0,04;7,96;25,88;136,74
801D;1;683,56;1211,16;46,88;95,01;19,17;0,00;100,93;6,59;11,00;344,58;986,80;3505,68
801D;2;217,67;413,59;6,65;37,45;9,90;0,00;64,34;0,82;0,67;85,71;214,41;1051,21
801D;4;229,04;0,00;200,77;7,17;3,58;169,74;102,68;81,96;4,12;111,30;143,53;1053,89
801D;5;184,44;0,00;123,34;9,77;0,42;0,00;34,53;0,63;0,22;24,27;50,56;428,18
801D;6;1,21;0,00;2,62;0,20;0,00;0,00;0,36;0,00;0,00;0,30;1,47;6,16
801D;7;46,14;0,00;51,18;3,43;0,87;92,38;27,47;96,53;20,93;21,00;34,32;394,25
801D;8;32,50;0,00;35,92;1,16;0,11;6,21;14,61;16,87;0,08;16,63;22,83;146,92
801D;9;94,50;0,00;93,74;1,60;2,21;16,25;21,53;45,49;46,42;39,39;62,00;423,13
801D;10;19,30;0,00;83,61;3,19;48,36;0,00;66,98;1,96;66,61;10,96;36,86;337,83
801D;11;62,44;1,19;46,05;1,01;0,22;0,00;8,01;0,15;1,74;10,10;26,95;157,86
801D;12;8,23;2,04;88,45;0,36;0,00;0,00;2,22;0,28;17,36;4,08;31,91;154,93
801D;13;42,99;9,50;38,53;1,57;0,03;0,00;5,69;0,12;0,05;7,74;25,51;131,73
801E;1;547,91;929,66;38,88;73,85;12,35;0,00;74,25;2,98;9,38;288,64;806,41;2784,31
801E;2;94,79;178,05;5,91;17,44;1,56;3,18;29,85;0,14;0,19;40,36;95,44;466,91
801E;4;95,96;0,00;89,40;3,04;0,63;107,20;46,50;18,93;0,57;50,90;63,87;477,00
801E;5;83,93;0,00;56,12;4,29;0,09;0,00;16,13;0,25;0,04;11,83;24,27;196,95
801E;7;88,84;0,00;102,28;5,50;1,77;103,39;52,35;133,71;24,65;38,18;61,93;612,60
801E;8;28,61;0,00;33,31;1,07;0,23;1,23;15,00;5,86;0,00;14,82;20,69;120,82
801E;9;75,35;0,00;77,55;0,95;2,52;0,73;13,53;27,24;31,91;30,16;50,36;310,30
801E;10;15,19;0,00;63,32;2,08;21,50;0,00;46,82;0,44;52,76;8,07;26,58;236,76
801E;11;59,74;0,83;46,48;0,85;0,45;0,00;7,18;0,02;0,90;10,73;27,15;154,33
801E;12;5,85;1,04;54,05;0,08;0,00;0,00;0,94;0,00;9,20;2,72;18,07;91,95
801E;13;41,31;9,56;38,54;1,54;2,88;0,00;5,49;0,04;0,02;7,84;25,11;132,33
802A;1;570,46;957,41;40,51;84,35;8,49;0,00;86,46;3,14;8,38;296,99;829,23;2885,42
802A;2;83,34;164,65;2,60;15,45;4,00;0,00;25,53;1,03;0,45;33,12;89,87;420,04
802A;4;156,61;0,00;138,55;4,63;2,19;96,76;65,53;54,31;5,21;76,52;102,86;703,17
802A;5;134,99;0,00;90,32;7,55;0,75;0,00;25,15;0,69;0,35;17,31;38,84;315,95
802A;6;1,49;0,00;3,25;0,15;0,00;0,00;0,44;0,03;0,00;0,58;1,33;7,27
802A;7;17,01;0,00;18,32;0,88;0,07;5,90;7,54;30,03;2,43;8,38;11,69;102,25
802A;8;37,45;0,00;48,25;1,40;0,05;1,39;22,31;16,97;0,00;19,79;27,19;174,80
802A;9;108,39;0,00;106,45;2,25;4,30;3,86;31,95;72,55;43,51;45,48;71,36;490,10
802A;10;25,80;0,00;74,99;2,11;15,11;0,00;58,33;3,61;90,97;11,44;39,63;321,99
802A;11;60,37;1,00;47,04;0,92;0,00;0,00;7,82;0,22;1,56;9,39;26,06;154,38
802A;12;5,65;2,01;43,11;0,28;0,00;0,00;1,24;0,01;8,07;2,53;15,40;78,30
802A;13;36,03;7,13;31,98;1,19;0,05;0,00;4,45;0,04;0,02;7,48;22,06;110,43
802B;1;575,16;935,03;40,09;77,79;15,33;0,00;82,09;3,22;12,41;286,04;825,08;2852,24
802B;2;58,50;110,07;1,66;9,26;2,81;0,00;16,11;0,03;1,02;20,77;55,91;276,14
802B;4;117,14;0,00;118,75;5,36;2,65;5,92;65,97;44,50;4,73;66,14;90,42;521,58
802B;5;115,06;0,00;80,57;6,47;0,45;0,00;21,03;0,23;0,14;14,61;35,26;273,82
802B;7;2,70;0,00;3,32;0,17;0,01;0,09;1,31;5,61;0,00;1,63;1,87;16,71
802B;8;57,85;0,00;65,69;1,93;0,14;4,05;27,54;16,04;6,95;29,45;41,60;251,24
802B;9;61,44;0,00;61,51;0,70;1,59;0,12;9,67;5,74;29,73;25,11;40,92;236,53
802B;10;15,29;0,00;56,87;1,71;29,77;0,00;43,33;4,13;79,17;7,66;26,00;263,93
802B;11;47,96;0,26;34,73;1,12;0,00;0,00;6,27;0,14;1,03;9,39;22,05;122,95
802B;12;3,56;1,70;36,98;0,34;0,00;0,00;1,71;0,00;3,99;2,08;13,10;63,46
802B;13;34,87;6,80;32,88;1,21;0,01;0,00;4,86;0,02;0,07;6,81;20,98;108,51
802C;1;421,39;685,67;32,00;58,43;10,24;0,00;60,46;1,31;9,32;207,27;622,83;2108,92
802C;2;48,65;85,67;2,29;8,42;0,56;0,00;12,81;0,04;1,41;16,52;47,03;223,40
802C;4;136,55;0,00;128,41;5,68;0,69;9,83;64,35;22,52;10,45;68,66;96,59;543,73
