IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
802C;1-859.x;25;0,4808;365;0,3402
802C;8-836.xx;25;0,4808;247;0,2302
802C;3-202;19;0,3654;25;0,0233
802C;3-207;19;0,3654;23;0,0214
802C;8-543.11;15;0,2885;42;0,0391
802C;8-542.11;12;0,2308;117;0,109
802C;3-800;12;0,2308;15;0,014
802C;8-543.12;8;0,1538;20;0,0186
802C;8-800.c0;7;0,1346;11;0,0103
802C;8-179.x;6;0,1154;15;0,014
802C;8-191.00;6;0,1154;6;0,0056
802C;5-915.5f;5;0,0962;55;0,0513
802C;8-543.14;5;0,0962;10;0,0093
802C;8-192.1f;5;0,0962;5;0,0047
802C;8-543.15;4;0,0769;10;0,0093
863Z;3-800;5;0,0943;6;0,2222
960Z;3-990;4;0,20;5;0,0781
961Z;8-98a.10;59;0,0453;463;0,1516
961Z;3-990;54;0,0415;64;0,021
961Z;8-98a.11;47;0,0361;469;0,1536
961Z;1-632.0;34;0,0261;35;0,0115
961Z;3-036;31;0,0238;32;0,0105
961Z;1-930.1;29;0,0223;75;0,0246
961Z;8-800.c0;27;0,0208;36;0,0118
961Z;8-900;27;0,0208;28;0,0092
961Z;1-208.1;26;0,02;26;0,0085
961Z;3-100.0;24;0,0184;24;0,0079
961Z;3-222;23;0,0177;24;0,0079
961Z;1-207.0;23;0,0177;23;0,0075
961Z;3-800;22;0,0169;24;0,0079
961Z;8-857.10;21;0,0161;66;0,0216
961Z;1-710;21;0,0161;21;0,0069
961Z;3-225;20;0,0154;24;0,0079
961Z;3-993;20;0,0154;20;0,0065
961Z;8-123.1;19;0,0146;20;0,0065
961Z;5-915.4c;19;0,0146;19;0,0062
961Z;8-857.0;18;0,0138;153;0,0501
961Z;8-931.0;18;0,0138;24;0,0079
961Z;8-824;17;0,0131;105;0,0344
961Z;8-542.11;16;0,0123;67;0,0219
961Z;3-997;15;0,0115;15;0,0049
961Z;3-705.1;13;0,01;13;0,0043
961Z;3-733.0;13;0,01;13;0,0043
961Z;3-827;12;0,0092;17;0,0056
961Z;8-123.0;12;0,0092;13;0,0043
961Z;3-20x;12;0,0092;12;0,0039
961Z;3-820;12;0,0092;12;0,0039
961Z;9-984.6;12;0,0092;12;0,0039
961Z;1-901.0;11;0,0085;13;0,0043
961Z;3-226;11;0,0085;13;0,0043
961Z;9-984.8;11;0,0085;11;0,0036
961Z;8-854.2;10;0,0077;315;0,1031
961Z;8-547.0;10;0,0077;29;0,0095
961Z;1-204.2;10;0,0077;10;0,0033
961Z;5-399.5;10;0,0077;10;0,0033
961Z;8-542.12;9;0,0069;28;0,0092
961Z;3-994;9;0,0069;11;0,0036
961Z;1-207.1;9;0,0069;9;0,0029
961Z;1-440.9;9;0,0069;9;0,0029
961Z;3-13e;9;0,0069;9;0,0029
961Z;6-001.h5;9;0,0069;9;0,0029
961Z;8-903;9;0,0069;9;0,0029
961Z;8-543.12;8;0,0061;13;0,0043
961Z;3-035;8;0,0061;8;0,0026
961Z;5-870.71;8;0,0061;8;0,0026
961Z;9-401.00;8;0,0061;8;0,0026
961Z;9-403.1;7;0,0054;23;0,0075
961Z;8-930;7;0,0054;8;0,0026
961Z;9-401.22;7;0,0054;8;0,0026
961Z;1-440.a;7;0,0054;7;0,0023
961Z;1-631.0;7;0,0054;7;0,0023
961Z;3-05x;7;0,0054;7;0,0023
961Z;3-202;7;0,0054;7;0,0023
961Z;3-207;7;0,0054;7;0,0023
961Z;5-641.1;7;0,0054;7;0,0023
961Z;5-915.0c;7;0,0054;7;0,0023
961Z;8-810.w3;7;0,0054;7;0,0023
961Z;9-401.02;7;0,0054;7;0,0023
961Z;1-930.3;6;0,0046;6;0,002
961Z;3-200;6;0,0046;6;0,002
961Z;9-410.05;6;0,0046;6;0,002
961Z;9-500.0;6;0,0046;6;0,002
961Z;9-984.7;6;0,0046;6;0,002
961Z;9-984.9;6;0,0046;6;0,002
961Z;1-902.0;5;0,0038;11;0,0036
961Z;8-800.f0;5;0,0038;6;0,002
961Z;1-208.2;5;0,0038;5;0,0016
961Z;1-930.0;5;0,0038;5;0,0016
961Z;5-985.1;5;0,0038;5;0,0016
961Z;8-548.0;5;0,0038;5;0,0016
961Z;8-915;5;0,0038;5;0,0016
961Z;8-98a.0;5;0,0038;5;0,0016
961Z;8-179.y;4;0,0031;32;0,0105
961Z;8-543.11;4;0,0031;12;0,0039
961Z;9-312;4;0,0031;11;0,0036
961Z;1-208.6;4;0,0031;4;0,0013
961Z;1-650.2;4;0,0031;4;0,0013
961Z;1-700;4;0,0031;4;0,0013
961Z;1-711;4;0,0031;4;0,0013
961Z;3-034;4;0,0031;4;0,0013
961Z;3-205;4;0,0031;4;0,0013
961Z;3-825;4;0,0031;4;0,0013
961Z;5-201;4;0,0031;4;0,0013
961Z;5-895.0c;4;0,0031;4;0,0013
961Z;9-320;4;0,0031;4;0,0013
961Z;9-984.a;4;0,0031;4;0,0013
A15D;8-805.00;47;1,00;48;0,2526
A15D;8-542.21;45;0,9574;46;0,2421
A15D;6-002.72;37;0,7872;37;0,1947
A15D;8-800.f0;25;0,5319;25;0,1316
A15D;8-800.f1;10;0,2128;10;0,0526
A15D;8-800.c0;9;0,1915;9;0,0474
A36B;8-824;16;1,00;170;0,7391
A36B;8-800.c1;5;0,3125;5;0,0217
A42A;5-410.10;4;1,00;4;0,1212
A42B;5-410.10;4;1,00;4;0,1143
A42C;5-410.10;102;1,00;123;0,6059
A42C;1-710;9;0,0882;9;0,0443
A42C;3-990;7;0,0686;8;0,0394
A42C;3-225;7;0,0686;7;0,0345
A42C;3-226;7;0,0686;7;0,0345
A42C;8-800.c0;6;0,0588;7;0,0345
A42C;3-222;6;0,0588;6;0,0296
A42C;3-221;5;0,049;5;0,0246
A42C;6-005.e4;5;0,049;5;0,0246
A42C;8-800.g0;5;0,049;5;0,0246
A42C;8-831.0;4;0,0392;4;0,0197
A60C;8-824;99;0,825;633;0,8033
A60C;8-191.00;4;0,0333;28;0,0355
A60C;8-192.1f;4;0,0333;10;0,0127
A60D;8-821.11;23;0,5227;23;0,4182
A60D;8-810.w6;6;0,1364;6;0,1091
A60D;8-824;5;0,1136;5;0,0909
A61A;8-824;15;1,00;119;0,8561
A61B;8-824;15;0,4688;24;0,189
A61B;8-547.0;7;0,2188;27;0,2126
A61B;9-984.9;6;0,1875;6;0,0472
A61C;8-824;540;0,9441;2751;0,9335
A61C;8-800.c0;21;0,0367;21;0,0071
A61C;9-984.8;15;0,0262;15;0,0051
A61C;9-984.7;8;0,014;8;0,0027
A61C;8-971.0;6;0,0105;17;0,0058
A61C;1-710;6;0,0105;6;0,002
A61C;8-547.0;5;0,0087;20;0,0068
A61C;1-711;5;0,0087;5;0,0017
A61C;3-202;5;0,0087;5;0,0017
A61C;3-990;5;0,0087;5;0,0017
A61C;8-810.w3;4;0,007;4;0,0014
A90A;8-98a.10;27719;0,7396;262314;0,5203
A90A;8-98a.11;20106;0,5365;197699;0,3922
A90A;9-984.7;5975;0,1594;5996;0,0119
A90A;8-98a.0;5706;0,1522;12331;0,0245
A90A;3-200;3005;0,0802;3090;0,0061
A90A;9-984.8;2108;0,0562;2113;0,0042
A90A;9-984.6;1751;0,0467;1754;0,0035
A90A;9-984.b;1467;0,0391;1470;0,0029
A90A;3-990;1141;0,0304;1339;0,0027
A90A;1-771;890;0,0237;892;0,0018
A90A;9-320;853;0,0228;858;0,0017
A90A;3-900;628;0,0168;748;0,0015
A90A;1-710;617;0,0165;642;0,0013
A90A;9-401.00;610;0,0163;610;0,0012
A90A;1-632.0;595;0,0159;610;0,0012
A90A;3-203;589;0,0157;647;0,0013
A90A;1-207.0;542;0,0145;577;0,0011
A90A;1-206;529;0,0141;698;0,0014
A90A;3-800;408;0,0109;423;0,0008
A90A;1-901.0;389;0,0104;400;0,0008
A90A;9-401.30;366;0,0098;367;0,0007
A90A;9-984.9;328;0,0088;330;0,0007
A90A;9-401.22;305;0,0081;307;0,0006
A90A;1-440.a;286;0,0076;288;0,0006
A90A;9-404.2;282;0,0075;283;0,0006
A90A;3-802;265;0,0071;296;0,0006
A90A;9-500.0;206;0,0055;246;0,0005
A90A;1-205;191;0,0051;196;0,0004
A90A;1-711;185;0,0049;198;0,0004
A90A;9-401.32;177;0,0047;177;0,0004
A90A;3-225;176;0,0047;184;0,0004
A90A;3-206;169;0,0045;171;0,0003
A90A;8-561.1;167;0,0045;681;0,0014
A90A;3-205;159;0,0042;170;0,0003
A90A;1-613;159;0,0042;162;0,0003
A90A;9-404.1;158;0,0042;159;0,0003
A90A;3-222;151;0,004;154;0,0003
