IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
24 ;801A;422;0,0095;0,0142;0,019;0,1422;0,3649;0,4313;0,019;0,5806;0,4194;0,00;0,00;0,00;0,00;0,00;0,0024;0,0024;0,00;0,0213;0,0213;0,0474;0,0261;0,0616;0,0711;0,2773;0,1967;0,2725;0,1169;0,7365;0,1466;7;42;23,60;5,735;0,00;9,00
24 ;801B;2555;0,0932;0,0521;0,09;0,2532;0,3722;0,1362;0,0031;0,5014;0,4986;0,00;0,00;0,002;0,002;0,0027;0,0012;0,0031;0,002;0,0219;0,0223;0,0544;0,0536;0,0834;0,0814;0,2254;0,1667;0,2779;0,1303;0,7615;0,1082;6;38;19,60;4,058;0,0002;8,00
24 ;801C;1256;0,0868;0,0406;0,0557;0,2914;0,3567;0,1608;0,008;0,4705;0,5295;0,00;0,00;0,0271;0,0064;0,0064;0,0104;0,008;0,0119;0,0104;0,0151;0,0287;0,0398;0,0494;0,0685;0,1895;0,1608;0,3678;0,0768;0,8172;0,1061;5;35;18,80;3,537;0,0001;7,10
24 ;801D;10421;0,1474;0,0821;0,1231;0,2963;0,2897;0,0609;0,0004;0,5402;0,4598;0,00;0,00;0,00;0,0022;0,0009;0,0003;0,0022;0,0009;0,013;0,0185;0,0403;0,0438;0,0589;0,0724;0,2062;0,1772;0,3632;0,0971;0,8124;0,0906;5;32;16,80;2,948;0,0008;6,20
24 ;801E;3076;0,225;0,1073;0,17;0,3654;0,117;0,0153;0,00;0,5735;0,4265;0,00;0,00;0,00;0,00;0,001;0,001;0,001;0,0007;0,0088;0,0195;0,0299;0,0468;0,0676;0,0884;0,2172;0,1931;0,3251;0,0508;0,8633;0,0859;4;27;14,80;2,293;0,0002;4,70
24 ;802A;1995;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5564;0,4426;0,001;0,00;0,002;0,002;0,002;0,0035;0,0035;0,0035;0,0346;0,0411;0,0617;0,0637;0,0807;0,0867;0,202;0,1674;0,2456;0,1597;0,7444;0,0959;4;27;13,30;2,226;0,0001;5,40
24 ;802B;1312;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5259;0,4741;0,00;0,00;0,00;0,0015;0,0015;0,0015;0,0046;0,003;0,0091;0,0267;0,0595;0,0595;0,077;0,0938;0,2066;0,1837;0,2721;0,1252;0,7971;0,0778;4;27;13,80;2,087;0,0001;5,30
24 ;802C;1677;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5176;0,4818;0,0006;0,00;0,0042;0,0042;0,0036;0,003;0,0089;0,0066;0,0358;0,0501;0,0608;0,0644;0,0745;0,0996;0,1908;0,1449;0,2487;0,2439;0,6482;0,1078;3;24;11,90;1,752;0,0001;5,10
24 ;802D;935;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,462;0,538;0,00;0,00;0,0032;0,0064;0,0107;0,0075;0,0246;0,0064;0,0652;0,0738;0,1027;0,0642;0,0824;0,0845;0,1701;0,1219;0,1765;0,1894;0,6631;0,1475;1;16;6,10;0,898;0,0001;4,00
24 ;863Z;126;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6032;0,3968;0,00;0,00;0,8413;0,0476;0,00;0,0079;0,00;0,0079;0,0476;0,0476;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2056;0,5888;0,2056;1;14;4,70;1,132;0,00;2,60
