IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
801D;D17.7;4;0,0533
801D;I10.01;4;0,0533
961Z;P95;5;0,8333
A13H;J44.19;4;0,10
A42C;C90.00;6;0,75
B04C;I65.2;47;0,8545
B04D;I65.2;231;0,8462
B04D;I65.3;41;0,1502
B05Z;G56.0;80;0,8511
B05Z;G57.6;11;0,117
B09Z;S02.3;105;0,8333
B09Z;S02.1;9;0,0714
B15Z;C79.3;48;0,64
B15Z;C71.9;9;0,12
B15Z;C71.1;5;0,0667
B15Z;C71.2;5;0,0667
B16A;C79.3;26;0,7879
B16B;C79.3;17;0,6071
B17D;G50.0;52;0,5361
B17D;D36.1;6;0,0619
B17D;G56.2;5;0,0515
B17D;G56.0;4;0,0412
B17E;G56.2;9;0,2432
B17E;G56.0;8;0,2162
B17E;G57.1;5;0,1351
B18B;G97.80;4;0,129
B18B;G97.82;4;0,129
B18C;G97.80;10;0,2857
B18C;D36.1;7;0,20
B19A;T85.1;8;0,32
B19A;G57.8;6;0,24
B19B;T85.1;7;0,7778
B19C;T85.1;11;0,7857
B20B;D32.0;15;0,3125
B20B;C79.3;9;0,1875
B20B;C71.1;4;0,0833
B20D;G91.20;15;0,3947
B20D;S06.5;8;0,2105
B20E;S06.5;10;0,40
B20E;I62.02;7;0,28
B63Z;I67.88;16;0,3556
B63Z;F03;6;0,1333
B63Z;F01.9;5;0,1111
B63Z;F06.9;4;0,0889
B64Z;F05.1;14;0,4828
B64Z;R41.0;5;0,1724
B66D;C79.3;27;0,403
B66D;C71.2;9;0,1343
B66D;C71.8;7;0,1045
B66D;C71.1;4;0,0597
B66D;C71.9;4;0,0597
B67B;G20.11;16;0,4706
B67B;G20.10;10;0,2941
B67B;G20.90;4;0,1176
B68D;G35.11;9;0,3913
B69D;G45.92;98;0,5026
B69D;G45.09;21;0,1077
B69D;G45.99;13;0,0667
B69D;G45.82;12;0,0615
B69D;G45.02;11;0,0564
B69D;G45.93;10;0,0513
B69D;I65.2;10;0,0513
B69D;G45.42;5;0,0256
B70E;I61.0;7;0,25
B70E;I63.5;4;0,1429
B70E;I63.9;4;0,1429
B70F;I63.5;122;0,4861
B70F;I63.9;49;0,1952
B70F;I63.8;23;0,0916
B70F;I63.4;17;0,0677
B70F;I63.2;12;0,0478
B70F;I63.3;12;0,0478
B70F;I64;4;0,0159
B70I;I64;13;0,2708
B70I;I63.8;6;0,125
B70I;I63.9;6;0,125
B70I;I63.5;5;0,1042
B71D;G51.0;75;0,3333
B71D;E11.41;53;0,2356
B71D;G54.8;12;0,0533
B71D;E10.41;11;0,0489
B71D;G61.8;9;0,04
B71D;G62.9;8;0,0356
B71D;M79.28;8;0,0356
B71D;E11.40;7;0,0311
B71D;G50.0;6;0,0267
B71D;G62.88;5;0,0222
