IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
24 ;801A;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24 ;801B;1;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;;;3,00;;0,00;
24 ;801C;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24 ;801D;17;0,6471;0,0588;0,1765;0,1176;0,00;0,00;0,00;0,5294;0,4706;0,00;0,00;0,00;0,00;0,00;0,00;0,1176;0,00;0,00;0,00;0,1765;0,00;0,1176;0,2941;0,2353;0,0588;0,00;0,00;1,00;0,00;;;4,50;;0,00;4,70
24 ;801E;1;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;;;1,00;;0,00;
24 ;802A;5;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,60;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,60;0,00;0,20;0,00;0,00;1,00;0,00;;;28,40;;0,00;16,20
24 ;802B;9;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6667;0,3333;0,00;0,00;0,00;0,1111;0,00;0,00;0,00;0,00;0,00;0,1111;0,00;0,00;0,2222;0,00;0,4444;0,00;0,1111;0,00;1,00;0,00;;;27,30;;0,00;41,20
24 ;802C;52;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5962;0,4038;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0192;0,0577;0,1731;0,0577;0,1923;0,1538;0,1923;0,0769;0,0769;0,00;1,00;0,00;;;13,20;;0,0001;9,70
24 ;802D;15;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4667;0,5333;0,00;0,00;0,00;0,1333;0,00;0,00;0,00;0,00;0,1333;0,00;0,1333;0,1333;0,00;0,1333;0,0667;0,0667;0,20;0,00;1,00;0,00;;;1,90;;0,00;2,80
24 ;863Z;53;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6038;0,3962;0,00;0,00;0,8113;0,1509;0,0189;0,0189;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,20;;0,0001;1,00
