IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
801B;I10.00;5;0,4545;5;0,0301
801D;I10.00;27;0,36;30;0,0338
801D;E87.6;19;0,2533;19;0,0214
801D;N40;18;0,24;20;0,0225
801D;Z92.1;16;0,2133;17;0,0191
801D;Z74.1;12;0,16;12;0,0135
801D;Z74.0;11;0,1467;11;0,0124
801D;K59.0;10;0,1333;11;0,0124
801D;R33;10;0,1333;11;0,0124
801D;N18.3;9;0,12;10;0,0113
801D;N39.0;9;0,12;10;0,0113
801D;E11.90;9;0,12;9;0,0101
801D;I25.13;9;0,12;9;0,0101
801D;R11;8;0,1067;9;0,0101
801D;Z95.0;8;0,1067;9;0,0101
801D;Z86.7;8;0,1067;8;0,009
801D;R32;7;0,0933;9;0,0101
801D;E78.2;7;0,0933;8;0,009
801D;I10.01;7;0,0933;8;0,009
801D;Z11;7;0,0933;8;0,009
801D;D62;7;0,0933;7;0,0079
801D;I48.0;7;0,0933;7;0,0079
801D;I50.13;6;0,08;7;0,0079
801D;N32.8;6;0,08;7;0,0079
801D;R26.8;6;0,08;7;0,0079
801D;B96.2;6;0,08;6;0,0068
801D;E79.0;6;0,08;6;0,0068
801D;I48.2;5;0,0667;6;0,0068
801D;K57.30;5;0,0667;6;0,0068
801D;Z95.1;5;0,0667;6;0,0068
801D;E78.5;5;0,0667;5;0,0056
801D;I10.90;5;0,0667;5;0,0056
801D;J44.99;5;0,0667;5;0,0056
801D;N08.3;5;0,0667;5;0,0056
801D;N13.3;5;0,0667;5;0,0056
801D;N19;5;0,0667;5;0,0056
801D;Z48.0;5;0,0667;5;0,0056
801D;E86;4;0,0533;5;0,0056
801D;I50.12;4;0,0533;5;0,0056
801D;K29.5;4;0,0533;5;0,0056
801D;R06.0;4;0,0533;5;0,0056
801D;Z92.2;4;0,0533;5;0,0056
801D;D50.8;4;0,0533;4;0,0045
801D;E78.0;4;0,0533;4;0,0045
801D;I11.00;4;0,0533;4;0,0045
801D;J96.00;4;0,0533;4;0,0045
801D;R31;4;0,0533;4;0,0045
801D;Z29.0;4;0,0533;4;0,0045
801D;Z95.5;4;0,0533;4;0,0045
801D;Z95.88;4;0,0533;4;0,0045
801E;I10.00;12;0,50;12;0,0352
801E;E11.90;6;0,25;6;0,0176
801E;E86;6;0,25;6;0,0176
801E;R06.0;6;0,25;6;0,0176
801E;N40;5;0,2083;5;0,0147
801E;R15;5;0,2083;5;0,0147
801E;R50.9;5;0,2083;5;0,0147
