IH_DRG;IH_CodeF;IH_Anzahl;IH_Prozent
802A;Z49.1;4;0,80
802B;Z49.1;4;0,4444
802C;C34.9;12;0,2308
802C;I70.24;4;0,0769
863Z;P94.8;14;0,2642
863Z;P07.3;5;0,0943
863Z;P07.12;4;0,0755
960Z;C61;5;0,25
961Z;Z00.1;141;0,1084
961Z;Z94.1;134;0,103
961Z;Z94.4;73;0,0561
961Z;Z85.3;70;0,0538
961Z;Z94.0;62;0,0477
961Z;A63.0;59;0,0453
961Z;I69.3;54;0,0415
961Z;Z93.1;42;0,0323
961Z;Z99.4;40;0,0307
961Z;Z49.2;33;0,0254
961Z;Z94.81;32;0,0246
961Z;I69.4;26;0,02
961Z;Z85.0;24;0,0184
961Z;Q87.3;23;0,0177
961Z;Z94.80;20;0,0154
961Z;Z88.8;19;0,0146
961Z;Z21;18;0,0138
961Z;Z87.8;17;0,0131
961Z;Q87.1;16;0,0123
961Z;Q87.8;16;0,0123
961Z;Z87.4;16;0,0123
961Z;Z85.8;15;0,0115
961Z;Q87.2;14;0,0108
961Z;Z51.2;14;0,0108
961Z;Z98.2;14;0,0108
961Z;I69.1;13;0,01
961Z;T90.5;12;0,0092
961Z;G09;11;0,0085
961Z;Q87.0;11;0,0085
961Z;Z85.7;11;0,0085
961Z;Z86.1;10;0,0077
961Z;Z95.80;10;0,0077
961Z;Z98.8;10;0,0077
961Z;Z94.2;9;0,0069
961Z;Z99.2;9;0,0069
961Z;Z51.1;8;0,0061
961Z;Z87.6;8;0,0061
961Z;Z96.2;8;0,0061
961Z;R69;7;0,0054
961Z;Z85.4;7;0,0054
961Z;Z88.1;7;0,0054
961Z;Z63;6;0,0046
961Z;Z90.4;6;0,0046
961Z;Z96.4;6;0,0046
961Z;Z96.65;6;0,0046
961Z;Z85.5;5;0,0038
961Z;Q87.5;4;0,0031
961Z;T74.1;4;0,0031
961Z;Z85.1;4;0,0031
961Z;Z88.6;4;0,0031
961Z;Z88.9;4;0,0031
961Z;Z99.3;4;0,0031
A15D;C90.00;47;1,00
A36B;T86.02;7;0,4375
A36B;T86.01;4;0,25
A42C;C90.00;59;0,5784
A42C;Z52.01;20;0,1961
A42C;C83.3;5;0,049
A60C;T86.81;73;0,6083
A60C;T86.2;16;0,1333
