ka_Pepp;ka_Verguetungsklasse;ka_Relgew
P002Z;1;2,0267
P003A;1;1,4401
P003B;1;1,5906
P003B;2;1,5906
P003B;3;1,5906
P003B;4;1,5906
P003B;5;1,5906
P003B;6;1,5906
P003B;7;1,5906
P003B;8;1,5906
P003B;9;1,5906
P003B;10;1,5717
P003B;11;1,5443
P003B;12;1,5169
P003B;13;1,4894
P003B;14;1,462
P003B;15;1,4346
P003B;16;1,4072
P003B;17;1,3798
P003B;18;1,3524
P003B;19;1,325
P003C;1;1,5188
P003C;2;1,5188
P003C;3;1,5188
P003C;4;1,5188
P003C;5;1,5188
P003C;6;1,5188
P003C;7;1,5188
P003C;8;1,5095
P003C;9;1,4879
P003C;10;1,4662
P003C;11;1,4446
P003C;12;1,4229
P003C;13;1,4013
P003C;14;1,3796
P003C;15;1,3579
P003C;16;1,3363
P003C;17;1,3146
P003C;18;1,293
P003C;19;1,2713
PA01A;1;1,2981
PA01A;2;1,2698
PA01A;3;1,244
PA01A;4;1,2183
PA01A;5;1,1925
PA01A;6;1,1668
PA01A;7;1,141
PA01B;1;1,2119
PA01B;2;1,1891
PA01B;3;1,1674
PA01B;4;1,1457
PA01B;5;1,124
PA01B;6;1,1023
PA01B;7;1,0806
PA01B;8;1,0589
PA01B;9;1,0371
PA01B;10;1,0154
PA02A;1;1,4595
PA02A;2;1,3161
PA02A;3;1,265
PA02A;4;1,2358
PA02A;5;1,224
PA02A;6;1,2122
PA02A;7;1,2004
PA02A;8;1,1886
PA02A;9;1,1768
PA02A;10;1,165
PA02A;11;1,1531
PA02A;12;1,1413
PA02A;13;1,1295
PA02A;14;1,1177
PA02A;15;1,1059
PA02A;16;1,0941
PA02A;17;1,0823
PA02B;1;1,3925
PA02B;2;1,2964
PA02B;3;1,2605
PA02B;4;1,2188
PA02B;5;1,2063
PA02B;6;1,1937
PA02B;7;1,1811
PA02B;8;1,1685
PA02B;9;1,1559
PA02B;10;1,1433
PA02B;11;1,1307
PA02B;12;1,1181
PA02B;13;1,1055
PA02B;14;1,0929
PA02B;15;1,0804
PA02B;16;1,0678
PA02B;17;1,0552
PA02B;18;1,0426
PA02C;1;1,3795
PA02C;2;1,2706
PA02C;3;1,2135
PA02C;4;1,1751
PA02C;5;1,16
PA02C;6;1,145
PA02C;7;1,13
PA02C;8;1,1149
PA02C;9;1,0999
PA02C;10;1,0848
PA02C;11;1,0698
PA02C;12;1,0548
PA02C;13;1,0397
PA02C;14;1,0247
PA02C;15;1,0097
PA02C;16;0,9946
PA02C;17;0,9796
PA02C;18;0,9645
PA02C;19;0,9495
PA02D;1;1,3616
PA02D;2;1,2344
PA02D;3;1,1763
PA02D;4;1,1282
PA02D;5;1,0675
PA02D;6;1,0371
PA02D;7;1,03
PA02D;8;1,0229
PA02D;9;1,0159
PA02D;10;1,0088
PA02D;11;1,0017
PA02D;12;0,9947
PA02D;13;0,9876
PA02D;14;0,9805
PA02D;15;0,9735
PA02D;16;0,9664
PA02D;17;0,9593
PA02D;18;0,9523
PA02D;19;0,9452
PA02D;20;0,9381
PA02D;21;0,9311
PA02D;22;0,924
PA02D;23;0,9169
PA03A;1;1,2825
PA03A;2;1,223
PA03A;3;1,2071
PA03A;4;1,1914
PA03A;5;1,1758
PA03A;6;1,1602
PA03A;7;1,1446
PA03A;8;1,129
PA03A;9;1,1133
PA03A;10;1,0977
PA03A;11;1,0821
PA03A;12;1,0665
PA03A;13;1,0509
PA03A;14;1,0352
PA03B;1;1,2458
PA03B;2;1,1531
PA03B;3;1,1084
PA03B;4;1,0671
PA03B;5;1,0523
PA03B;6;1,041
PA03B;7;1,0306
PA03B;8;1,0203
PA03B;9;1,01
PA03B;10;0,9997
PA03B;11;0,9893
PA03B;12;0,979
PA03B;13;0,9687
PA03B;14;0,9583
PA03B;15;0,948
PA03B;16;0,9377
PA03B;17;0,9274
PA04A;1;1,3323
PA04A;2;1,2349
PA04A;3;1,2236
PA04A;4;1,211
PA04A;5;1,1983
PA04A;6;1,1856
PA04A;7;1,1729
PA04A;8;1,1602
PA04A;9;1,1475
PA04A;10;1,1348
PA04A;11;1,1221
PA04A;12;1,1094
PA04A;13;1,0967
PA04A;14;1,084
PA04A;15;1,0714
PA04A;16;1,0587
PA04B;1;1,3116
PA04B;2;1,1541
PA04B;3;1,1431
PA04B;4;1,1332
PA04B;5;1,1232
PA04B;6;1,1132
PA04B;7;1,1032
PA04B;8;1,0933
PA04B;9;1,0833
PA04B;10;1,0733
PA04B;11;1,0634
PA04B;12;1,0534
PA04B;13;1,0434
