ka_Pepp;ka_Verguetungsklasse;ka_Relgew
PA04B;14;1,0335
PA04B;15;1,0235
PA04B;16;1,0135
PA04B;17;1,0036
PA04B;18;0,9936
PA04B;19;0,9836
PA04B;20;0,9737
PA04B;21;0,9637
PA04C;1;1,2343
PA04C;2;1,0926
PA04C;3;1,0517
PA04C;4;1,0398
PA04C;5;1,0294
PA04C;6;1,0189
PA04C;7;1,0085
PA04C;8;0,9981
PA04C;9;0,9876
PA04C;10;0,9772
PA04C;11;0,9667
PA04C;12;0,9563
PA04C;13;0,9458
PA04C;14;0,9354
PA04C;15;0,9249
PA04C;16;0,9145
PA04C;17;0,9041
PA04C;18;0,8936
PA04C;19;0,8832
PA04C;20;0,8727
PA14A;1;1,2872
PA14A;2;1,1981
PA14A;3;1,1172
PA14A;4;1,1049
PA14A;5;1,0926
PA14A;6;1,0803
PA14A;7;1,068
PA14A;8;1,0556
PA14B;1;1,2287
PA14B;2;1,1318
PA14B;3;1,0859
PA14B;4;1,0741
PA14B;5;1,065
PA14B;6;1,0558
PA14B;7;1,0467
PA14B;8;1,0375
PA14B;9;1,0284
PA14B;10;1,0192
PA14B;11;1,0101
PA14B;12;1,0009
PA14B;13;0,9918
PA14B;14;0,9826
PA14B;15;0,9734
PA14B;16;0,9643
PA14B;17;0,9551
PA14B;18;0,946
PA14B;19;0,9368
PA14B;20;0,9277
PA15A;1;1,5342
PA15A;2;1,4823
PA15A;3;1,4402
PA15A;4;1,4217
PA15A;5;1,4064
PA15A;6;1,3911
PA15A;7;1,3758
PA15A;8;1,3605
PA15A;9;1,3452
PA15A;10;1,3299
PA15A;11;1,3146
PA15A;12;1,2993
PA15A;13;1,284
PA15A;14;1,2687
PA15A;15;1,2534
PA15A;16;1,2382
PA15A;17;1,2229
PA15A;18;1,2076
PA15B;1;1,4814
PA15B;2;1,4127
PA15B;3;1,386
PA15B;4;1,3631
PA15B;5;1,3416
PA15B;6;1,3201
PA15B;7;1,2986
PA15B;8;1,2772
PA15B;9;1,2557
PA15B;10;1,2342
PA15B;11;1,2127
PA15B;12;1,1912
PA15B;13;1,1698
PA15C;1;1,3707
PA15C;2;1,345
PA15C;3;1,3274
PA15C;4;1,3098
PA15C;5;1,2922
PA15C;6;1,2746
PA15C;7;1,257
PA15C;8;1,2394
PA15C;9;1,2218
PA15C;10;1,2042
PA15C;11;1,1866
PA15C;12;1,169
PA15C;13;1,1515
PA15C;14;1,1339
PA15C;15;1,1163
PA15C;16;1,0987
PA15C;17;1,0811
PA15C;18;1,0635
PK01Z;1;2,1889
PK01Z;2;2,1312
PK01Z;3;2,0767
PK01Z;4;2,0221
PK01Z;5;1,9675
PK01Z;6;1,913
PK01Z;7;1,8584
PK01Z;8;1,8039
PK01Z;9;1,7493
PK01Z;10;1,6947
PK01Z;11;1,6402
PK02Z;1;2,1672
PK02Z;2;2,1225
PK02Z;3;2,0839
PK02Z;4;2,0452
PK02Z;5;2,0065
PK02Z;6;1,9678
PK02Z;7;1,9291
PK02Z;8;1,8904
PK02Z;9;1,8517
PK02Z;10;1,813
PK02Z;11;1,7743
PK02Z;12;1,7356
PK02Z;13;1,6969
PK02Z;14;1,6582
PK03Z;1;2,1523
PK03Z;2;2,032
PK03Z;3;2,0102
PK03Z;4;1,9841
PK03Z;5;1,9579
PK03Z;6;1,9318
PK03Z;7;1,9057
PK03Z;8;1,8795
PK03Z;9;1,8534
PK03Z;10;1,8273
PK03Z;11;1,8011
PK03Z;12;1,775
PK03Z;13;1,7489
PK03Z;14;1,7227
PK03Z;15;1,6966
PK03Z;16;1,6705
PK03Z;17;1,6443
PK03Z;18;1,6182
PK04A;1;2,0595
PK04A;2;1,9923
PK04A;3;1,9657
PK04A;4;1,9389
PK04A;5;1,9122
PK04A;6;1,8855
PK04A;7;1,8587
PK04A;8;1,832
PK04A;9;1,8052
PK04A;10;1,7785
PK04A;11;1,7518
PK04A;12;1,725
PK04A;13;1,6983
PK04A;14;1,6716
PK04A;15;1,6448
PK04A;16;1,6181
PK04A;17;1,5914
PK04B;1;2,0166
PK04B;2;1,8903
PK04B;3;1,8585
PK04B;4;1,836
PK04B;5;1,8133
PK04B;6;1,7906
PK04B;7;1,7679
PK04B;8;1,7453
PK04B;9;1,7226
PK04B;10;1,6999
PK04B;11;1,6772
PK04B;12;1,6546
PK04B;13;1,6319
PK04B;14;1,6092
PK04B;15;1,5865
PK04B;16;1,5639
PK04B;17;1,5412
PK04B;18;1,5185
PK04B;19;1,4958
PK04B;20;1,4732
PK10Z;1;1,6124
PK14A;1;2,0155
PK14A;2;2,0155
PK14A;3;1,9939
PK14A;4;1,9696
PK14A;5;1,9453
PK14A;6;1,921
PK14A;7;1,8967
PK14A;8;1,8724
PK14A;9;1,848
PK14A;10;1,8237
PK14A;11;1,7994
PK14A;12;1,7751
PK14A;13;1,7508
PK14A;14;1,7265
PK14A;15;1,7021
PK14A;16;1,6778
PK14B;1;1,9979
PK14B;2;1,9526
PK14B;3;1,9316
PK14B;4;1,9101
PK14B;5;1,8886
PK14B;6;1,8671
PK14B;7;1,8456
PK14B;8;1,8241
PK14B;9;1,8027
PK14B;10;1,7812
PK14B;11;1,7597
PK14B;12;1,7382
PK14B;13;1,7167
PK14B;14;1,6952
PK14B;15;1,6737
PK14B;16;1,6523
PK14B;17;1,6308
PK14B;18;1,6093
PK14B;19;1,5878
PK14B;20;1,5663
PK14C;1;1,956
PK14C;2;1,9389
PK14C;3;1,9164
PK14C;4;1,8939
PK14C;5;1,8715
PK14C;6;1,849
PK14C;7;1,8265
PK14C;8;1,8041
PK14C;9;1,7816
PK14C;10;1,7591
PK14C;11;1,7367
PK14C;12;1,7142
PK14C;13;1,6917
PK14C;14;1,6693
PK14C;15;1,6468
PK14C;16;1,6243
PK14C;17;1,6018
PK14C;18;1,5794
PK14C;19;1,5569
PK14C;20;1,5344
PK14C;21;1,512
PP04A;1;1,129
PP04A;2;1,129
PP04A;3;1,1147
PP04A;4;1,10
PP04A;5;1,0854
PP04A;6;1,0707
PP04A;7;1,056
PP04A;8;1,0414
PP04A;9;1,0267
PP04A;10;1,012
PP04A;11;0,9974
PP04A;12;0,9827
PP04A;13;0,968
PP04A;14;0,9534
PP04A;15;0,9387
PP04A;16;0,924
PP04A;17;0,9094
PP04B;1;1,0182
PP04B;2;1,0043
PP04B;3;0,9904
PP04B;4;0,9765
PP04B;5;0,9626
PP04B;6;0,9486
PP04B;7;0,9347
PP04B;8;0,9208
PP04B;9;0,9069
PP04B;10;0,893
PP04B;11;0,879
PP04B;12;0,8651
PP04B;13;0,8512
PP10A;1;1,0403
PP10B;1;0,878
PP14Z;1;0,9619
TA02Z;1;0,8203
TA15Z;1;0,897
TA19Z;1;0,7955
TA20Z;1;0,7263
TK04Z;1;1,1893
TK14Z;1;1,2551
TP20Z;1;0,748
