pr_Pepp;pr_Code;pr_FaelleAnzahl;pr_FaelleAnteil;pr_NennungenAnzahl;pr_NennungenAnteil
P002Z;9-672;368;0,971;2541;0,1144
P002Z;9-693.12;319;0,8417;2706;0,1218
P002Z;9-693.11;287;0,7573;2242;0,1009
P002Z;9-693.13;285;0,752;1547;0,0697
P002Z;9-693.10;283;0,7467;2213;0,0996
P002Z;9-983.2;270;0,7124;517;0,0233
P002Z;9-693.14;264;0,6966;1364;0,0614
P002Z;9-693.15;188;0,496;1228;0,0553
P002Z;9-693.01;174;0,4591;889;0,04
P002Z;9-693.00;170;0,4485;1029;0,0463
P002Z;9-983.1;140;0,3694;262;0,0118
P002Z;9-693.02;124;0,3272;542;0,0244
P002Z;1-207.0;118;0,3113;135;0,0061
P002Z;9-983.0;104;0,2744;111;0,005
P002Z;9-690.11;103;0,2718;214;0,0096
P002Z;9-693.03;100;0,2639;345;0,0155
P002Z;9-664.1;87;0,2296;181;0,0081
P002Z;9-664.0;84;0,2216;178;0,008
P002Z;1-904;79;0,2084;124;0,0056
P002Z;9-690.10;72;0,19;121;0,0054
P002Z;9-690.12;70;0,1847;144;0,0065
P002Z;9-690.14;68;0,1794;1046;0,0471
P002Z;9-690.13;65;0,1715;177;0,008
P002Z;9-664.2;62;0,1636;122;0,0055
P002Z;9-664.3;56;0,1478;87;0,0039
P002Z;9-693.04;50;0,1319;138;0,0062
P002Z;9-665.4;46;0,1214;87;0,0039
P002Z;9-664.4;45;0,1187;62;0,0028
P002Z;9-665.3;45;0,1187;68;0,0031
P002Z;9-690.00;44;0,1161;60;0,0027
P002Z;3-800;43;0,1135;43;0,0019
P002Z;9-665.1;43;0,1135;62;0,0028
P002Z;9-665.2;40;0,1055;67;0,003
P002Z;9-665.0;37;0,0976;54;0,0024
P002Z;9-665.5;36;0,095;51;0,0023
P002Z;9-665.6;36;0,095;54;0,0024
P002Z;9-654.1;33;0,0871;67;0,003
P002Z;9-664.5;33;0,0871;54;0,0024
P002Z;9-665.7;32;0,0844;44;0,002
P002Z;9-665.9;30;0,0792;40;0,0018
P002Z;9-654.0;26;0,0686;69;0,0031
P002Z;9-654.2;26;0,0686;50;0,0023
P002Z;9-665.8;25;0,066;37;0,0017
P002Z;9-690.01;25;0,066;29;0,0013
P002Z;9-655.2;24;0,0633;37;0,0017
P002Z;9-664.6;24;0,0633;26;0,0012
P002Z;9-665.b;24;0,0633;29;0,0013
P002Z;9-665.c;23;0,0607;28;0,0013
P002Z;9-692.13;23;0,0607;31;0,0014
P002Z;9-654.3;22;0,058;31;0,0014
