ko_Pepp;ko_BereichNr;ko_KArt1;ko_KArt2;ko_KArt3a;ko_KArt3b;ko_KArt3c;ko_KArt3;ko_KArt4a;ko_KArt4b;ko_KArt5;ko_KArt6a;ko_KArt6b;ko_KArt7;ko_KArt8
PA03B;25;0,00;0,41;0,02;0,06;3,57;0,01;0,01;0,00;0,00;0,12;0,29;0,23;1,53
PA03B;26;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00
PA03B;5;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA03B;8;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA03B;9;0,18;0,00;0,00;0,00;0,00;0,19;0,00;0,00;0,00;0,07;0,54;0,08;0,11
PA03B;10;0,07;0,00;0,00;0,00;0,00;0,45;0,00;0,00;0,00;0,50;0,93;0,06;0,21
PA03B;11;0,50;0,45;0,00;0,00;0,00;0,69;0,01;0,00;0,00;0,07;0,09;0,12;0,44
PA04A;21;18,30;56,58;3,11;2,73;2,59;1,11;1,49;0,45;0,00;1,43;0,26;8,81;41,90
PA04A;22;9,73;33,28;1,04;1,52;1,22;0,40;0,90;0,19;0,00;1,08;0,14;4,85;21,57
PA04A;23;4,82;14,30;2,02;0,60;0,28;0,00;0,09;0,02;0,00;0,09;0,02;0,00;0,00
PA04A;24;0,00;0,08;0,00;0,00;1,93;0,03;0,00;0,00;0,00;0,04;0,12;0,09;0,83
PA04A;25;0,00;0,61;0,01;0,09;3,87;0,00;0,01;0,00;0,00;0,13;0,22;0,23;1,57
PA04A;26;0,03;0,01;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,03;0,01;0,01
PA04A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,01
PA04A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04A;7;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA04A;8;0,04;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,01;0,00;0,02;0,03
PA04A;9;0,46;0,00;0,00;0,00;0,00;0,50;0,01;0,00;0,00;0,19;0,84;0,21;0,30
PA04A;10;0,09;0,00;0,00;0,00;0,00;0,57;0,01;0,01;0,00;0,64;1,08;0,07;0,27
PA04A;11;0,79;0,35;0,00;0,00;0,00;1,06;0,01;0,00;0,00;0,11;0,22;0,16;0,60
PA04B;21;21,83;65,92;3,91;3,33;2,89;1,25;1,64;0,33;0,00;1,47;0,28;10,63;51,77
PA04B;22;4,47;14,49;0,51;0,67;0,53;0,17;0,39;0,09;0,00;0,49;0,05;2,33;10,39
PA04B;23;4,27;8,21;2,29;0,60;0,29;0,00;0,07;0,05;0,00;0,07;0,02;0,00;0,00
PA04B;24;0,00;0,14;0,00;0,00;1,66;0,03;0,00;0,00;0,00;0,04;0,12;0,08;0,73
PA04B;25;0,01;0,54;0,01;0,10;4,47;0,02;0,01;0,00;0,00;0,15;0,55;0,28;1,81
PA04B;26;0,04;0,02;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,02;0,00;0,01
PA04B;5;0,03;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA04B;8;0,04;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,01;0,01;0,02
PA04B;9;0,34;0,00;0,00;0,00;0,00;0,36;0,01;0,01;0,00;0,11;0,73;0,16;0,21
PA04B;10;0,08;0,00;0,00;0,00;0,00;0,47;0,00;0,00;0,00;0,53;0,86;0,06;0,23
PA04B;11;0,69;0,35;0,00;0,00;0,00;0,93;0,01;0,00;0,00;0,10;0,13;0,16;0,54
PA04C;21;22,39;61,91;4,49;3,67;3,03;1,20;1,48;0,09;0,00;1,13;0,26;10,35;52,82
PA04C;22;2,19;6,85;0,25;0,35;0,26;0,10;0,19;0,01;0,00;0,20;0,03;1,18;5,21
PA04C;23;4,75;6,20;3,17;0,69;0,35;0,00;0,06;0,01;0,00;0,05;0,02;0,00;0,00
PA04C;24;0,00;0,19;0,00;0,00;1,42;0,04;0,00;0,00;0,00;0,03;0,10;0,07;0,67
PA04C;25;0,01;0,45;0,02;0,13;5,14;0,02;0,01;0,00;0,00;0,17;0,31;0,31;2,09
PA04C;26;0,03;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,02;0,00;0,01
PA04C;5;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA04C;8;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA04C;9;0,22;0,00;0,00;0,00;0,00;0,22;0,00;0,00;0,00;0,08;0,57;0,11;0,13
PA04C;10;0,06;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,44;0,67;0,05;0,19
PA04C;11;0,58;0,41;0,00;0,00;0,00;0,75;0,01;0,00;0,00;0,07;0,10;0,12;0,46
PA14A;21;20,15;56,82;3,12;3,18;2,66;1,24;1,32;0,25;0,00;1,16;0,24;8,59;42,66
PA14A;22;10,35;32,14;1,15;1,73;1,29;0,41;0,84;0,05;0,00;0,77;0,10;4,46;20,99
PA14A;23;5,41;15,14;2,45;0,87;0,52;0,00;0,09;0,04;0,00;0,09;0,04;0,00;0,00
PA14A;24;0,00;0,04;0,00;0,00;1,03;0,03;0,00;0,00;0,00;0,02;0,03;0,06;0,44
PA14A;25;0,01;0,48;0,00;0,09;3,58;0,04;0,01;0,00;0,00;0,11;0,21;0,24;1,48
PA14A;26;0,02;0,02;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA14A;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA14A;5;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA14A;8;0,05;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,02;0,03;0,02;0,03
PA14A;9;0,23;0,00;0,00;0,00;0,00;0,23;0,00;0,00;0,00;0,08;0,45;0,11;0,15
PA14A;10;0,07;0,00;0,00;0,00;0,00;0,55;0,00;0,01;0,00;0,61;0,97;0,06;0,26
PA14A;11;0,76;0,45;0,00;0,00;0,00;0,82;0,01;0,00;0,00;0,11;0,10;0,18;0,54
PA14B;21;24,23;63,98;4,48;4,03;3,08;1,64;1,40;0,05;0,00;1,20;0,23;11,00;54,66
PA14B;22;3,22;9,11;0,35;0,48;0,36;0,12;0,23;0,02;0,00;0,32;0,03;1,52;6,91
PA14B;23;4,94;8,15;3,46;0,87;0,37;0,00;0,05;0,05;0,00;0,06;0,05;0,00;0,00
PA14B;24;0,00;0,05;0,00;0,00;0,87;0,02;0,00;0,00;0,00;0,02;0,07;0,05;0,43
PA14B;25;0,00;0,45;0,00;0,13;4,42;0,06;0,01;0,00;0,00;0,14;0,37;0,28;1,90
PA14B;26;0,02;0,02;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA14B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01
PA14B;5;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01
PA14B;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,02;0,01;0,01
PA14B;9;0,16;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;0,05;0,22;0,08;0,10
PA14B;10;0,05;0,00;0,00;0,00;0,00;0,42;0,00;0,00;0,00;0,46;0,87;0,05;0,20
PA14B;11;0,59;0,41;0,00;0,00;0,00;0,79;0,01;0,00;0,00;0,08;0,06;0,15;0,50
PA15A;21;8,86;27,52;1,12;1,28;1,35;0,46;0,68;0,13;0,00;1,00;0,17;3,95;18,05
PA15A;22;22,32;80,71;2,17;3,20;3,07;0,75;1,95;0,64;0,00;3,12;0,34;10,76;46,73
PA15A;23;4,65;25,26;0,40;0,64;0,26;0,00;0,16;0,01;0,00;0,15;0,03;0,00;0,00
PA15A;24;0,00;0,06;0,00;0,00;2,49;0,02;0,00;0,00;0,00;0,03;0,12;0,09;0,95
PA15A;25;0,00;0,67;0,00;0,15;2,20;0,00;0,01;0,00;0,00;0,07;0,11;0,18;0,99
PA15A;26;0,03;0,02;0,00;0,01;0,02;0,08;0,00;0,00;0,00;0,02;0,02;0,00;0,02
PA15A;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00
PA15A;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA15A;8;0,04;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,01;0,01;0,02
PA15A;9;0,83;0,00;0,00;0,00;0,00;0,98;0,02;0,01;0,00;0,58;1,20;0,43;0,61
PA15A;10;0,15;0,00;0,00;0,00;0,00;0,76;0,01;0,02;0,00;1,20;1,55;0,09;0,37
PA15A;11;0,98;0,52;0,00;0,00;0,00;1,14;0,01;0,00;0,00;0,22;0,31;0,50;0,69
PA15B;21;10,47;33,48;1,37;1,60;1,68;0,49;0,83;0,05;0,00;1,22;0,16;5,13;23,33
PA15B;22;20,02;70,07;1,74;3,00;2,84;0,66;1,62;0,20;0,00;2,70;0,27;9,61;43,41
PA15B;23;3,94;20,78;0,47;0,78;0,37;0,00;0,11;0,01;0,00;0,14;0,03;0,00;0,00
PA15B;24;0,00;0,08;0,00;0,00;1,69;0,01;0,00;0,00;0,00;0,03;0,15;0,07;0,73
PA15B;25;0,00;0,70;0,00;0,11;2,83;0,00;0,01;0,00;0,00;0,08;0,14;0,24;1,24
PA15B;26;0,04;0,01;0,00;0,01;0,01;0,02;0,00;0,00;0,00;0,01;0,00;0,00;0,01
PA15B;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00;0,01;0,01
PA15B;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA15B;8;0,02;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,01;0,00;0,01;0,02
PA15B;9;0,74;0,00;0,00;0,00;0,00;0,86;0,02;0,00;0,00;0,32;1,63;0,35;0,51
PA15B;10;0,11;0,00;0,00;0,00;0,00;0,70;0,00;0,01;0,00;0,83;1,39;0,09;0,33
PA15B;11;0,93;0,50;0,00;0,00;0,00;1,19;0,01;0,00;0,00;0,14;0,21;0,28;0,71
PA15C;21;15,30;46,55;2,28;2,55;2,17;0,92;1,24;0,24;0,00;1,41;0,26;7,42;34,76
PA15C;22;13,93;44,77;1,20;1,94;1,53;0,58;1,15;0,13;0,00;1,78;0,26;6,13;28,95
PA15C;23;4,35;15,57;0,95;0,69;0,27;0,00;0,09;0,01;0,00;0,12;0,02;0,00;0,00
PA15C;24;0,00;0,06;0,00;0,00;1,79;0,01;0,00;0,00;0,00;0,03;0,19;0,06;0,68
PA15C;25;0,01;0,40;0,01;0,13;3,45;0,00;0,00;0,00;0,00;0,10;0,20;0,21;1,36
PA15C;26;0,04;0,01;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA15C;4;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,01;0,00;0,01;0,01
PA15C;5;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00
PA15C;8;0,04;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,01;0,01;0,02;0,03
PA15C;9;0,63;0,00;0,00;0,00;0,00;0,64;0,02;0,01;0,00;0,43;1,70;0,33;0,39
