nd_Pepp;nd_Code;nd_FaelleAnzahl;nd_FaelleAnteil;nd_NennungenAnzahl;nd_NennungenAnteil
P002Z;F32.1;36;0,095;36;0,0332
P002Z;F74.1;31;0,0818;31;0,0286
P002Z;F17.1;24;0,0633;24;0,0221
P002Z;F43.1;23;0,0607;23;0,0212
P002Z;F70.1;20;0,0528;20;0,0184
P002Z;X84.9;19;0,0501;20;0,0184
P002Z;F43.2;18;0,0475;18;0,0166
P002Z;F10.1;17;0,0449;17;0,0157
P002Z;F32.2;17;0,0449;17;0,0157
P002Z;F92.8;16;0,0422;16;0,0147
P002Z;F98.0;16;0,0422;16;0,0147
P002Z;Z63;16;0,0422;16;0,0147
P002Z;F98.8;15;0,0396;15;0,0138
P002Z;F12.1;14;0,0369;14;0,0129
P002Z;F90.1;14;0,0369;14;0,0129
P002Z;Z62;14;0,0369;14;0,0129
P002Z;F71.1;13;0,0343;13;0,012
P002Z;F90.0;12;0,0317;12;0,0111
P002Z;F94.1;12;0,0317;12;0,0111
P002Z;F40.1;11;0,029;11;0,0101
P002Z;F60.31;11;0,029;11;0,0101
P002Z;E66.09;10;0,0264;10;0,0092
P002Z;F80.1;10;0,0264;10;0,0092
P002Z;F12.2;9;0,0237;9;0,0083
P002Z;F17.2;9;0,0237;9;0,0083
P002Z;K59.0;9;0,0237;9;0,0083
P002Z;F81.9;8;0,0211;8;0,0074
P002Z;F83;8;0,0211;8;0,0074
P002Z;F93.8;8;0,0211;8;0,0074
P002Z;F94.2;8;0,0211;8;0,0074
P002Z;F98.1;8;0,0211;8;0,0074
P002Z;S60.2;8;0,0211;8;0,0074
P002Z;U69.34;8;0,0211;11;0,0101
P002Z;Z55;8;0,0211;8;0,0074
P002Z;F12.0;7;0,0185;7;0,0065
P002Z;T14.00;7;0,0185;7;0,0065
P002Z;D50.9;6;0,0158;6;0,0055
P002Z;E03.9;6;0,0158;6;0,0055
P002Z;F15.1;6;0,0158;6;0,0055
P002Z;F19.1;6;0,0158;6;0,0055
P002Z;F80.0;6;0,0158;6;0,0055
P002Z;F94.0;6;0,0158;6;0,0055
P002Z;L20.8;6;0,0158;6;0,0055
P002Z;S51.7;6;0,0158;6;0,0055
P002Z;Z60;6;0,0158;6;0,0055
P002Z;Z61;6;0,0158;6;0,0055
P002Z;Z81;6;0,0158;6;0,0055
P002Z;E55.9;5;0,0132;5;0,0046
P002Z;E66.99;5;0,0132;5;0,0046
P002Z;F15.0;5;0,0132;5;0,0046
P002Z;F81.0;5;0,0132;5;0,0046
P002Z;F93.3;5;0,0132;5;0,0046
P002Z;N39.0;5;0,0132;5;0,0046
P002Z;N91.1;5;0,0132;5;0,0046
P002Z;R45.8;5;0,0132;5;0,0046
P002Z;S50.7;5;0,0132;5;0,0046
