kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
P002Z;379;23826;62,8654;48,4474;0,5648;0,4142;0,5858;14,1504;2,9351;0,00;0,00;0,00;0,0185;0,0897;0,4591;0,4274;0,0053;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;484,30;123,93;0,7962;1
P003A;172;15155;88,1105;82,5903;0,5162;0,4709;0,5291;45,2442;19,3167;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2965;0,1686;0,1279;0,0698;0,093;0,0407;0,0988;0,0581;0,0465;336,51;125,89;0,7277;1
P003B;311;19221;61,8039;43,3038;0,588;0,508;0,492;46,1286;19,5635;0,00;0,00;0,00;0,00;0,00;0,00;0,0064;0,2701;0,1415;0,1736;0,0868;0,0675;0,0611;0,0804;0,045;0,0675;310,04;126,12;0,7108;19
P003C;325;15255;46,9385;28,6004;0,6214;0,5569;0,4431;46,24;19,5158;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2369;0,1969;0,1662;0,08;0,0554;0,0738;0,0708;0,0585;0,0615;304,27;111,81;0,7313;19
PA01A;884;19604;22,1765;21,6044;0,5065;0,6663;0,3337;39,0747;15,0812;0,00;0,00;0,00;0,00;0,00;0,00;0,0034;0,3518;0,1844;0,1889;0,1007;0,0577;0,0509;0,0509;0,0079;0,0034;274,17;80,20;0,7737;7
PA01B;762;16322;21,4199;23,9347;0,4723;0,6155;0,3845;34,5223;13,8408;0,00;0,00;0,00;0,00;0,00;0,0013;0,00;0,4921;0,1811;0,1601;0,0735;0,0407;0,0184;0,0223;0,0066;0,0039;246,54;67,83;0,7842;10
PA02A;9547;152210;15,9432;12,1606;0,5673;0,779;0,221;37,6791;8,6443;0,00;0,00;0,00;0,00;0,00;0,0001;0,0002;0,1657;0,4525;0,2862;0,0616;0,0239;0,0064;0,0024;0,0006;0,0004;265,28;61,61;0,8115;17
PA02B;5951;92723;15,5811;13,9097;0,5283;0,7533;0,2467;39,3744;11,4225;0,00;0,00;0,00;0,00;0,00;0,00;0,0007;0,2106;0,3319;0,269;0,0931;0,0523;0,0203;0,015;0,0052;0,002;257,68;68,21;0,7907;18
PA02C;18226;300004;16,4602;13,0612;0,5576;0,7321;0,2679;44,6295;15,5207;0,00;0,00;0,00;0,00;0,00;0,0002;0,0027;0,1961;0,2093;0,2069;0,1129;0,088;0,0455;0,1112;0,0198;0,0075;236,98;62,49;0,7913;19
PA02D;29293;309007;10,5488;10,5704;0,4995;0,7223;0,2777;44,6227;11,4329;0,00;0,00;0,00;0,00;0,00;0,0001;0,0016;0,1268;0,18;0,2954;0,1871;0,1314;0,0776;0,00;0,00;0,00;236,32;70,08;0,7713;23
