IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
G67C;11;2,45;0,00;2,65;0,02;0,00;0,00;0,19;0,00;0,27;0,86;6,44
I10E;1;0,00;328,73;0,55;14,55;0,09;0,00;26,42;0,00;137,69;371,40;879,43
I10E;4;0,00;0,00;179,83;4,16;0,77;0,00;136,25;47,70;115,42;141,50;625,63
I10E;5;126,61;0,00;122,06;6,72;0,00;0,00;23,12;0,00;28,88;53,18;360,57
I10E;9;1,81;0,00;4,52;0,02;0,00;0,00;0,20;0,04;0,43;3,24;10,26
I10E;10;0,30;0,00;2,67;0,01;0,00;0,00;1,76;5,17;0,37;1,34;11,62
I10E;11;3,30;0,00;19,63;0,03;0,00;0,00;0,16;16,92;0,75;3,28;44,07
I10F;1;0,01;306,58;0,57;18,47;0,12;0,00;25,77;0,00;162,62;306,77;820,91
I10F;4;0,00;0,00;155,14;5,08;5,85;14,40;155,53;33,80;85,97;103,33;559,10
I10F;5;120,37;0,00;120,62;5,32;0,00;0,00;22,94;5,35;23,11;48,51;346,22
I10F;9;1,24;0,00;10,80;0,03;0,00;0,00;0,45;0,44;0,80;7,53;21,29
I10F;10;0,57;0,00;6,13;0,15;0,00;0,00;2,25;13,59;0,77;2,63;26,09
I10F;11;2,16;0,00;20,00;0,02;0,00;0,00;0,36;11,90;1,30;4,78;40,52
I16Z;1;0,00;247,04;0,00;12,47;0,00;0,00;19,08;0,00;64,99;213,02;556,60
I16Z;2;0,91;1,41;0,05;0,19;0,00;0,00;0,28;0,00;0,26;0,94;4,04
I16Z;4;0,00;0,00;147,78;2,21;2,14;0,78;71,22;144,48;70,38;83,13;522,12
I16Z;5;141,06;0,00;86,07;6,02;0,00;0,00;18,61;0,00;16,41;40,17;308,34
I16Z;8;6,35;0,00;7,56;0,47;0,00;0,00;2,77;0,00;3,00;6,04;26,19
I16Z;9;0,38;0,00;0,87;0,02;0,00;0,00;0,13;0,00;0,25;0,55;2,20
I16Z;10;0,90;0,00;3,79;0,16;0,00;0,00;2,45;0,99;0,38;1,56;10,23
I16Z;11;12,00;0,00;30,86;0,45;0,00;0,00;2,18;11,62;4,36;16,23;77,70
I18B;1;0,00;253,28;0,29;11,99;0,01;0,00;21,48;0,30;81,88;250,32;619,55
I18B;4;0,00;0,00;112,26;2,29;2,74;0,00;51,78;101,37;58,10;70,80;399,34
I18B;5;104,13;0,00;70,41;4,93;0,00;0,00;13,31;0,00;14,82;29,97;237,57
I18B;8;3,42;0,00;4,00;0,25;0,00;0,00;1,46;0,00;1,61;3,19;13,93
I18B;9;0,33;0,00;0,48;0,00;0,00;0,00;0,05;0,00;0,17;0,32;1,35
I18B;10;0,78;0,00;4,69;0,11;0,00;0,00;3,06;1,55;0,59;1,97;12,75
I18B;11;7,75;0,00;18,25;0,25;0,00;0,00;1,28;10,49;2,64;8,44;49,10
I20C;1;0,57;326,11;0,77;14,76;0,00;0,00;22,99;0,00;90,10;328,03;783,33
I20C;4;0,00;0,00;249,70;5,70;10,95;270,93;112,52;89,53;119,20;230,47;1089,00
I20C;5;160,63;0,00;144,07;6,27;0,09;0,00;23,68;11,03;25,67;54,49;425,93
I20C;8;0,46;0,00;0,54;0,03;0,00;0,00;0,20;0,00;0,22;0,43;1,88
I20C;9;1,41;0,00;16,84;0,32;0,00;0,00;4,11;0,99;3,16;5,29;32,12
I20C;10;0,58;0,00;2,68;0,10;0,00;0,00;1,69;2,73;0,27;1,09;9,14
I20C;11;3,92;0,35;19,63;0,18;0,00;0,00;0,97;24,75;1,66;10,29;61,75
I20G;1;0,11;272,91;0,99;14,60;0,00;0,00;12,85;0,00;89,07;266,33;656,86
I20G;4;0,00;0,00;143,87;3,72;0,56;60,30;93,07;36,29;80,84;127,54;546,19
I20G;5;82,15;0,00;92,55;5,10;0,32;0,00;12,74;3,55;16,56;38,34;251,31
I20G;8;0,62;0,00;0,74;0,05;0,00;0,00;0,27;0,00;0,29;0,59;2,56
I20G;9;0,77;0,00;1,93;0,10;0,00;0,00;0,48;6,28;0,41;1,13;11,10
I20G;10;0,32;0,00;1,55;0,06;0,00;0,00;0,92;4,33;0,17;0,61;7,96
I20G;11;5,81;0,00;12,64;0,22;0,00;0,00;1,00;29,70;1,95;7,14;58,46
I27D;1;0,62;290,70;0,85;14,32;0,00;0,00;20,53;0,00;86,38;281,00;694,40
I27D;4;0,00;0,00;192,77;3,88;2,00;19,52;101,83;126,77;107,48;128,69;682,94
I27D;5;160,51;0,00;123,42;6,22;0,03;0,00;23,86;9,45;24,85;54,06;402,40
I27D;8;0,54;0,00;0,64;0,04;0,00;0,00;0,23;0,00;0,25;0,51;2,21
I27D;9;0,40;0,00;7,41;0,05;0,00;0,00;1,68;0,00;1,45;2,18;13,17
I27D;10;0,49;0,00;2,48;0,10;0,00;0,00;1,37;1,63;0,25;0,89;7,21
I27D;11;4,66;0,28;18,50;0,10;0,00;0,00;0,66;7,54;1,62;6,60;39,96
I29B;1;0,02;310,04;0,17;14,92;0,00;0,00;24,77;0,00;81,01;246,27;677,20
I29B;4;0,00;0,00;195,98;4,01;1,05;101,92;126,86;183,23;109,71;126,90;849,66
I29B;5;188,78;0,00;115,09;7,91;0,04;0,00;26,37;0,15;21,45;50,31;410,10
I29B;8;6,44;0,00;7,67;0,48;0,00;0,00;2,81;0,00;3,04;6,12;26,56
I29B;9;0,67;0,00;1,42;0,01;0,00;0,00;0,18;0,12;0,43;0,87;3,70
I29B;10;0,75;0,00;3,86;0,14;0,00;0,00;2,45;1,43;0,47;1,60;10,70
I29B;11;35,55;0,46;51,59;0,53;0,00;0,00;2,29;7,52;7,55;23,02;128,51
I30Z;1;0,00;274,98;0,74;13,09;0,01;0,00;29,94;0,00;110,98;335,90;765,64
I30Z;4;0,00;0,00;160,16;3,64;13,60;179,96;88,50;222,38;111,69;139,77;919,70
I30Z;5;137,33;0,00;125,79;6,96;0,00;0,00;20,79;0,00;26,92;51,76;369,55
I30Z;9;2,37;0,00;2,33;0,00;0,00;0,00;0,15;0,00;0,99;1,79;7,63
I30Z;10;0,23;0,00;1,79;0,01;0,00;0,00;1,34;1,18;0,26;0,84;5,65
I30Z;11;0,47;0,00;6,41;0,00;0,00;0,00;0,04;9,13;0,17;0,63;16,85
I44B;1;0,15;777,77;1,51;41,08;0,02;0,00;57,10;4,13;196,62;797,42;1875,80
I44B;2;7,89;23,16;0,02;2,01;0,00;0,00;3,09;0,00;4,31;9,79;50,27
I44B;4;0,00;0,00;251,49;3,54;24,73;1388,95;146,34;115,47;138,38;172,00;2240,90
I44B;5;231,95;0,00;164,35;7,70;0,24;0,00;35,11;0,47;30,93;65,99;536,74
I44B;7;0,02;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,08
I44B;8;0,42;0,00;0,41;0,01;0,00;0,00;0,10;0,12;0,19;0,29;1,54
I44B;9;10,31;0,00;23,09;1,06;0,00;0,00;4,99;3,18;6,14;13,90;62,67
I44B;10;2,08;0,00;20,39;0,57;3,35;0,00;12,14;13,08;2,49;6,58;60,68
I44B;11;30,94;1,83;205,99;0,45;0,00;0,00;2,50;34,18;9,39;82,13;367,41
I44C;1;0,06;690,77;0,91;35,22;0,08;0,00;53,35;1,96;165,44;726,96;1674,75
I44C;2;4,02;7,25;0,00;1,20;0,00;0,00;0,93;0,00;1,09;1,79;16,28
I44C;4;5,73;0,00;231,35;2,71;12,32;1017,99;99,58;114,40;135,83;189,56;1809,47
I44C;5;222,57;0,00;157,04;7,40;0,06;0,00;30,35;0,34;26,35;58,88;502,99
I44C;8;0,13;0,00;0,15;0,01;0,00;0,00;0,05;0,00;0,06;0,12;0,52
I44C;9;7,68;0,00;22,98;2,16;0,00;0,00;7,77;3,47;5,45;11,95;61,46
I44C;10;1,71;0,00;12,95;0,36;0,13;0,00;8,68;17,55;1,21;4,32;46,91
I44C;11;20,90;0,71;176,31;0,43;0,00;0,00;2,54;24,74;5,61;76,78;308,02
I47B;1;0,09;872,83;0,63;45,35;0,44;0,00;52,32;0,00;213,91;830,22;2015,79
I47B;2;7,61;22,70;0,00;1,25;0,00;0,00;2,40;0,00;4,22;11,73;49,91
I47B;4;0,00;0,00;247,08;4,20;1,59;1489,89;154,80;83,05;128,44;147,32;2256,37
I47B;5;190,45;0,00;142,66;6,30;0,09;0,00;32,00;0,03;27,52;56,68;455,73
I47B;8;0,33;0,00;0,19;0,01;0,00;0,00;0,08;0,00;0,10;0,15;0,86
I47B;9;8,99;0,00;29,72;0,84;0,00;0,00;4,68;2,48;5,26;17,91;69,88
I47B;10;2,79;0,00;27,83;1,03;5,51;0,00;15,68;14,22;3,37;8,54;78,97
