IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
A60B;7;22,54;0,00;14,96;0,88;0,00;6,44;2,82;63,29;12,60;10,62;134,15
A60B;8;11,43;0,00;1,77;0,22;0,01;0,00;4,97;0,45;1,96;2,81;23,62
A60B;9;21,77;0,00;11,63;0,06;0,04;0,00;1,48;1,07;14,71;15,29;66,05
A60B;10;62,55;0,00;180,16;0,91;10,04;0,00;154,30;99,97;38,47;82,70;629,10
A60B;11;43,69;3,89;39,97;0,41;0,38;0,00;2,20;0,00;6,80;22,67;120,01
A60C;1;352,69;498,93;28,45;85,16;83,05;0,00;46,29;5,46;182,39;512,83;1795,25
A60C;2;29,55;52,09;1,19;3,27;6,03;0,00;6,72;0,00;12,60;28,73;140,18
A60C;4;18,90;0,00;19,18;0,70;0,87;3,65;9,05;4,73;8,58;14,05;79,71
A60C;5;16,29;0,00;11,08;1,12;0,33;0,00;3,64;0,01;2,25;4,62;39,34
A60C;7;6,76;0,00;6,88;0,40;0,04;1,35;2,34;16,83;4,00;6,62;45,22
A60C;8;8,52;0,00;9,41;0,30;0,04;1,07;3,01;3,79;4,10;6,37;36,61
A60C;9;14,85;0,00;15,36;0,36;0,48;1,23;4,54;9,74;9,07;10,62;66,25
A60C;10;34,14;0,00;102,29;0,41;17,65;0,00;87,14;92,96;25,84;49,86;410,29
