IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
-1 ;901A;114;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5439;0,4561;0,00;0,00;0,00;0,00;0,00;0,00;0,0088;0,00;0,0439;0,0175;0,0614;0,0526;0,0702;0,0614;0,2544;0,1579;0,2719;0,0764;0,7917;0,1319;7;43;25,10;5,729;0,00;8,90;16418,10;7835,59
-1 ;901B;701;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5264;0,4736;0,00;0,00;0,00;0,0029;0,0043;0,0071;0,0057;0,0029;0,0314;0,0228;0,077;0,067;0,0756;0,0728;0,2397;0,1897;0,2011;0,1116;0,7903;0,0981;6;38;20,20;4,098;0,0003;8,60;11742,89;4885,05
-1 ;901C;249;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4458;0,5542;0,00;0,00;0,0442;0,00;0,008;0,00;0,012;0,00;0,0201;0,0241;0,0442;0,0482;0,0602;0,0643;0,1807;0,1285;0,3655;0,10;0,7781;0,1219;5;33;17,20;3,188;0,0001;7,50;9135,87;3430,82
-1 ;901D;4660;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5541;0,4459;0,00;0,00;0,00;0,0036;0,0028;0,003;0,0069;0,0047;0,0333;0,0367;0,0695;0,0603;0,0633;0,0809;0,2303;0,165;0,2397;0,1302;0,7758;0,0941;3;27;13,10;2,184;0,0017;6,50;6259,71;3024,36
-1 ;902Z;1304;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4831;0,5169;0,00;0,00;0,0023;0,0084;0,0077;0,0054;0,0069;0,0061;0,0376;0,0391;0,0813;0,066;0,0706;0,0836;0,2293;0,1664;0,1894;0,1695;0,7494;0,081;2;23;10,10;1,563;0,0005;6,10;4479,96;2100,07
-1 ;960Z;12;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,25;0,4167;0,00;0,00;0,00;0,00;0,00;0,0833;0,00;0,00;0,1667;0,00;0,00;0,0833;0,00;0,00;0,00;1,00;0,00;;;3,40;;0,00;4,30;0,00;0,00
-1 ;961Z;30;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4667;0,5333;0,00;0,9333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0333;0,00;0,00;0,00;0,0333;0,00;0,00;0,00;1,00;0,00;;;1,00;;0,00;0,00;0,00;0,00
-1 ;962Z;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;;;0,00;0,00;0,00;0,00;0,00
-1 ;963Z;15;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6667;0,3333;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2174;0,6522;0,1304;1;15;5,90;1,131;0,00;3,90;3241,05;2407,19
00 ;A01A;24;0,00;0,00;0,00;0,00;0,00;0,0417;0,9583;0,50;0,50;0,00;0,00;0,0417;0,0417;0,0417;0,0417;0,00;0,00;0,0417;0,1667;0,0833;0,2083;0,1667;0,125;0,0417;0,00;0,00;0,0962;0,4615;0,4423;14;64;45,50;28,525;0,00;16,00;81743,00;20178,80
00 ;A01B;83;0,00;0,00;0,00;0,00;0,0361;0,4096;0,5542;0,6024;0,3976;0,00;0,00;0,0964;0,1084;0,0241;0,00;0,0361;0,0241;0,0241;0,0843;0,0964;0,1687;0,1205;0,1687;0,0482;0,00;0,00;0,0315;0,6535;0,315;11;55;37,00;17,69;0,00;12,70;50693,75;14833,36
00 ;A01C;117;0,00;0,00;0,00;0,0171;0,1282;0,547;0,3077;0,6838;0,3162;0,00;0,00;0,00;0,00;0,00;0,0171;0,0171;0,0256;0,0769;0,0684;0,2222;0,0769;0,2393;0,1709;0,0855;0,00;0,00;0,00;0,8298;0,1702;7;43;24,60;11,52;0,00;9,20;33012,12;10476,68
00 ;A02Z;36;0,00;0,00;0,0833;0,1944;0,3333;0,3333;0,0556;0,6111;0,3889;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0556;0,25;0,4444;0,1667;0,0556;0,0278;0,00;0,00;0,00;0,00;0,8571;0,1429;7;40;23,80;10,535;0,00;7,60;30189,04;8347,99
00 ;A03A;24;0,00;0,0417;0,00;0,00;0,0833;0,2083;0,6667;0,6667;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0417;0,0417;0,25;0,2083;0,125;0,25;0,0833;0,00;0,00;0,0294;0,7059;0,2647;13;59;40,80;30,449;0,00;12,80;87258,99;19414,21
00 ;A03B;121;0,00;0,00;0,0083;0,0413;0,2562;0,5289;0,1653;0,5289;0,4711;0,00;0,00;0,00;0,00;0,00;0,0083;0,0165;0,0165;0,0744;0,0992;0,1653;0,1983;0,2231;0,1901;0,0083;0,00;0,00;0,0135;0,8176;0,1689;8;44;27,80;15,803;0,00;7,60;45286,80;14666,11
00 ;A04B;26;0,00;0,00;0,00;0,00;0,0385;0,2692;0,6923;0,4615;0,5385;0,00;0,00;0,00;0,0769;0,0769;0,1923;0,2692;0,1538;0,0385;0,0385;0,0385;0,00;0,1154;0,00;0,00;0,00;0,00;0,00;0,8125;0,1875;14;64;45,70;31,415;0,00;10,30;90026,78;21336,29
