IP_DRG;IP_CodeF;IP_Anzahl;IP_Prozent;IP_AnzahlN;IP_ProzentN
C03B;5-144.5a;95;0,5793;95;0,1397
C03B;5-159.4;75;0,4573;75;0,1103
C03B;5-158.22;67;0,4085;67;0,0985
C03B;5-144.3a;58;0,3537;58;0,0853
C03B;1-220.0;55;0,3354;58;0,0853
C03B;5-158.20;43;0,2622;43;0,0632
C03B;5-984;40;0,2439;41;0,0603
C03B;5-986.x;40;0,2439;40;0,0588
C03B;5-115;20;0,122;20;0,0294
C03B;5-158.21;19;0,1159;19;0,0279
C03B;5-138.10;18;0,1098;18;0,0265
C03B;5-158.10;17;0,1037;17;0,025
C03B;5-155.4;16;0,0976;16;0,0235
C03B;5-156.9;12;0,0732;12;0,0176
C03B;5-154.2;11;0,0671;11;0,0162
C03B;5-155.1;11;0,0671;11;0,0162
C03B;5-139.x;10;0,061;10;0,0147
C03B;5-155.0;7;0,0427;7;0,0103
C03B;5-154.0;6;0,0366;6;0,0088
C03B;5-158.11;5;0,0305;5;0,0074
C03C;5-159.4;263;0,5239;263;0,1171
C03C;5-984;248;0,494;249;0,1109
C03C;5-986.x;247;0,492;247;0,11
C03C;5-158.42;234;0,4661;234;0,1042
C03C;5-158.40;151;0,3008;151;0,0672
C03C;5-154.4;135;0,2689;135;0,0601
C03C;5-155.1;129;0,257;129;0,0574
C03C;5-138.10;90;0,1793;90;0,0401
C03C;5-115;84;0,1673;84;0,0374
C03C;5-154.0;72;0,1434;72;0,0321
C03C;1-220.0;70;0,1394;90;0,0401
C03C;5-155.3;68;0,1355;68;0,0303
C03C;5-139.x;66;0,1315;66;0,0294
C03C;5-154.2;44;0,0876;44;0,0196
C03C;5-155.0;36;0,0717;36;0,016
C03C;5-155.4;30;0,0598;30;0,0134
C03C;5-158.43;30;0,0598;30;0,0134
C03C;5-142.1;24;0,0478;24;0,0107
C03C;5-152.2;23;0,0458;23;0,0102
C03C;5-158.41;22;0,0438;22;0,0098
C03C;5-158.12;16;0,0319;16;0,0071
C03C;5-158.45;15;0,0299;15;0,0067
C03C;5-158.13;13;0,0259;13;0,0058
C03C;5-156.9;10;0,0199;10;0,0045
C03C;5-139.10;9;0,0179;10;0,0045
C03C;8-901;8;0,0159;8;0,0036
C03C;5-158.44;6;0,012;6;0,0027
C03C;5-139.0;5;0,01;5;0,0022
C03C;5-139.11;5;0,01;5;0,0022
C03C;5-155.2;5;0,01;5;0,0022
C03C;5-983;5;0,01;5;0,0022
C03C;5-155.7;4;0,008;4;0,0018
C03C;5-156.0;4;0,008;4;0,0018
C03C;5-156.1;4;0,008;4;0,0018
C03C;5-158.10;4;0,008;4;0,0018
C03C;5-158.22;4;0,008;4;0,0018
C03D;5-159.4;187;0,3953;187;0,1265
C03D;1-220.0;185;0,3911;197;0,1333
C03D;5-158.22;158;0,334;158;0,1069
C03D;5-984;99;0,2093;99;0,067
C03D;5-986.x;95;0,2008;95;0,0643
C03D;5-158.10;87;0,1839;87;0,0589
C03D;5-158.12;50;0,1057;50;0,0338
C03D;5-158.20;48;0,1015;48;0,0325
