IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_PCCL7;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
11 ;L06B;115;0,7826;0,1217;0,0348;0,0609;0,00;0,00;0,00;0,00;0,3391;0,6609;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0174;0,0783;0,0957;0,1043;0,0522;0,2609;0,2348;0,1565;0,2308;0,6805;0,0888;1;8;3,60;0,543;0,005;1,50;1554,74;514,40
11 ;L17B;100;0,73;0,12;0,08;0,05;0,01;0,01;0,00;0,00;0,67;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,03;0,04;0,10;0,05;0,08;0,03;0,29;0,12;0,25;0,2838;0,6757;0,0405;1;7;3,30;0,405;0,0044;1,50;1160,23;350,34
11 ;L20B;109;0,6422;0,2018;0,0917;0,0642;0,00;0,00;0,00;0,00;0,6789;0,3211;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0092;0,0183;0,055;0,0642;0,0826;0,1284;0,2569;0,1835;0,2018;0,125;0,8015;0,0735;1;7;3,70;0,651;0,0048;1,40;1865,28;458,94
11 ;L20C;533;0,7392;0,1538;0,0694;0,0375;0,00;0,00;0,00;0,00;0,7336;0,2664;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0075;0,0188;0,075;0,075;0,0788;0,0957;0,3002;0,2064;0,1426;0,1132;0,8381;0,0487;1;8;3,70;0,503;0,0234;1,40;1441,81;499,69
11 ;L63F;118;0,678;0,1441;0,1356;0,0424;0,00;0,00;0,00;0,00;0,3983;0,6017;0,00;0,00;0,00;0,00;0,00;0,0339;0,0508;0,0085;0,1441;0,0424;0,1017;0,0593;0,0678;0,0678;0,1441;0,0932;0,1864;0,0667;0,8741;0,0593;1;7;4,00;0,336;0,0052;1,20;961,69;305,70
11 ;L64A;189;0,6772;0,1534;0,1058;0,0635;0,00;0,00;0,00;0,00;0,6561;0,3439;0,00;0,00;0,00;0,00;0,00;0,00;0,0053;0,00;0,0106;0,0476;0,1058;0,0476;0,0476;0,0529;0,2169;0,1376;0,328;0,2867;0,6774;0,0358;1;8;3,20;0,40;0,0083;1,70;1147,62;424,11
11 ;L64C;77;0,7403;0,1818;0,0779;0,00;0,00;0,00;0,00;0,00;0,6623;0,3377;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,013;0,0519;0,1039;0,1948;0,1688;0,0779;0,0649;0,1948;0,0649;0,0649;0,4904;0,4904;0,0191;1;5;2,50;0,245;0,0034;0,60;701,63;110,73
12 ;M02B;387;0,739;0,1214;0,0982;0,0413;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0078;0,0258;0,0749;0,1395;0,3747;0,2687;0,1085;0,00;0,9258;0,0742;1;10;5,50;0,694;0,017;1,50;1989,32;486,95
12 ;M04D;90;0,90;0,0889;0,0111;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0111;0,00;0,1222;0,0667;0,1222;0,1222;0,1222;0,1222;0,1778;0,0556;0,0778;0,3265;0,6122;0,0612;1;6;3,00;0,437;0,0039;1,00;1253,16;270,32
13 ;N05B;75;0,8933;0,08;0,0267;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0133;0,0533;0,08;0,20;0,20;0,1333;0,1333;0,16;0,0267;0,00;0,1505;0,8065;0,043;1;8;3,80;0,686;0,0033;1,70;1964,93;359,39
13 ;N06Z;102;0,8922;0,0392;0,049;0,0196;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0196;0,1078;0,1176;0,098;0,1176;0,3039;0,1667;0,0686;0,018;0,9189;0,0631;1;10;5,20;0,773;0,0045;2,00;2216,36;635,55
13 ;N07Z;153;0,915;0,0523;0,0327;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0588;0,2549;0,5033;0,0915;0,0392;0,0261;0,0196;0,0065;0,00;0,0663;0,9217;0,012;1;9;5,00;0,664;0,0067;1,60;1902,43;294,82
13 ;N14Z;192;0,9271;0,0469;0,0208;0,00;0,0052;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0417;0,1875;0,1406;0,1458;0,1615;0,2031;0,0885;0,0313;0,00;1,00;0,00;1;13;6,80;0,916;0,0084;2,50;2625,26;656,33
13 ;N21Z;190;0,9053;0,0737;0,0211;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0053;0,1263;0,6105;0,1842;0,0421;0,0105;0,0158;0,0053;0,00;0,005;0,9453;0,0498;1;9;5,60;0,782;0,0083;1,40;2240,03;338,65
14 ;O01E;179;0,8436;0,0838;0,0503;0,0223;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0056;0,0056;0,4022;0,5531;0,0335;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9728;0,0272;1;10;5,60;0,857;0,0078;1,50;2456,30;354,10
14 ;O01F;325;0,8738;0,0769;0,0338;0,0154;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0062;0,48;0,4831;0,0308;0,00;0,00;0,00;0,00;0,00;0,00;0,0205;0,9531;0,0264;1;9;5,30;0,775;0,0143;1,40;2219,85;419,75
14 ;O01G;75;0,84;0,12;0,0267;0,0133;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3467;0,60;0,0533;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9146;0,0854;1;10;5,40;0,726;0,0033;1,90;2079,15;361,54
14 ;O01H;312;0,9167;0,0513;0,0288;0,0032;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0064;0,4135;0,5353;0,0449;0,00;0,00;0,00;0,00;0,00;0,00;0,0031;0,9689;0,028;1;8;4,90;0,656;0,0137;1,30;1880,49;228,41
14 ;O60C;320;0,7188;0,2406;0,0344;0,0063;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0031;0,4125;0,5438;0,0406;0,00;0,00;0,00;0,00;0,00;0,00;0,0587;0,8939;0,0475;1;7;3,90;0,483;0,014;1,30;1383,61;282,99
14 ;O60D;1721;0,7995;0,1819;0,018;0,0006;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0012;0,0041;0,4323;0,5334;0,0291;0,00;0,00;0,00;0,00;0,00;0,00;0,0886;0,8968;0,0146;1;7;3,70;0,425;0,0755;1,00;1218,94;222,30
14 ;O65B;469;0,9232;0,0576;0,0192;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0171;0,58;0,3859;0,0171;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9232;0,0768;;9;3,80;0,277;0,0206;2,20;793,30;294,57
15 ;P60C;116;0,8017;0,00;0,0086;0,181;0,0086;0,00;0,00;0,00;0,569;0,431;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;;1,30;0,103;0,0051;0,60;294,50;178,88
15 ;P66D;108;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,4259;0,5741;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,973;0,027;1;9;5,30;0,302;0,0047;1,40;866,01;243,75
15 ;P67C;162;0,9506;0,00;0,037;0,0123;0,00;0,00;0,00;0,00;0,537;0,463;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,9701;0,0299;1;9;4,80;0,325;0,0071;1,50;931,79;239,63
15 ;P67D;3478;0,9997;0,00;0,00;0,0003;0,00;0,00;0,00;0,00;0,5029;0,4971;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0476;0,9143;0,0381;1;7;3,90;0,225;0,1525;1,20;644,71;164,82
