IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
B71D;1;0,98;393,28;3,57;18,42;0,00;0,00;34,87;0,00;105,97;471,43;1028,52
B71D;4;0,00;0,00;10,69;1,20;0,09;0,00;7,24;0,58;7,56;18,44;45,80
B71D;5;0,27;0,00;0,51;0,01;0,00;0,00;0,10;0,00;0,06;0,00;0,95
B71D;7;2,68;0,00;3,51;0,31;0,00;0,00;2,79;2,11;0,62;1,62;13,64
B71D;8;2,35;0,00;3,69;0,19;0,00;0,00;1,32;0,00;1,42;1,45;10,42
B71D;9;3,89;0,00;6,39;0,33;0,00;0,00;1,27;18,26;1,57;4,27;35,98
B71D;10;0,18;0,00;3,94;0,26;0,00;0,00;2,34;7,79;0,32;1,34;16,17
B71D;11;9,83;0,00;151,95;0,23;0,00;0,00;2,90;0,00;2,71;52,24;219,86
C03B;1;0,00;313,71;0,67;21,20;0,03;0,00;18,76;6,83;79,83;295,55;736,58
C03B;2;1,00;1,81;0,21;0,20;0,00;0,00;0,39;0,00;0,18;0,81;4,60
C03B;4;0,00;0,00;166,16;16,35;35,34;50,68;134,25;220,99;84,21;135,47;843,45
C03B;5;101,58;0,00;56,44;4,20;0,00;0,00;13,75;0,00;16,16;27,70;219,83
C03B;7;0,49;0,00;0,26;0,01;0,00;0,00;0,10;0,07;0,06;0,17;1,16
C03B;8;0,11;0,00;0,05;0,00;0,00;0,00;0,05;0,00;0,06;0,06;0,33
C03B;9;1,16;0,00;1,24;0,00;0,00;0,00;0,01;0,49;0,31;0,78;3,99
C03B;10;0,25;0,00;2,47;0,21;0,00;0,00;2,21;0,16;0,31;1,14;6,75
C03B;11;3,18;0,00;3,21;0,04;0,00;0,00;0,72;0,23;0,42;1,89;9,69
C03C;1;0,00;285,73;0,76;18,58;0,64;0,00;22,35;1,34;82,62;276,89;688,91
C03C;2;0,22;0,40;0,05;0,04;0,00;0,00;0,09;0,00;0,05;0,23;1,08
C03C;4;0,00;0,00;99,61;12,76;11,89;18,19;77,20;171,53;48,98;90,60;530,76
