IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
08 ;I98Z;542;0,107;0,1125;0,1292;0,297;0,1753;0,1421;0,0369;0,6162;0,3838;0,00;0,00;0,0018;0,00;0,00;0,0037;0,0074;0,0037;0,0683;0,0609;0,0941;0,0959;0,0886;0,0849;0,2085;0,1328;0,1494;0,0041;0,7466;0,2493;11;53;35,00;6,14;0,0002;11,60;17956,57;7322,65
09 ;J01Z;401;0,7357;0,0673;0,0474;0,1496;0,00;0,00;0,00;0,0648;0,9352;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0324;0,1147;0,2793;0,2419;0,1297;0,0948;0,0823;0,0175;0,0075;0,0023;0,9176;0,0801;2;17;10,00;4,036;0,0002;3,00;11836,23;3237,42
09 ;J02A;257;0,00;0,00;0,00;0,00;0,5953;0,3696;0,035;0,4747;0,5253;0,00;0,00;0,00;0,00;0,00;0,00;0,0039;0,00;0,0272;0,0311;0,1401;0,1245;0,0817;0,0973;0,1712;0,0973;0,2257;0,0192;0,8211;0,1597;7;43;24,60;4,968;0,0001;8,80;14529,97;6620,81
09 ;J02B;465;0,1355;0,0473;0,0645;0,1505;0,4065;0,1763;0,0194;0,4882;0,5118;0,00;0,00;0,00;0,00;0,00;0,0022;0,0043;0,0022;0,028;0,0258;0,043;0,0387;0,0473;0,071;0,2194;0,1591;0,3591;0,0672;0,8017;0,131;6;39;21,00;3,47;0,0002;8,50;10137,18;4474,68
09 ;J02C;720;0,3792;0,1625;0,1444;0,3139;0,00;0,00;0,00;0,475;0,525;0,00;0,00;0,0028;0,0014;0,00;0,0042;0,00;0,0028;0,0222;0,0486;0,0653;0,0542;0,075;0,0611;0,1875;0,1764;0,2986;0,0843;0,82;0,0957;4;30;15,20;2,063;0,0003;7,20;6019,51;2635,96
09 ;J03Z;581;0,3546;0,1652;0,222;0,2031;0,043;0,012;0,00;0,4854;0,5146;0,00;0,00;0,00;0,0017;0,00;0,0052;0,0034;0,0017;0,0172;0,0379;0,0654;0,0499;0,0396;0,0775;0,1842;0,1601;0,3563;0,0761;0,8507;0,0732;2;20;9,90;1,218;0,0002;4,70;3546,84;1487,46
09 ;J04Z;711;0,692;0,0985;0,1322;0,0591;0,0169;0,0014;0,00;0,4374;0,5626;0,00;0,00;0,00;0,00;0,0014;0,0056;0,007;0,0056;0,0323;0,0422;0,0872;0,0619;0,0563;0,0689;0,2391;0,1646;0,2278;0,1504;0,7805;0,0692;1;11;4,20;0,718;0,0003;2,70;2093,99;1003,82
09 ;J06Z;834;0,7038;0,1523;0,0959;0,0432;0,0048;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,018;0,1115;0,3022;0,2074;0,1367;0,1055;0,0899;0,0264;0,0024;0,0022;0,9246;0,0732;1;13;7,00;2,091;0,0003;2,60;6142,00;1689,02
09 ;J07A;368;0,625;0,1549;0,1033;0,1033;0,0136;0,00;0,00;0,0082;0,9918;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0326;0,1495;0,1658;0,1141;0,1359;0,2201;0,1141;0,0679;0,0126;0,927;0,0605;1;11;5,60;1,788;0,0001;2,30;5236,26;1533,67
09 ;J07B;5577;0,7958;0,1133;0,0429;0,0438;0,0041;0,0002;0,00;0,0025;0,9975;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,002;0,0262;0,1321;0,1512;0,1289;0,147;0,253;0,0999;0,0597;0,0103;0,9457;0,0439;1;9;4,80;1,356;0,0021;1,70;3972,04;984,32
