IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_PCCL5;IK_PCCL6;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD;IK_KOST_MW;IK_KOST_STD
11 ;L20C;503;0,7972;0,1233;0,0557;0,0239;0,00;0,00;0,00;0,7396;0,2604;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,006;0,0318;0,0696;0,0696;0,0755;0,0994;0,2684;0,1968;0,1829;0,1584;0,7811;0,0606;1;7;3,50;0,494;0,0193;1,40;1444,17;395,04
11 ;L63F;120;0,7167;0,175;0,0667;0,0417;0,00;0,00;0,00;0,40;0,60;0,00;0,00;0,00;0,00;0,00;0,0167;0,025;0,0583;0,15;0,075;0,0833;0,1167;0,05;0,025;0,0833;0,1083;0,2083;0,1503;0,7843;0,0654;1;9;4,10;0,34;0,0046;2,00;989,96;337,99
11 ;L64A;156;0,7051;0,1474;0,0833;0,0641;0,00;0,00;0,00;0,6667;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0064;0,00;0,0577;0,0833;0,0641;0,0833;0,0962;0,1987;0,1474;0,2628;0,4424;0,486;0,0717;1;7;3,20;0,399;0,006;1,40;1165,77;321,91
11 ;L64C;84;0,869;0,119;0,0119;0,00;0,00;0,00;0,00;0,6905;0,3095;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,1667;0,1905;0,1429;0,0833;0,0476;0,1548;0,0952;0,0357;0,4172;0,5153;0,0675;1;5;2,60;0,246;0,0032;0,90;715,57;144,32
12 ;M02B;350;0,7571;0,1286;0,0571;0,0571;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0114;0,0286;0,06;0,1171;0,3857;0,2686;0,1286;0,0081;0,9459;0,0459;1;10;5,30;0,693;0,0135;1,80;2025,86;469,68
12 ;M04D;86;0,9419;0,0349;0,0233;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0349;0,0465;0,0698;0,1628;0,1163;0,0581;0,186;0,1977;0,1047;0,0233;0,2756;0,6772;0,0472;1;6;3,00;0,441;0,0033;0,90;1284,89;228,61
13 ;N06Z;89;0,9438;0,0225;0,0225;0,0112;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0112;0,1011;0,1011;0,1124;0,1011;0,3258;0,2135;0,0337;0,0309;0,9175;0,0515;1;11;5,40;0,767;0,0034;2,20;2242,91;714,39
13 ;N07Z;156;0,9679;0,0192;0,0128;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0064;0,0192;0,2436;0,5641;0,141;0,0064;0,0128;0,00;0,0064;0,00;0,1771;0,8125;0,0104;1;9;4,80;0,666;0,006;1,70;1944,02;294,31
13 ;N14Z;186;0,9839;0,0161;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0054;0,0538;0,1882;0,129;0,0968;0,1398;0,1882;0,1398;0,0591;0,00;0,949;0,051;1;12;6,50;0,92;0,0072;2,20;2684,26;655,13
13 ;N21A;183;0,9344;0,0492;0,0164;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1694;0,5519;0,1694;0,0383;0,0273;0,0383;0,0055;0,00;0,0053;0,9632;0,0316;1;9;5,60;0,85;0,007;1,30;2477,27;472,33
