IO_DRG;IO_BereichNr;IO_KArt1;IO_KArt2;IO_KArt3;IO_KArt4a;IO_KArt4b;IO_KArt5;IO_KArt6a;IO_KArt6b;IO_KArt7;IO_KArt8;IO_Summe
801A;1;979,25;2067,26;78,37;190,38;146,55;0,00;177,59;16,80;501,89;1472,91;5631,00
801A;2;1023,45;2072,85;21,21;215,95;142,20;0,00;398,95;13,26;365,63;931,28;5184,78
801A;4;316,96;0,00;251,82;10,03;5,31;295,93;151,01;111,08;144,57;222,24;1508,95
801A;5;227,06;0,00;151,50;13,22;8,81;0,00;47,95;0,22;31,61;59,51;539,88
801A;6;0,24;0,00;0,58;0,04;0,00;0,00;0,09;0,00;0,09;0,24;1,28
801A;7;28,25;0,00;29,82;2,62;0,00;24,76;12,81;46,04;12,56;20,37;177,23
801A;8;68,07;0,00;76,40;3,36;0,03;0,02;29,16;12,00;36,94;48,66;274,64
801A;9;218,33;0,00;191,17;2,27;8,64;174,18;38,10;171,79;98,12;161,87;1064,47
801A;10;79,98;0,00;307,96;26,19;491,50;0,00;246,98;136,12;48,68;142,51;1479,92
801A;11;212,59;7,56;268,00;2,38;0,01;0,00;18,43;26,62;27,30;115,16;678,05
801B;1;889,59;1654,14;89,13;151,58;41,66;0,00;149,83;23,62;442,24;1298,60;4740,39
801B;2;407,42;775,24;14,19;82,67;26,11;0,00;126,45;4,27;150,96;367,66;1954,97
801B;4;562,36;0,00;415,87;16,79;22,14;326,06;239,29;278,23;230,05;309,55;2400,34
801B;5;387,56;0,00;250,35;21,38;2,81;0,00;76,65;3,41;53,03;101,76;896,95
801B;7;9,84;0,00;10,89;0,77;0,01;6,43;5,24;18,43;4,26;6,27;62,14
801B;8;43,23;0,00;43,00;1,55;0,32;6,99;15,69;15,03;19,65;28,55;174,01
801B;9;135,98;0,00;132,98;1,95;2,54;36,43;21,94;84,62;53,79;87,89;558,12
801B;10;45,54;0,00;156,20;7,47;103,59;0,00;112,92;123,70;21,39;69,29;640,10
801B;11;113,71;8,59;226,88;2,91;0,48;0,06;15,80;21,64;21,76;95,29;507,12
801C;1;818,66;1671,67;77,68;126,61;33,80;0,00;144,73;13,30;397,18;1196,35;4479,98
801C;2;239,64;456,07;7,29;43,10;17,33;0,00;66,32;5,18;89,81;219,75;1144,49
801C;4;367,90;0,00;282,13;10,98;12,02;406,86;173,22;154,18;178,63;213,69;1799,61
801C;5;265,78;0,00;177,83;14,75;0,79;0,00;53,90;2,44;36,33;72,77;624,59
801C;7;3,72;0,00;5,47;0,41;0,00;1,58;2,80;15,28;1,71;2,65;33,62
801C;8;28,15;0,00;34,86;1,16;0,02;8,45;14,41;7,61;13,03;19,47;127,16
801C;9;128,16;0,00;113,75;1,75;1,98;20,22;26,62;104,16;50,74;80,08;527,46
801C;10;26,89;0,00;98,65;4,76;73,46;0,00;72,70;88,04;14,47;43,05;422,02
801C;11;108,87;8,01;250,42;4,29;0,01;0,00;18,11;42,36;22,38;104,36;558,81
801D;1;690,02;1273,47;61,69;107,73;28,99;0,00;107,05;16,22;343,93;1033,56;3662,66
801D;2;222,31;416,57;9,14;43,60;12,86;0,20;68,22;2,86;87,94;212,25;1075,95
801D;4;218,60;0,00;180,94;6,81;4,21;156,27;101,27;80,36;108,38;133,20;990,04
801D;5;175,29;0,00;115,92;9,43;0,52;0,00;33,63;0,69;23,13;46,71;405,32
801D;6;0,06;0,00;0,17;0,01;0,00;0,00;0,02;0,00;0,01;0,09;0,36
801D;7;54,99;0,00;60,45;3,92;1,04;97,48;28,41;123,80;23,35;41,03;434,47
801D;8;37,41;0,00;38,17;1,54;0,08;8,60;18,49;13,10;17,36;24,51;159,26
801D;9;111,75;0,00;110,19;1,67;3,13;26,94;23,52;94,56;45,43;72,81;490,00
801D;10;20,88;0,00;92,92;4,76;55,14;0,00;73,42;67,03;12,43;40,84;367,42
801D;11;113,08;5,24;173,59;3,18;0,17;0,04;17,54;24,03;21,95;81,97;440,79
801E;1;539,91;909,16;49,39;77,16;22,18;0,00;70,72;10,75;271,08;807,47;2757,82
801E;2;72,73;145,63;2,05;13,52;1,98;0,00;22,07;0,15;28,86;71,96;358,95
801E;4;108,10;0,00;91,62;3,85;0,48;66,14;52,79;24,62;55,04;71,45;474,09
801E;5;90,07;0,00;60,58;5,12;0,28;0,00;17,72;0,35;12,50;24,77;211,39
801E;7;76,67;0,00;93,00;6,20;1,30;84,37;42,51;194,28;31,81;56,92;587,06
801E;8;29,26;0,00;32,83;1,19;0,06;3,16;15,18;8,09;14,45;19,52;123,74
801E;9;76,52;0,00;78,06;1,55;1,49;9,23;17,99;64,00;32,76;51,43;333,03
801E;10;14,33;0,00;61,80;2,88;14,17;0,00;48,74;39,06;8,12;26,70;215,80
801E;11;105,45;5,37;127,43;2,86;0,02;0,00;14,36;11,14;19,39;63,35;349,37
802A;1;561,58;929,21;56,57;86,71;18,52;0,00;81,47;22,59;276,31;836,99;2869,95
802A;2;61,56;123,71;2,12;11,74;2,08;0,00;20,33;0,88;25,00;67,24;314,66
802A;4;130,72;0,00;118,96;4,36;1,70;39,13;64,44;40,29;67,42;89,90;556,92
802A;5;113,31;0,00;78,82;6,48;0,71;0,00;23,29;1,04;15,74;31,80;271,19
802A;6;0,09;0,00;0,25;0,02;0,00;0,00;0,04;0,00;0,03;0,14;0,57
802A;7;14,91;0,00;15,86;1,26;0,05;2,60;8,45;32,44;6,19;11,19;92,95
802A;8;36,25;0,00;38,16;1,93;0,06;0,10;20,93;8,39;17,76;23,94;147,52
802A;9;104,87;0,00;102,64;1,77;1,99;3,37;30,84;109,67;42,38;70,14;467,67
802A;10;22,74;0,00;78,64;3,10;16,42;0,00;58,32;73,64;10,50;36,44;299,80
802A;11;97,46;4,65;108,66;2,16;0,02;0,00;15,53;7,20;18,35;56,20;310,23
802B;1;379,75;607,37;32,75;52,42;15,78;0,00;54,60;7,35;189,66;565,90;1905,58
802B;2;24,31;40,62;0,83;3,74;0,06;0,00;5,67;0,06;11,82;24,03;111,14
802B;4;133,88;0,00;130,68;4,96;3,44;694,74;72,71;86,51;71,07;97,55;1295,54
802B;5;125,96;0,00;84,42;6,88;0,64;0,00;23,73;0,45;16,38;35,50;293,96
802B;6;0,11;0,00;0,51;0,03;0,00;0,00;0,07;0,00;0,09;0,18;0,99
802B;7;0,69;0,00;1,25;0,04;0,01;0,00;0,49;1,49;0,53;0,55;5,05
802B;8;37,95;0,00;42,12;1,48;0,03;1,90;17,15;19,66;18,27;25,65;164,21
802B;9;36,05;0,00;35,12;0,41;0,98;0,03;5,27;21,05;14,59;22,47;135,97
802B;10;10,03;0,00;39,16;1,52;12,19;0,00;29,36;38,35;5,55;18,10;154,26
802B;11;56,84;2,45;64,43;1,55;0,00;0,00;8,41;4,34;10,02;32,84;180,88
802C;1;333,75;531,95;30,73;45,93;10,28;0,00;45,92;9,56;163,37;485,45;1656,94
802C;2;17,23;30,40;0,90;3,14;0,04;0,00;4,20;0,47;5,82;15,51;77,71
802C;4;123,30;0,00;115,35;4,20;2,83;17,32;56,34;47,61;62,97;86,17;516,09
802C;5;109,61;0,00;76,13;6,68;1,73;0,00;22,63;0,76;14,67;30,44;262,65
802C;6;0,67;0,00;1,95;0,10;0,00;0,00;0,21;0,00;0,27;1,13;4,33
802C;7;5,53;0,00;7,21;0,65;0,35;0,06;2,76;9,96;2,27;4,08;32,87
802C;8;8,29;0,00;9,28;0,33;0,01;0,02;4,08;1,60;4,12;5,92;33,65
802C;9;36,34;0,00;36,69;0,65;0,95;0,50;7,87;27,09;15,29;25,72;151,10
802C;10;11,36;0,00;35,94;1,38;8,82;0,00;27,08;30,00;5,79;16,63;137,00
802C;11;52,01;2,30;65,56;1,51;0,07;0,00;7,24;1,93;10,14;32,77;173,53
802D;1;231,21;396,48;25,94;31,01;3,39;0,00;34,05;10,83;115,91;349,38;1198,20
802D;2;20,75;35,41;1,62;2,98;0,00;0,00;4,35;0,22;7,00;18,45;90,78
802D;4;100,44;0,00;99,66;3,65;1,97;0,38;49,78;9,51;51,81;75,03;392,23
802D;5;94,33;0,00;65,95;6,54;0,22;0,00;20,30;0,13;12,93;27,93;228,33
