IN_DRG;IN_CodeF;IN_Anzahl;IN_Prozent;IN_AnzahlN;IN_ProzentN
B71D;M53.1;35;0,3684;35;0,0751
B71D;M54.4;32;0,3368;32;0,0687
B71D;M53.0;25;0,2632;25;0,0536
B71D;M79.11;22;0,2316;22;0,0472
B71D;I10.00;14;0,1474;14;0,03
B71D;M47.86;10;0,1053;10;0,0215
B71D;F45.41;8;0,0842;8;0,0172
B71D;E11.90;7;0,0737;7;0,015
B71D;G63.2;7;0,0737;7;0,015
B71D;M54.99;7;0,0737;7;0,015
B71D;M75.4;7;0,0737;7;0,015
B71D;M79.70;7;0,0737;7;0,015
B71D;M99.81;7;0,0737;7;0,015
B71D;R26.8;7;0,0737;7;0,015
B71D;G55.3;6;0,0632;6;0,0129
B71D;M42.16;6;0,0632;6;0,0129
B71D;R42;6;0,0632;6;0,0129
B71D;Z92.2;6;0,0632;6;0,0129
B71D;Z96.6;6;0,0632;6;0,0129
B71D;M17.9;5;0,0526;5;0,0107
B71D;M25.56;5;0,0526;5;0,0107
B71D;M47.82;5;0,0526;5;0,0107
B71D;M50.2;5;0,0526;5;0,0107
B71D;M62.88;5;0,0526;5;0,0107
B71D;M99.61;5;0,0526;5;0,0107
B71D;Z92.1;5;0,0526;5;0,0107
B71D;M25.51;4;0,0421;4;0,0086
B71D;M42.10;4;0,0421;4;0,0086
B71D;M47.22;4;0,0421;4;0,0086
B71D;M54.12;4;0,0421;4;0,0086
B71D;Z74.1;4;0,0421;4;0,0086
C03B;I10.90;155;0,3799;155;0,1099
C03B;Z96.1;89;0,2181;89;0,0631
C03B;H25.1;72;0,1765;72;0,0511
C03B;H25.8;66;0,1618;66;0,0468
C03B;Z92.2;53;0,1299;53;0,0376
C03B;Z98.8;49;0,1201;49;0,0348
C03B;H35.3;46;0,1127;46;0,0326
C03B;E11.90;43;0,1054;43;0,0305
C03B;E03.9;36;0,0882;36;0,0255
C03B;H52.4;33;0,0809;33;0,0234
C03B;H52.2;27;0,0662;27;0,0191
C03B;E11.30;24;0,0588;27;0,0191
C03B;H26.9;21;0,0515;21;0,0149
C03B;H40.1;20;0,049;20;0,0142
C03B;I10.00;19;0,0466;19;0,0135
C03B;H52.1;18;0,0441;18;0,0128
C03B;H36.0;17;0,0417;17;0,0121
C03B;H52.0;17;0,0417;17;0,0121
C03B;H40.0;16;0,0392;16;0,0113
C03B;I49.9;16;0,0392;16;0,0113
C03B;Z92.1;16;0,0392;16;0,0113
C03B;E78.2;15;0,0368;15;0,0106
C03B;H11.3;15;0,0368;15;0,0106
C03B;H35.8;15;0,0368;15;0,0106
C03B;H54.4;12;0,0294;12;0,0085
C03B;J45.9;12;0,0294;12;0,0085
C03B;H33.3;11;0,027;11;0,0078
C03B;H43.1;10;0,0245;10;0,0071
C03B;Z88.9;10;0,0245;10;0,0071
C03B;H43.8;9;0,0221;9;0,0064
C03B;H54.5;9;0,0221;9;0,0064
C03B;H11.9;8;0,0196;8;0,0057
C03B;H26.4;8;0,0196;8;0,0057
C03B;H44.4;8;0,0196;8;0,0057
C03B;Z48.8;7;0,0172;7;0,005
C03B;Z95.0;7;0,0172;7;0,005
C03B;E10.30;6;0,0147;6;0,0043
C03B;E78.5;6;0,0147;6;0,0043
C03B;H25.9;6;0,0147;6;0,0043
C03B;H35.6;6;0,0147;6;0,0043
C03B;H47.2;6;0,0147;6;0,0043
C03B;H54.1;6;0,0147;6;0,0043
C03B;H57.8;6;0,0147;6;0,0043
C03B;S00.1;6;0,0147;6;0,0043
C03B;H17.9;5;0,0123;5;0,0035
C03B;H40.5;5;0,0123;5;0,0035
C03B;H43.3;5;0,0123;5;0,0035
C03B;H54.2;5;0,0123;5;0,0035
C03B;Z86.7;5;0,0123;5;0,0035
C03B;H04.1;4;0,0098;4;0,0028
C03B;H11.4;4;0,0098;4;0,0028
C03B;H18.2;4;0,0098;4;0,0028
C03B;H33.0;4;0,0098;4;0,0028
C03B;H33.2;4;0,0098;4;0,0028
C03B;H43.2;4;0,0098;4;0,0028
C03B;I25.19;4;0,0098;4;0,0028
C03B;I25.29;4;0,0098;4;0,0028
C03B;N40;4;0,0098;4;0,0028
C03B;Q14.2;4;0,0098;4;0,0028
C03B;R52.9;4;0,0098;4;0,0028
C03B;S05.0;4;0,0098;4;0,0028
C03B;T81.8;4;0,0098;4;0,0028
C03B;Z95.5;4;0,0098;4;0,0028
C03B;Z99.3;4;0,0098;4;0,0028
C03C;Z96.1;155;0,3163;155;0,111
C03C;I10.90;145;0,2959;145;0,1038
C03C;Z92.2;63;0,1286;63;0,0451
C03C;E11.90;57;0,1163;57;0,0408
C03C;Z98.8;39;0,0796;39;0,0279
C03C;I10.00;38;0,0776;38;0,0272
C03C;H25.1;37;0,0755;37;0,0265
C03C;Z92.1;26;0,0531;26;0,0186
C03C;H35.3;25;0,051;25;0,0179
C03C;H40.1;25;0,051;25;0,0179
C03C;H25.8;22;0,0449;22;0,0157
C03C;E03.9;21;0,0429;21;0,015
C03C;H36.0;21;0,0429;21;0,015
C03C;H40.0;21;0,0429;21;0,015
C03C;H35.8;20;0,0408;20;0,0143
C03C;E11.30;19;0,0388;23;0,0165
C03C;H11.3;18;0,0367;18;0,0129
C03C;H43.1;14;0,0286;14;0,01
C03C;H43.8;14;0,0286;14;0,01
C03C;I49.9;14;0,0286;14;0,01
C03C;H54.4;12;0,0245;12;0,0086
C03C;H52.4;11;0,0224;11;0,0079
C03C;E78.2;10;0,0204;10;0,0072
C03C;E79.0;10;0,0204;10;0,0072
C03C;H57.8;10;0,0204;10;0,0072
C03C;E78.0;9;0,0184;9;0,0064
C03C;H26.4;9;0,0184;9;0,0064
C03C;H43.3;9;0,0184;9;0,0064
C03C;H44.4;9;0,0184;9;0,0064
C03C;H52.2;9;0,0184;9;0,0064
C03C;I25.0;9;0,0184;9;0,0064
C03C;H33.3;8;0,0163;8;0,0057
C03C;H45.0;8;0,0163;8;0,0057
C03C;I48.1;8;0,0163;8;0,0057
C03C;E10.30;7;0,0143;7;0,005
C03C;H11.4;7;0,0143;7;0,005
C03C;H35.6;7;0,0143;7;0,005
C03C;H47.2;7;0,0143;7;0,005
C03C;H52.0;7;0,0143;7;0,005
C03C;H54.2;7;0,0143;7;0,005
C03C;J45.9;7;0,0143;7;0,005
C03C;Z74.0;7;0,0143;7;0,005
C03C;Z95.1;7;0,0143;7;0,005
C03C;H26.8;6;0,0122;6;0,0043
C03C;H52.1;6;0,0122;6;0,0043
C03C;H54.5;6;0,0122;6;0,0043
C03C;I25.9;6;0,0122;6;0,0043
C03C;T78.4;6;0,0122;6;0,0043
C03C;Z86.7;6;0,0122;6;0,0043
C03C;E11.31;5;0,0102;5;0,0036
C03C;H21.0;5;0,0102;5;0,0036
C03C;H21.5;5;0,0102;5;0,0036
C03C;H27.1;5;0,0102;5;0,0036
C03C;H34.8;5;0,0102;5;0,0036
C03C;H54.1;5;0,0102;5;0,0036
C03C;H59.8;5;0,0102;5;0,0036
C03C;S05.0;5;0,0102;5;0,0036
C03C;Z74.1;5;0,0102;5;0,0036
C03C;Z95.0;5;0,0102;5;0,0036
C03C;F03;4;0,0082;4;0,0029
C03C;F32.9;4;0,0082;4;0,0029
C03C;H18.2;4;0,0082;4;0,0029
C03C;H27.0;4;0,0082;4;0,0029
C03C;H31.2;4;0,0082;4;0,0029
C03C;H40.8;4;0,0082;4;0,0029
C03C;H57.1;4;0,0082;4;0,0029
C03C;I25.29;4;0,0082;4;0,0029
C03C;I48.0;4;0,0082;4;0,0029
C03C;R26.8;4;0,0082;4;0,0029
C03C;S00.1;4;0,0082;4;0,0029
C03C;T81.8;4;0,0082;4;0,0029
C03C;Z88.9;4;0,0082;4;0,0029
C03C;Z95.5;4;0,0082;4;0,0029
C03C;Z96.6;4;0,0082;4;0,0029
C04B;I10.90;40;0,4651;40;0,2632
C04B;E03.9;12;0,1395;12;0,0789
C04B;Z96.1;12;0,1395;12;0,0789
C04B;E11.90;11;0,1279;11;0,0724
C04B;E78.2;6;0,0698;6;0,0395
C04B;Z92.2;6;0,0698;6;0,0395
C04B;Z94.7;6;0,0698;6;0,0395
C04B;I10.00;4;0,0465;4;0,0263
C06Z;H47.2;164;0,3779;164;0,1203
C06Z;I10.90;141;0,3249;141;0,1034
C06Z;Z96.1;117;0,2696;117;0,0858
C06Z;H40.0;106;0,2442;106;0,0778
C06Z;T81.8;74;0,1705;74;0,0543
C06Z;H25.1;69;0,159;69;0,0506
C06Z;Z92.2;50;0,1152;50;0,0367
C06Z;Z98.8;39;0,0899;39;0,0286
C06Z;E11.90;37;0,0853;37;0,0271
C06Z;I49.9;28;0,0645;28;0,0205
C06Z;T81.0;27;0,0622;27;0,0198
C06Z;E03.9;25;0,0576;25;0,0183
C06Z;E78.2;19;0,0438;19;0,0139
C06Z;H25.8;19;0,0438;19;0,0139
C06Z;H57.8;19;0,0438;19;0,0139
C06Z;J45.9;17;0,0392;17;0,0125
C06Z;H21.0;15;0,0346;15;0,011
C06Z;H11.3;13;0,03;13;0,0095
C06Z;H40.1;13;0,03;13;0,0095
C06Z;H44.4;11;0,0253;11;0,0081
C06Z;H54.4;11;0,0253;11;0,0081
C06Z;I10.00;11;0,0253;11;0,0081
C06Z;H35.3;10;0,023;10;0,0073
C06Z;H11.2;8;0,0184;8;0,0059
C06Z;H54.1;7;0,0161;7;0,0051
C06Z;H59.8;7;0,0161;7;0,0051
C06Z;Z92.1;7;0,0161;7;0,0051
C06Z;E11.30;6;0,0138;6;0,0044
C06Z;H11.4;6;0,0138;6;0,0044
C06Z;H18.2;6;0,0138;6;0,0044
C06Z;H20.0;6;0,0138;6;0,0044
C06Z;I25.10;6;0,0138;6;0,0044
C06Z;Z95.0;6;0,0138;6;0,0044
C06Z;F41.9;5;0,0115;5;0,0037
C06Z;F32.9;4;0,0092;4;0,0029
C06Z;G47.31;4;0,0092;4;0,0029
C06Z;H21.5;4;0,0092;4;0,0029
C06Z;H31.0;4;0,0092;4;0,0029
C06Z;H52.1;4;0,0092;4;0,0029
C06Z;I10.01;4;0,0092;4;0,0029
C06Z;I25.19;4;0,0092;4;0,0029
C06Z;I48.1;4;0,0092;4;0,0029
C06Z;I73.0;4;0,0092;4;0,0029
C06Z;R52.9;4;0,0092;4;0,0029
C06Z;T78.4;4;0,0092;4;0,0029
C06Z;T88.7;4;0,0092;4;0,0029
C06Z;Z86.7;4;0,0092;4;0,0029
C07B;Z98.8;38;0,4578;38;0,0807
C07B;Z96.1;34;0,4096;34;0,0722
C07B;H47.2;32;0,3855;32;0,0679
C07B;I10.90;26;0,3133;26;0,0552
C07B;H40.0;16;0,1928;16;0,034
C07B;Z92.2;16;0,1928;16;0,034
C07B;H25.8;15;0,1807;15;0,0318
C07B;H54.4;15;0,1807;15;0,0318
C07B;H52.4;14;0,1687;14;0,0297
C07B;H35.3;13;0,1566;13;0,0276
C07B;H52.2;11;0,1325;11;0,0234
C07B;Z48.8;11;0,1325;11;0,0234
C07B;H18.2;9;0,1084;9;0,0191
C07B;Z88.9;8;0,0964;8;0,017
C07B;E11.90;7;0,0843;7;0,0149
C07B;H25.1;7;0,0843;7;0,0149
C07B;H40.1;7;0,0843;7;0,0149
C07B;H34.8;6;0,0723;6;0,0127
C07B;H52.1;6;0,0723;6;0,0127
C07B;H21.1;5;0,0602;5;0,0106
C07B;H21.2;5;0,0602;5;0,0106
C07B;H27.8;5;0,0602;5;0,0106
C07B;H53.4;5;0,0602;5;0,0106
C07B;H54.1;5;0,0602;5;0,0106
C07B;H57.1;5;0,0602;5;0,0106
C07B;H16.4;4;0,0482;4;0,0085
C07B;H17.9;4;0,0482;4;0,0085
C07B;H18.5;4;0,0482;4;0,0085
C07B;H44.2;4;0,0482;4;0,0085
C07B;H52.0;4;0,0482;4;0,0085
C07B;H54.0;4;0,0482;4;0,0085
C07B;H54.5;4;0,0482;4;0,0085
C07B;I25.0;4;0,0482;4;0,0085
C07B;I49.9;4;0,0482;4;0,0085
C07B;Z86.7;4;0,0482;4;0,0085
C08B;I10.00;150;0,1931;150;0,0654
C08B;I10.90;145;0,1866;145;0,0632
C08B;Z60;119;0,1532;119;0,0519
C08B;Z96.1;111;0,1429;111;0,0484
C08B;Z92.2;101;0,13;101;0,044
C08B;Z92.1;79;0,1017;79;0,0345
C08B;E11.90;78;0,1004;78;0,034
C08B;R26.8;61;0,0785;61;0,0266
C08B;E03.9;54;0,0695;54;0,0235
C08B;H54.4;51;0,0656;51;0,0222
C08B;H40.1;44;0,0566;44;0,0192
C08B;H35.3;42;0,0541;42;0,0183
C08B;Z74.1;40;0,0515;40;0,0174
C08B;E78.5;38;0,0489;38;0,0166
C08B;Z74.0;37;0,0476;37;0,0161
C08B;I69.4;35;0,045;35;0,0153
C08B;H91.1;32;0,0412;32;0,014
C08B;H25.8;30;0,0386;30;0,0131
C08B;I25.22;26;0,0335;26;0,0113
C08B;Z99.3;22;0,0283;22;0,0096
