IK_MDC;IK_DRG;IK_Faelle_Anzahl;IK_PCCL0;IK_PCCL1;IK_PCCL2;IK_PCCL3;IK_PCCL4;IK_GeschlechtM;IK_GeschlechtW;IK_GeschlechtU;IK_AlterU28T;IK_AlterU01;IK_AlterU03;IK_AlterU06;IK_AlterU10;IK_AlterU16;IK_AlterU18;IK_AlterU30;IK_AlterU40;IK_AlterU50;IK_AlterU55;IK_AlterU60;IK_AlterU65;IK_AlterU75;IK_AlterU80;IK_AlterU99;IK_VWD_Kurz;IK_VWD_Norm;IK_VWD_Lang;IK_uGVD;IK_oGVD;IK_VWD_MW;IK_Bewertungsrelation;IK_Gesamt;IK_VWD_STD
13 ;N60B;205;0,2537;0,1854;0,2488;0,3122;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0195;0,0049;0,0634;0,0537;0,0683;0,0683;0,40;0,1463;0,1756;0,3484;0,5807;0,0708;1;12;4,80;0,499;0,0005;2,90
13 ;N61Z;564;0,8457;0,1011;0,0301;0,0213;0,0018;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0177;0,055;0,3652;0,2535;0,1525;0,0603;0,0177;0,0142;0,0142;0,0195;0,0301;0,1068;0,8481;0,0451;1;9;4,40;0,404;0,0013;1,60
13 ;N62A;101;0,6832;0,1782;0,0792;0,0594;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0099;0,0297;0,1089;0,1683;0,1386;0,0594;0,0099;0,00;0,0891;0,1089;0,2772;0,5818;0,3673;0,0509;1;8;3,20;0,418;0,0002;1,40
13 ;N62B;119;0,9076;0,0672;0,0252;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,0084;0,0672;0,0588;0,3529;0,2689;0,2017;0,0168;0,0168;0,00;0,00;0,00;0,0084;0,6558;0,3225;0,0217;1;5;2,60;0,267;0,0003;0,80
14 ;O01A;4;0,25;0,25;0,25;0,00;0,25;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5714;0,4286;7;41;15,50;2,30;0,00;8,70
14 ;O01B;29;0,00;0,1034;0,1379;0,1034;0,6552;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3103;0,4828;0,2069;0,00;0,00;0,00;0,00;0,00;0,00;0,0303;0,8788;0,0909;2;20;8,60;1,512;0,0001;3,80
14 ;O01C;33;0,3636;0,1515;0,3333;0,1515;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3939;0,4848;0,1212;0,00;0,00;0,00;0,00;0,00;0,00;0,0364;0,60;0,3636;3;26;11,20;1,326;0,0001;7,00
14 ;O01D;610;0,4984;0,2656;0,1361;0,10;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0033;0,4279;0,5148;0,0541;0,00;0,00;0,00;0,00;0,00;0,00;0,0155;0,9443;0,0402;1;13;6,20;1,006;0,0014;1,80
14 ;O01E;1639;0,5528;0,2813;0,1281;0,0348;0,0031;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0006;0,0037;0,4417;0,5229;0,0311;0,00;0,00;0,00;0,00;0,00;0,00;0,0133;0,9501;0,0365;1;10;5,60;0,85;0,0037;1,50
14 ;O01F;5680;0,7134;0,1972;0,0766;0,012;0,0009;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0002;0,0051;0,4475;0,5143;0,0327;0,0002;0,00;0,00;0,00;0,00;0,00;0,0138;0,9562;0,03;1;9;5,30;0,762;0,0127;1,30
14 ;O01G;1175;0,4715;0,3651;0,114;0,0468;0,0026;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0009;0,3804;0,5549;0,0638;0,00;0,00;0,00;0,00;0,00;0,00;0,015;0,9296;0,0554;1;10;5,40;0,74;0,0026;1,50
14 ;O01H;7116;0,7604;0,1528;0,0725;0,0131;0,0013;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0001;0,0027;0,3716;0,5742;0,0513;0,0001;0,00;0,00;0,00;0,00;0,00;0,0082;0,946;0,0457;1;8;4,90;0,641;0,0159;1,20
14 ;O02A;7;0,7143;0,00;0,00;0,1429;0,1429;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5714;0,2857;0,1429;0,00;0,00;0,00;0,00;0,00;0,00;0,7895;0,1842;0,0263;2;20;3,90;1,317;0,00;1,50
14 ;O02B;1011;0,4955;0,2413;0,2018;0,0485;0,0129;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,001;0,3818;0,5767;0,0406;0,00;0,00;0,00;0,00;0,00;0,00;0,0537;0,9051;0,0412;1;8;4,10;0,678;0,0023;1,30
14 ;O03Z;326;0,8436;0,1074;0,0307;0,0184;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3344;0,6104;0,0521;0,0031;0,00;0,00;0,00;0,00;0,00;0,2031;0,7196;0,0773;1;6;2,90;0,661;0,0007;1,00
14 ;O04A;8;0,625;0,125;0,25;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,625;0,125;0,00;0,00;0,00;0,00;0,00;0,00;0,2857;0,5714;0,1429;1;14;5,90;1,362;0,00;3,90
14 ;O04B;72;0,5972;0,25;0,1111;0,0417;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0139;0,00;0,4583;0,4306;0,0972;0,00;0,00;0,00;0,00;0,00;0,00;0,5298;0,4286;0,0417;1;8;3,40;0,523;0,0002;1,50
14 ;O05A;73;0,5616;0,2603;0,1644;0,0137;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3836;0,5616;0,0548;0,00;0,00;0,00;0,00;0,00;0,00;0,2632;0,6404;0,0965;2;22;7,70;0,878;0,0002;5,00
14 ;O05B;39;0,7436;0,2308;0,0256;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0256;0,4872;0,4615;0,0256;0,00;0,00;0,00;0,00;0,00;0,00;0,2586;0,6724;0,069;1;10;3,70;0,747;0,0001;1,80
14 ;O05C;8;0,50;0,25;0,125;0,125;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,375;0,50;0,125;0,00;0,00;0,00;0,00;0,00;0,00;0,5313;0,25;0,2188;1;6;3,50;0,252;0,00;1,20
14 ;O40Z;384;0,8255;0,1432;0,0286;0,0026;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0052;0,3698;0,5208;0,1042;0,00;0,00;0,00;0,00;0,00;0,00;0,7538;0,2267;0,0195;1;6;2,70;0,465;0,0009;1,00
14 ;O60A;6;0,00;0,50;0,1667;0,3333;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,8333;0,00;0,1667;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,40;0,2667;3;29;13,20;1,104;0,00;5,50
14 ;O60B;305;0,3836;0,3639;0,141;0,1082;0,0033;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0131;0,4131;0,5508;0,023;0,00;0,00;0,00;0,00;0,00;0,00;0,0417;0,9077;0,0506;1;10;4,70;0,62;0,0007;1,70
14 ;O60C;4123;0,6321;0,2593;0,0895;0,0189;0,0002;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0002;0,0049;0,4516;0,5171;0,0262;0,00;0,00;0,00;0,00;0,00;0,00;0,0451;0,8859;0,069;1;7;3,90;0,481;0,0092;1,10
